LIN10102,LIN10103,LIN10104,LIN10106,LIN10107,LIN10108,LIN10110,LIN10111,API10102,API10103,API10104,API10106,API10107,API10108,API10110,API10111,API10112,API10114,API10115,API10116,API10118,API10119,API10120,API10122,API10123,API10124,API10126,API10127,API10128,BRP10102,BRP10103,BRP10104,BRP10106,BRP10107,BRP10108,BRP10110,BRP10111,BRP10112,BRP10114,FUL10102,FUL10103,FUL10104,FUL10105,FUL10107,FUL10108,FUL10110,FUL10111,FUL10112,FUL10113,ASI10102,ASI10103,ASI10104,ASI10106,ASI10107,ASI10108,ASI10109,ASI10110,ASI10112,ASI10113,APM10102,APM10103,APM10104,APM10105,APM10107,APM10108,APM10110,APM10111,APM10112,APM10114,AII10102,AII10103,AII10104,AII10106,AII10107,AII10108,AII10110,AII10111,AII10112,AII10114,AII10115,AII10116,AII10118,AII10119,AII10120,AII10122,AII10123,AII10124,AII10126,AII10127,AII10128
79,98,36,42,33,41,70,85,81,67,66,34,84,55,52,65,85,63,82,80,50,54,45,57,32,88,51,45,66,93,36,53,78,54,92,46,72,90,75,84,49,55,71,94,77,31,59,53,36,72,97,52,96,78,75,36,63,50,44,50,32,83,55,66,51,72,31,69,55,50,48,93,84,95,47,62,84,86,86,81,76,83,92,92,77,77,44,35,57,44
61,65,84,70,91,78,37,45,71,86,31,63,64,56,34,94,90,90,31,38,49,47,80,94,96,53,36,58,53,41,43,55,63,93,72,90,45,56,34,58,49,52,91,87,52,90,90,35,98,51,91,65,63,95,52,94,40,84,33,58,38,77,98,31,66,59,98,86,64,39,76,30,67,42,71,36,94,89,80,41,56,51,37,81,65,54,72,68,38,82
67,76,55,65,68,45,92,70,34,49,81,80,74,52,79,34,52,81,56,91,55,54,77,48,49,80,85,97,79,34,90,89,37,32,48,95,63,65,43,63,34,66,56,60,89,77,61,86,70,87,58,51,72,62,32,97,48,72,68,79,80,63,86,83,56,35,87,79,64,94,57,90,74,68,55,95,87,51,46,59,95,63,81,60,74,52,85,63,54,64
60,57,56,95,42,31,54,53,96,56,62,80,73,43,90,65,69,30,91,38,42,39,98,90,40,84,40,54,79,70,89,74,68,82,38,58,65,89,68,47,48,54,45,87,72,38,81,30,33,44,87,62,31,40,41,39,51,47,71,90,33,93,41,47,61,54,93,41,68,78,61,66,32,39,44,81,80,32,83,44,79,40,75,94,75,83,48,47,33,48
67,50,42,57,60,50,98,50,34,86,63,84,35,44,84,85,78,46,61,54,51,54,95,81,70,66,93,82,58,80,73,83,30,64,34,33,65,31,34,96,92,77,41,45,80,60,59,66,37,98,70,84,80,76,53,78,57,40,80,59,84,52,40,85,65,97,75,66,71,89,32,53,43,31,98,50,48,64,60,94,38,47,49,54,51,62,93,63,62,94
47,85,98,61,36,54,40,33,35,60,61,48,67,46,65,94,49,52,96,54,78,47,62,63,50,57,33,32,83,71,85,74,87,87,38,57,88,68,37,74,70,70,94,36,93,78,87,92,38,96,76,72,93,44,72,56,71,42,40,82,32,90,86,61,43,77,50,62,92,52,68,85,64,50,81,37,83,56,56,87,64,63,45,67,63,88,43,40,34,85
40,95,78,56,63,52,88,58,72,70,58,66,92,34,80,47,67,76,44,88,79,55,42,31,66,92,66,95,53,90,80,88,64,82,73,89,46,43,55,78,47,94,46,66,31,49,79,77,93,94,67,35,86,72,33,89,80,32,94,49,67,35,71,46,47,53,39,49,89,36,88,45,73,59,69,70,82,39,80,48,32,66,44,54,42,41,48,93,76,68
36,46,72,65,78,49,36,52,47,97,39,88,81,67,38,39,64,85,34,81,86,91,40,57,53,76,34,49,85,43,65,31,62,50,39,49,77,36,74,56,88,90,54,76,78,68,63,69,48,46,37,82,90,82,47,78,81,80,40,89,66,43,60,80,48,82,84,60,95,85,92,72,72,34,78,80,40,38,63,93,51,50,71,33,52,48,45,64,32,66
37,35,36,37,39,35,45,66,39,64,50,98,62,95,59,58,70,52,43,63,76,87,67,87,63,59,40,59,61,97,45,90,72,48,96,68,90,80,70,47,32,45,67,98,74,55,49,77,38,42,91,64,77,66,74,32,68,37,46,95,78,94,94,30,75,94,87,75,37,36,82,48,69,95,96,42,66,50,34,42,57,93,50,42,93,84,68,32,87,57
86,90,47,43,44,81,31,80,39,97,81,30,32,79,45,60,92,71,69,62,71,54,38,80,80,38,50,31,69,37,78,84,93,65,80,69,51,47,68,83,98,94,70,44,47,97,81,80,30,46,68,48,65,92,85,37,63,75,96,47,76,98,41,62,56,75,70,44,38,56,50,97,96,39,52,50,65,65,55,53,39,93,48,47,44,30,88,85,97,83
81,32,34,78,31,52,78,41,63,58,83,75,59,36,93,64,85,41,91,94,83,47,72,35,76,35,80,85,76,95,36,48,69,81,49,90,62,47,95,54,40,30,30,95,45,46,72,66,80,70,69,30,33,85,30,71,72,73,37,58,78,62,85,88,98,43,57,35,60,37,32,68,48,39,50,97,68,45,75,66,62,69,83,46,73,96,98,34,71,72
58,38,79,33,60,55,41,64,88,76,42,58,87,85,49,75,60,51,94,93,83,59,75,30,80,44,67,93,33,53,43,39,82,35,52,57,34,53,59,31,71,94,70,50,50,37,72,43,38,86,83,50,66,38,58,84,67,98,66,84,63,86,75,84,40,81,57,92,45,55,81,50,84,60,86,65,43,38,91,94,98,55,76,70,89,72,38,72,37,45
62,65,58,87,39,67,81,70,78,51,56,77,38,83,74,94,86,83,49,40,68,47,38,92,40,82,85,87,80,84,31,68,68,86,34,46,83,93,62,98,60,35,81,68,69,55,86,61,48,59,32,79,85,32,48,83,48,38,39,51,82,42,40,31,43,50,90,40,77,36,85,69,83,32,88,43,53,52,56,93,48,92,73,93,77,77,66,44,91,39
40,47,48,98,96,64,64,71,48,57,32,83,32,85,66,41,87,54,32,37,94,93,72,98,31,54,85,86,37,77,91,37,81,57,95,43,85,89,60,33,31,79,67,59,68,52,86,44,45,37,82,52,81,46,93,60,53,98,82,56,33,89,30,75,79,63,35,80,57,86,76,69,57,52,82,77,62,98,82,78,54,47,49,32,68,97,59,39,59,33
59,98,79,96,65,70,82,50,76,83,68,60,34,43,59,64,92,54,66,75,59,41,54,85,93,80,84,75,44,98,33,85,30,44,46,75,91,66,62,90,38,56,31,43,86,39,64,55,75,38,80,49,41,59,64,89,36,40,76,50,33,57,69,45,71,80,33,82,55,89,73,56,41,89,51,53,50,32,63,74,91,77,50,73,47,74,52,67,87,66
55,89,82,98,77,59,49,90,40,77,88,95,75,60,67,83,40,68,36,50,33,96,98,60,30,89,70,84,71,47,45,34,59,93,86,57,84,51,39,45,71,35,68,89,82,73,85,79,97,40,81,87,69,87,30,86,61,74,98,52,72,89,84,83,74,86,64,65,30,92,59,87,66,46,54,82,37,87,65,87,38,70,58,96,47,48,79,63,80,51
34,41,67,47,70,66,82,68,33,64,34,42,32,35,66,34,66,57,86,50,46,71,36,49,44,64,59,46,47,72,46,53,70,37,30,90,72,59,66,82,60,36,66,40,91,72,60,63,97,62,82,32,57,75,53,52,52,84,68,54,59,38,87,67,55,58,84,46,85,57,85,74,46,77,98,50,93,69,45,64,97,84,95,87,85,93,45,58,74,53
58,66,70,77,33,93,97,88,48,61,79,41,52,66,58,77,44,34,48,60,95,87,57,91,67,67,77,85,44,57,61,84,93,54,86,74,61,60,75,36,39,44,37,50,92,51,78,81,50,67,74,31,36,34,94,61,79,31,56,97,95,65,53,41,49,56,37,31,92,45,35,78,56,50,43,98,57,36,72,74,75,31,38,54,83,56,55,34,62,52
51,82,45,78,51,31,72,57,97,43,90,70,41,64,32,58,64,95,95,41,74,70,35,48,94,36,80,43,86,70,83,52,40,61,66,87,84,53,92,98,80,53,56,40,32,55,56,44,71,36,90,79,60,44,63,74,81,69,85,90,71,33,69,94,86,43,89,89,74,38,78,94,81,65,64,85,68,62,56,95,84,48,33,46,79,52,56,95,61,31
48,75,71,78,62,54,58,64,32,46,48,51,89,47,98,43,65,76,45,38,50,32,46,89,33,53,40,42,60,87,66,39,93,40,65,69,89,56,49,93,59,46,40,86,35,45,98,48,64,96,48,38,79,66,72,70,82,95,44,92,32,63,34,63,68,54,81,38,76,75,92,69,78,83,90,35,82,96,81,44,80,91,66,47,96,47,84,89,42,40
72,59,66,89,56,72,83,85,94,98,56,54,66,33,97,89,62,42,87,82,92,97,35,92,52,73,37,36,65,50,73,31,77,48,48,98,53,55,63,75,54,31,97,50,51,87,57,88,48,60,36,31,59,49,70,96,74,95,55,96,49,83,49,55,62,71,92,53,50,45,78,66,62,56,96,35,96,41,91,45,33,81,32,40,65,68,36,70,87,38
48,95,41,97,75,72,37,73,95,72,58,33,96,51,67,86,93,63,52,84,55,69,70,85,56,40,64,69,75,79,81,69,37,54,85,34,70,54,87,68,75,74,76,97,92,86,31,48,58,95,68,54,98,50,67,66,56,48,30,89,67,42,83,95,94,49,70,72,56,73,82,47,91,78,57,46,65,66,95,30,77,77,42,69,89,87,70,48,83,86
62,68,61,77,93,90,97,64,47,52,93,83,96,59,65,44,60,98,70,49,88,75,78,33,39,50,51,50,33,31,43,52,37,53,38,79,53,42,81,97,91,75,38,55,62,31,94,48,89,54,74,39,94,44,59,41,65,88,60,60,82,46,71,57,85,41,32,87,61,67,55,62,50,82,42,93,71,38,83,61,34,41,79,71,92,57,59,95,42,40
40,90,86,30,88,72,76,62,35,93,56,76,38,92,75,96,37,61,52,40,60,86,69,58,56,37,30,68,45,59,83,57,45,61,36,96,83,34,42,65,69,43,66,36,97,79,69,62,66,77,39,91,71,61,33,42,54,41,64,77,80,49,32,41,81,87,82,36,77,60,83,36,55,40,43,46,37,42,66,58,84,67,52,50,97,44,30,61,61,58
47,85,48,75,86,52,96,61,83,74,98,51,59,73,43,46,95,52,91,72,96,98,67,35,40,72,85,48,59,80,40,33,81,93,77,51,85,85,83,66,81,55,93,85,43,39,39,44,57,53,83,83,75,36,66,41,88,72,87,38,89,51,48,97,84,78,70,43,57,61,52,89,87,77,82,96,84,36,58,50,73,47,33,54,54,85,89,82,60,48
37,65,88,89,64,42,83,31,85,44,46,38,43,46,46,62,69,51,57,40,82,98,93,55,96,41,31,33,69,79,97,80,55,31,91,86,43,91,97,90,32,94,67,30,60,84,96,77,83,85,81,98,72,68,83,81,95,44,89,74,75,80,33,46,92,89,94,42,85,93,42,44,32,36,39,60,34,69,46,72,97,48,91,71,40,61,44,91,88,31
88,41,58,82,33,38,32,66,77,81,54,34,54,53,51,94,61,30,45,40,37,80,66,60,41,75,32,62,90,83,84,58,55,40,32,48,71,81,68,63,63,83,56,54,61,36,50,43,86,51,63,61,91,65,87,46,34,43,72,77,85,91,51,41,84,88,51,59,56,91,41,84,81,79,38,83,51,92,86,81,60,40,90,50,56,98,35,81,75,70
98,76,81,55,54,89,50,64,47,67,35,35,54,98,84,92,37,33,50,42,39,75,74,56,36,46,87,64,71,86,70,78,88,34,52,65,36,41,70,81,58,91,40,72,62,52,80,47,34,40,58,86,37,62,81,47,93,80,70,45,53,67,42,95,41,32,61,80,47,77,74,72,69,45,98,78,72,88,85,64,54,54,89,83,91,65,66,33,34,75
61,65,51,58,34,67,84,38,39,34,58,85,37,68,93,96,52,90,80,57,55,38,82,74,64,42,86,89,70,55,32,82,90,75,81,73,41,41,34,70,91,53,44,87,79,61,68,82,55,88,93,82,44,72,62,43,97,87,56,59,47,87,43,57,52,59,51,52,59,31,58,75,95,74,45,65,46,31,61,36,98,36,72,82,78,86,43,49,90,79
32,97,98,91,68,56,50,87,83,85,90,41,35,48,96,88,72,75,30,88,70,72,62,84,61,67,74,70,80,33,52,55,63,88,51,85,37,68,86,98,93,85,90,96,48,65,83,45,70,70,55,40,41,55,55,88,54,65,40,39,60,51,73,74,30,52,74,56,30,40,92,80,54,70,77,88,64,75,33,38,56,70,91,98,74,78,33,38,57,76
56,96,95,60,81,78,83,32,51,62,70,53,95,52,61,85,84,81,76,65,67,79,40,38,54,65,91,98,86,87,57,94,68,30,34,59,61,88,49,91,56,35,93,53,84,92,73,31,64,81,31,65,44,62,86,91,72,93,77,55,74,91,74,78,35,49,44,36,39,95,44,80,92,65,76,81,92,52,49,31,97,39,84,69,97,92,46,67,47,63
67,93,84,61,61,40,79,62,45,57,47,86,69,40,58,48,98,31,70,75,40,63,71,87,59,91,59,51,92,78,54,56,32,52,35,68,63,83,36,55,41,44,85,66,54,50,94,92,66,63,56,42,73,50,93,85,54,65,34,59,65,75,91,43,56,44,91,78,64,33,87,42,37,77,47,56,39,65,63,87,63,59,91,81,46,62,87,81,81,58
92,75,69,92,94,95,91,40,69,97,88,53,53,37,54,33,60,83,75,61,50,32,59,91,82,37,72,36,49,51,93,78,78,96,31,50,98,33,53,39,70,91,47,92,72,50,78,86,89,41,66,53,73,59,50,70,79,78,75,40,36,73,75,73,60,48,87,30,71,85,71,94,67,97,82,48,40,34,91,90,40,40,95,55,36,40,57,77,66,47
41,35,83,43,87,56,74,33,86,81,98,93,78,98,78,39,83,93,98,68,33,34,80,65,96,79,98,30,37,81,66,65,92,64,89,63,76,60,73,57,30,51,87,92,90,59,56,31,95,59,79,67,67,96,61,73,77,71,95,55,69,91,76,74,63,82,66,69,67,31,51,70,78,51,74,55,67,44,93,98,38,37,34,71,49,33,88,67,47,65
78,34,67,47,62,80,61,87,63,34,58,56,98,54,36,33,64,31,73,83,74,48,38,49,62,94,92,62,88,43,52,80,35,60,33,64,86,55,62,98,37,98,90,46,86,49,33,46,97,56,39,85,61,51,39,71,48,75,79,75,54,84,37,79,85,90,92,86,87,90,85,57,78,64,46,62,97,96,55,86,69,54,59,93,55,71,39,97,37,56
78,76,66,86,67,74,66,59,70,62,65,51,71,50,83,81,69,40,81,92,74,39,37,35,64,58,59,34,62,33,86,30,61,64,67,46,73,53,86,32,54,30,93,36,63,91,93,70,91,74,59,71,71,92,37,75,49,35,43,88,39,64,45,73,51,50,63,74,77,88,51,84,35,58,50,56,47,78,45,45,92,54,35,45,83,53,53,83,72,30
75,45,37,35,60,39,61,89,89,57,42,62,51,71,91,58,37,61,72,65,60,65,97,34,58,58,46,32,52,32,32,45,57,56,32,65,36,72,57,61,78,65,35,34,89,62,97,75,89,36,97,88,52,46,45,97,98,60,45,71,33,67,87,73,82,73,89,70,80,65,96,70,92,31,70,72,47,83,65,66,65,61,91,87,79,38,85,36,89,74
51,30,41,94,33,55,69,73,44,97,36,64,39,40,66,35,76,60,68,62,85,80,98,51,41,76,79,53,81,52,71,36,90,40,87,38,89,47,55,82,69,30,56,58,45,39,51,73,67,84,39,92,88,83,70,62,32,36,32,44,93,53,76,44,70,34,33,54,91,98,75,69,86,41,61,94,64,50,74,34,82,57,82,33,62,95,61,58,69,91
55,78,93,31,60,95,44,73,80,51,41,62,45,59,48,52,90,94,84,74,81,60,40,36,62,69,73,47,73,33,62,50,63,65,70,31,62,52,85,49,65,56,30,30,90,82,82,78,52,42,89,57,87,38,74,30,58,85,31,48,47,39,56,73,60,49,36,92,78,51,95,54,67,95,63,77,52,45,49,83,79,85,78,60,85,86,85,95,33,84
64,89,35,42,38,77,95,60,88,55,55,53,73,32,76,72,58,72,80,60,56,89,87,40,67,86,90,79,42,76,94,51,87,62,39,60,64,94,85,47,73,33,33,56,90,82,95,83,59,64,79,88,44,49,35,60,70,45,89,97,94,46,63,30,59,66,67,63,87,49,81,49,94,90,76,72,49,50,42,71,55,49,66,44,30,35,59,72,93,80
80,97,58,67,38,82,58,90,61,76,43,89,50,71,63,71,33,49,54,50,91,72,89,66,40,52,82,72,36,70,95,35,54,31,57,62,44,53,42,42,49,52,31,38,92,75,78,70,31,95,43,75,41,51,35,55,90,55,33,44,52,89,79,73,85,41,76,40,51,53,70,33,70,55,34,79,80,71,46,72,41,85,44,54,43,61,57,74,96,41
56,93,43,58,75,77,62,37,86,88,34,44,59,88,31,31,64,84,77,76,88,69,68,63,71,61,79,31,90,54,98,91,76,42,69,87,61,56,68,76,82,82,88,32,81,73,86,61,46,47,92,98,59,92,86,32,89,65,95,46,98,31,43,74,64,88,34,75,76,93,77,65,95,82,41,79,40,53,78,40,31,56,30,72,50,64,59,88,48,40
55,41,95,62,30,42,58,53,33,81,52,46,67,90,52,62,73,94,41,54,98,84,35,91,70,46,94,87,54,34,44,52,86,81,98,50,90,86,67,86,84,43,74,52,60,60,43,41,48,68,91,56,51,80,61,97,79,42,88,71,53,93,90,32,51,55,47,31,66,74,89,60,66,87,69,48,75,68,74,74,45,38,56,30,82,93,91,34,91,95
51,55,81,45,30,56,50,61,82,64,44,75,33,91,35,39,67,72,32,92,98,92,45,35,48,53,70,57,84,52,59,59,95,42,44,54,83,73,61,44,68,97,37,96,85,87,37,42,33,47,96,90,70,72,45,60,61,76,94,53,78,59,55,64,58,60,80,53,93,37,51,90,43,59,84,89,95,83,52,89,45,66,46,68,84,44,72,41,49,80
30,92,71,94,76,92,82,59,91,56,96,51,30,34,63,94,34,41,66,96,85,80,46,39,38,41,38,96,87,86,55,86,41,84,85,48,57,88,42,42,36,83,91,81,35,49,53,62,71,59,88,91,61,82,66,62,79,77,74,94,90,50,67,44,95,81,30,33,38,82,44,52,48,83,54,74,71,78,41,46,61,76,46,38,58,35,90,88,57,56
70,82,32,68,96,91,89,37,50,89,70,93,60,97,83,83,78,89,65,55,87,74,90,72,44,74,56,71,69,41,40,33,96,31,41,51,88,69,60,52,45,68,68,97,60,71,74,83,76,69,42,62,64,65,57,46,47,43,80,75,92,68,57,47,35,79,44,83,85,50,78,79,69,43,46,41,61,61,67,71,85,65,68,87,88,37,89,69,48,82
74,89,31,56,80,76,34,64,90,72,79,94,94,91,36,36,45,78,75,49,85,77,52,67,46,52,54,72,41,57,41,67,84,36,93,36,49,53,55,91,53,96,60,36,96,95,97,93,70,96,47,59,91,96,42,79,36,58,72,71,52,80,66,89,75,49,79,60,58,34,53,68,34,79,56,83,77,67,66,94,76,34,66,98,63,53,42,31,75,81
90,44,69,76,93,79,44,67,58,92,54,89,67,62,79,97,33,82,47,42,77,35,42,75,97,66,54,83,71,91,58,95,80,33,86,67,92,45,48,87,77,81,60,34,46,85,34,46,97,36,58,37,72,95,98,68,65,94,87,75,38,96,42,93,37,38,30,65,73,92,35,63,35,60,31,48,44,79,91,98,66,97,89,40,59,70,45,37,58,39
80,54,56,35,88,33,93,64,95,37,87,51,49,58,70,94,97,58,60,54,73,81,96,34,93,74,96,67,95,44,52,81,60,42,83,60,44,45,69,88,31,51,79,62,98,60,33,86,82,82,58,87,88,48,75,88,61,66,37,83,81,83,46,52,37,39,43,93,36,43,46,50,41,48,35,34,77,91,88,77,91,76,52,31,67,34,49,77,79,71
88,71,76,59,57,69,94,81,70,70,74,46,45,43,87,85,71,89,88,84,80,94,97,73,79,86,89,56,31,64,53,68,56,34,71,30,70,50,94,59,71,86,81,88,97,30,58,73,41,50,39,59,50,51,69,65,39,67,39,37,91,68,85,83,62,97,39,87,97,66,86,60,82,69,56,82,81,42,97,70,48,68,37,72,96,57,76,54,34,78
75,66,71,98,59,32,74,77,67,53,58,63,66,44,86,96,51,33,95,91,87,37,63,94,66,92,92,42,44,37,64,45,33,39,79,33,38,53,82,34,61,77,56,54,69,57,32,98,96,81,89,96,65,68,32,40,64,78,52,75,46,76,35,33,64,58,85,88,92,66,94,94,42,86,55,48,48,34,77,72,69,30,72,93,80,31,63,42,50,30
47,89,31,37,57,91,35,47,35,88,42,90,57,71,41,75,40,44,85,57,36,62,54,43,90,30,47,58,75,94,55,85,77,69,92,41,90,69,38,33,44,88,30,73,70,68,83,90,97,77,34,52,43,60,40,86,44,30,39,56,69,91,88,93,67,52,80,36,80,95,44,41,35,83,55,38,40,30,68,40,30,36,74,56,40,84,53,95,65,89
70,96,67,32,49,83,52,72,61,87,79,41,87,43,62,63,48,38,66,33,66,53,89,77,90,71,75,43,44,51,98,96,52,76,46,73,68,84,60,70,91,94,52,82,89,48,66,55,37,91,83,60,83,37,37,61,43,83,45,86,72,55,30,60,33,54,31,46,97,70,68,96,74,93,50,33,50,52,33,37,64,91,85,53,96,82,96,38,64,60
78,72,42,93,88,49,39,55,72,88,73,45,98,67,93,54,41,73,98,63,95,75,92,49,47,96,71,80,72,79,67,95,67,83,60,34,65,57,97,72,52,77,78,97,54,71,76,81,67,82,92,63,88,43,80,68,69,96,49,91,71,85,52,58,59,62,94,40,86,33,46,37,71,51,55,92,75,32,94,79,35,61,93,52,69,45,30,80,69,57
52,35,58,55,88,31,32,95,54,42,75,68,49,75,71,80,60,94,87,32,96,60,36,80,87,87,69,88,37,69,32,84,63,77,39,86,78,71,75,52,48,74,57,52,68,58,42,46,74,90,51,48,89,81,62,61,86,93,95,34,41,60,59,86,92,59,94,66,47,68,45,76,82,88,73,56,51,75,31,97,88,72,56,31,91,41,68,68,59,98
87,55,84,80,81,64,30,88,47,53,95,92,41,54,83,84,63,97,77,55,86,87,42,60,54,89,47,48,52,34,44,55,43,31,97,70,79,49,44,72,36,41,53,43,97,77,98,64,57,58,51,81,71,55,77,86,35,65,90,81,51,69,33,62,43,98,45,84,30,50,82,87,80,89,76,44,52,65,65,33,35,82,39,88,69,87,77,66,81,58
82,49,93,34,30,41,84,89,83,70,50,37,83,35,55,79,94,71,78,58,91,37,49,56,87,83,74,42,40,89,77,71,92,89,57,39,86,65,53,67,92,39,66,73,61,39,54,84,89,58,47,39,54,45,94,46,50,93,34,30,93,83,60,47,70,35,45,87,42,80,37,97,33,66,53,81,53,68,37,73,55,67,93,86,38,80,39,56,50,32
96,82,82,51,59,49,35,33,30,85,57,77,89,31,77,48,31,38,57,95,44,80,70,69,71,90,96,75,53,70,82,36,63,65,40,62,95,90,37,58,79,73,90,95,71,72,33,78,56,63,61,65,37,50,97,62,73,57,31,40,70,73,78,49,61,61,39,70,50,70,47,83,63,60,86,76,52,89,94,45,70,58,93,30,44,85,89,51,68,81
40,51,54,51,61,88,32,63,78,64,65,85,96,35,73,58,45,96,82,57,35,65,68,44,69,78,87,77,38,74,91,92,88,40,97,34,38,55,87,40,55,86,65,66,73,64,57,31,91,35,58,57,32,61,60,64,84,65,85,39,91,37,67,55,56,88,50,71,31,49,91,90,73,66,55,51,93,38,55,42,91,46,31,84,95,34,31,31,54,40
92,37,95,53,36,55,82,95,85,98,91,72,40,41,31,47,76,73,94,97,41,65,71,35,50,86,81,41,86,78,71,67,74,53,86,65,43,30,50,39,94,95,31,46,61,89,75,90,51,81,55,90,78,89,95,37,87,52,80,57,90,97,92,48,37,90,32,95,83,72,85,85,34,90,87,43,72,74,34,93,93,95,71,62,56,87,46,97,57,36
69,55,72,92,70,53,31,79,95,76,32,31,84,79,74,73,79,61,68,33,87,71,98,38,62,31,44,30,38,70,94,39,71,86,32,77,43,69,33,89,46,72,59,63,57,65,69,40,69,51,98,37,78,55,34,54,88,51,46,67,33,66,75,67,34,74,35,59,33,56,31,90,65,30,97,82,34,34,58,87,95,53,45,30,91,89,93,64,94,92
55,71,36,91,77,56,58,97,78,50,54,88,90,50,30,91,33,54,78,81,94,30,66,72,58,50,52,48,32,80,88,57,98,95,56,38,68,54,35,70,49,50,89,49,38,73,88,59,94,91,31,40,51,83,32,85,48,47,69,49,43,72,70,56,71,64,73,86,55,89,91,45,82,39,57,71,50,94,88,58,98,78,64,74,43,83,58,77,63,81
54,61,53,78,31,52,43,57,90,30,79,89,92,90,33,34,69,76,37,69,49,68,94,86,42,64,46,78,49,54,46,33,54,94,36,69,77,60,71,51,89,51,59,38,75,71,32,62,65,78,35,45,37,88,60,98,54,53,77,53,32,30,57,49,67,56,70,64,87,34,72,68,89,52,92,57,49,91,70,88,57,33,58,41,52,86,86,82,74,52
50,41,45,61,41,74,71,80,49,36,89,63,38,66,71,93,31,92,61,76,51,79,53,39,40,61,38,45,96,49,76,97,57,33,38,71,39,50,74,94,54,37,54,49,72,45,72,41,86,53,65,45,52,39,95,67,68,91,96,55,76,52,74,84,96,62,67,31,95,85,57,68,48,45,68,94,45,79,62,64,92,72,69,61,73,89,43,69,72,92
96,84,87,63,46,93,82,71,66,36,61,97,34,76,55,31,40,68,41,31,95,40,39,41,71,82,35,50,57,35,89,59,62,95,58,45,97,90,36,61,92,46,63,76,79,90,67,32,56,36,41,65,64,67,80,96,45,38,36,90,88,59,34,79,73,95,42,45,31,78,62,90,50,50,35,31,47,35,60,74,66,52,48,75,67,56,42,37,56,69
33,76,83,33,57,30,79,54,42,47,79,86,71,36,74,74,68,65,43,40,43,46,30,83,80,86,65,74,91,85,53,70,90,95,83,52,61,36,92,91,98,95,54,85,58,80,98,96,69,62,36,71,73,70,60,80,85,70,88,58,67,54,61,61,87,90,72,77,85,67,32,81,59,39,98,85,83,62,46,65,54,47,44,50,76,81,95,81,75,70
50,80,70,62,82,71,49,97,97,92,84,92,77,38,82,43,36,93,91,92,60,93,47,59,46,45,82,64,60,49,88,55,66,45,67,68,44,54,94,80,57,64,41,54,50,73,60,97,66,86,58,69,62,32,72,43,44,60,31,56,71,48,91,80,97,45,92,59,85,73,37,55,97,33,41,72,50,42,74,51,36,92,30,31,93,86,37,76,39,49
48,79,77,92,89,83,52,94,83,52,82,33,88,67,79,84,75,47,36,49,68,35,69,91,41,33,40,44,67,76,71,78,78,60,89,57,51,89,75,95,37,68,62,70,41,72,59,46,46,51,34,52,38,96,85,90,71,35,48,67,42,32,49,72,97,93,94,34,45,48,90,44,62,85,48,52,58,95,50,56,38,63,67,70,63,76,47,53,56,50
40,71,34,95,31,87,60,40,51,92,76,79,80,90,76,94,57,50,65,61,92,31,54,82,45,58,73,35,98,63,49,96,45,39,40,95,35,73,83,68,48,75,50,46,83,95,63,53,75,89,72,60,43,88,51,70,58,31,46,39,62,64,74,85,43,36,55,87,84,39,39,37,46,95,79,88,69,49,78,74,71,72,60,40,49,48,67,70,93,88
53,85,88,60,71,49,85,63,37,89,49,62,43,39,49,53,37,61,73,48,87,32,45,98,57,88,66,69,64,57,78,39,38,30,61,92,89,82,65,70,69,38,71,67,91,77,64,67,72,73,74,53,77,58,98,71,68,68,76,97,37,55,54,40,54,76,64,61,83,47,72,98,48,44,80,34,79,63,91,53,60,83,80,79,49,74,47,59,38,53
45,62,66,98,56,69,61,66,38,96,73,58,96,69,39,95,78,98,98,66,45,77,37,56,81,31,97,89,74,44,43,59,30,55,76,37,98,55,71,68,84,62,60,38,30,47,85,64,85,95,50,72,56,39,50,50,68,36,35,91,33,67,37,36,30,79,48,43,42,85,74,31,80,48,97,44,57,79,50,73,86,35,50,33,60,98,68,54,30,58
61,72,42,87,85,77,87,82,76,37,89,50,64,51,78,57,62,61,69,83,72,57,63,37,34,74,59,81,57,56,53,32,40,85,42,33,59,50,39,63,33,58,34,96,51,87,88,52,94,94,88,83,63,33,31,53,52,40,93,38,37,89,54,63,85,47,69,58,44,55,98,67,59,81,35,52,85,32,39,33,54,36,89,37,80,91,75,75,84,30
69,42,74,32,79,60,70,83,65,79,72,57,72,79,57,70,83,36,89,88,69,60,84,88,48,80,50,80,90,78,46,52,51,51,62,53,37,92,66,88,97,54,36,72,37,37,94,85,45,45,39,64,88,34,94,87,30,98,66,72,32,32,33,35,49,97,89,34,86,73,64,54,55,67,40,58,47,45,65,67,98,67,67,43,89,40,75,78,53,90
93,92,71,92,84,51,48,62,85,77,63,77,89,87,77,78,94,43,73,58,50,86,80,50,58,61,84,40,92,72,44,86,70,91,98,71,42,59,94,53,57,46,90,84,91,30,75,72,64,92,49,89,40,30,57,81,86,91,58,51,36,54,32,46,42,55,46,93,45,74,95,54,34,50,39,94,36,52,41,46,88,53,81,95,46,68,57,53,44,47
69,50,58,54,35,93,67,71,58,34,69,71,72,59,46,66,33,66,64,49,70,46,87,97,65,96,91,39,93,90,83,83,55,94,90,43,68,38,52,59,97,35,65,44,41,68,81,54,72,43,93,63,59,63,75,60,39,79,97,34,56,71,40,92,65,81,40,43,62,87,98,32,79,79,47,57,89,49,46,55,36,89,90,63,77,96,70,75,75,74
