DDD10000,LCP10000,RTS10000,CIP10000,IOP10000,PRCY_001
85.25,89.83,88.67,85.42,89.67,87.77
87.42,85.83,86.67,89.93,87.67,87.5
84.42,88.0,92.0,88.4,87.83,88.13
89.33,87.08,85.67,86.22,85.0,86.66
86.83,89.92,89.5,87.71,90.67,88.93
87.58,89.08,92.33,86.51,84.0,87.9
87.42,89.17,86.5,87.78,89.5,88.07
87.67,88.92,89.5,88.87,88.33,88.66
85.33,91.17,87.5,87.53,86.67,87.64
85.58,91.42,89.0,86.56,88.17,88.14
86.5,89.08,87.67,87.13,89.67,88.01
86.25,89.67,86.67,84.47,86.33,86.68
87.92,89.17,87.83,88.44,86.67,88.01
88.58,87.25,84.67,85.98,85.33,86.36
88.0,89.33,87.83,87.49,87.67,88.06
87.5,89.25,87.5,88.4,88.17,88.16
87.0,85.17,90.67,87.71,87.5,87.61
88.0,86.08,91.0,87.73,89.17,88.4
88.33,88.17,87.0,86.98,89.83,88.06
89.08,88.08,88.0,87.84,85.83,87.77
85.42,89.17,86.67,84.47,86.67,86.48
86.67,87.5,84.67,87.18,88.5,86.9
84.08,88.58,89.67,86.47,87.5,87.26
89.08,87.08,87.67,87.49,85.83,87.43
86.42,87.42,88.33,88.53,86.17,87.37
89.58,90.67,89.17,87.24,86.33,88.6
85.0,87.67,87.33,85.76,85.17,86.18
89.75,89.92,87.17,88.56,84.0,87.88
86.92,86.42,89.5,86.09,87.0,87.18
90.83,88.33,85.5,87.0,89.67,88.27
87.25,87.42,88.0,86.02,86.0,86.94
89.75,86.83,90.17,87.56,88.0,88.46
87.83,87.25,85.33,89.29,86.17,87.17
89.83,89.33,88.33,86.16,88.5,88.43
87.67,85.92,86.0,86.07,88.5,86.83
86.0,86.08,85.5,87.24,86.33,86.23
86.42,86.42,86.67,88.93,89.17,87.52
85.25,88.0,84.17,89.04,90.33,87.36
88.42,85.5,88.83,86.33,85.33,86.88
89.33,87.0,86.17,87.44,87.33,87.46
87.58,88.83,89.0,87.58,85.17,87.63
88.17,88.08,88.67,88.47,87.17,88.11
87.83,86.92,89.5,86.58,85.33,87.23
87.58,86.17,87.17,85.58,86.17,86.53
86.5,87.0,86.67,86.09,86.67,86.58
86.67,87.58,86.17,88.51,89.83,87.75
85.58,87.58,89.67,88.69,87.83,87.87
86.92,87.17,86.17,87.93,84.17,86.47
86.67,88.75,88.17,86.33,88.0,87.58
88.92,85.5,87.17,86.47,88.17,87.24
88.17,88.33,90.83,91.62,86.33,89.06
89.5,86.83,88.33,87.18,89.67,88.3
89.67,88.92,88.17,87.11,89.33,88.64
88.75,88.42,87.83,88.67,90.33,88.8
88.5,86.33,88.17,87.24,89.33,87.92
88.92,85.42,86.5,88.73,86.0,87.11
89.0,89.0,85.5,87.78,88.5,87.96
85.75,84.92,90.17,87.62,86.17,86.92
87.08,85.92,86.83,89.62,91.67,88.22
89.17,87.42,89.0,89.58,86.33,88.3
85.83,87.58,87.33,87.96,90.67,87.87
86.67,85.92,87.17,86.22,84.0,85.99
86.33,88.33,87.5,88.42,84.5,87.02
86.42,86.75,88.17,85.96,88.0,87.06
86.67,85.75,86.17,85.44,88.83,86.57
89.33,86.75,84.17,88.33,88.33,87.38
88.42,87.42,90.0,86.87,87.33,88.01
86.92,88.83,87.33,85.38,87.17,87.13
87.92,85.83,88.83,86.49,90.0,87.81
85.83,87.08,85.17,85.71,90.0,86.76
88.33,88.67,90.17,87.93,86.5,88.32
86.17,87.25,88.5,88.58,89.5,88.0
87.83,87.33,88.17,87.84,86.5,87.54
87.0,89.17,86.33,90.09,86.0,87.72
89.67,90.0,87.33,84.58,86.17,87.55
87.17,88.75,84.17,89.51,88.33,87.59
86.33,87.25,88.67,90.07,86.0,87.66
88.17,86.75,89.0,87.16,89.33,88.08
88.25,87.17,83.17,86.98,89.33,86.98
87.42,89.92,87.83,87.64,89.33,88.43
87.33,86.33,89.5,86.64,90.33,88.03
87.17,85.58,84.83,87.31,89.17,86.81
85.83,87.58,85.83,88.84,88.67,87.35
88.92,86.75,86.83,86.69,91.67,88.17
86.92,84.67,88.83,87.36,87.5,87.05
85.92,87.92,88.67,84.89,86.33,86.74
88.67,86.25,85.17,87.13,87.17,86.88
89.33,89.17,87.0,86.47,88.5,88.09
87.67,86.67,90.5,85.11,88.33,87.66
87.58,88.08,87.67,87.8,84.83,87.19
86.25,85.92,91.17,88.09,89.83,88.25
87.0,89.5,88.17,84.02,90.17,87.77
88.0,88.25,87.67,88.69,89.0,88.32
87.0,86.92,89.5,87.8,88.67,87.98
86.42,85.42,86.0,90.02,89.83,87.54
86.0,87.0,87.83,87.31,89.0,87.43
86.83,85.42,86.0,88.2,87.83,86.86
88.92,87.42,86.5,87.8,85.83,87.29
86.17,87.08,87.0,88.04,84.17,86.49
86.92,86.08,87.67,84.58,88.83,86.82
88.08,86.0,86.0,87.33,90.83,87.65
89.58,87.75,86.17,89.2,88.67,88.27
87.67,86.67,87.17,86.31,85.67,86.7
88.83,87.25,91.17,85.84,85.33,87.69
88.83,89.08,87.33,90.58,89.5,89.07
87.58,88.25,88.83,88.69,87.5,88.17
88.08,87.92,86.33,86.73,88.83,87.58
85.75,86.83,90.33,89.49,87.5,87.98
87.42,88.5,87.67,88.49,83.83,87.18
88.58,87.42,89.67,86.04,87.83,87.91
89.33,86.33,88.0,88.07,89.0,88.15
87.42,88.67,89.0,86.69,89.0,88.15
89.0,89.25,87.17,88.93,87.33,88.34
87.5,87.75,87.17,87.38,89.33,87.83
88.25,87.75,88.67,89.42,88.17,88.45
89.25,88.17,86.67,87.31,87.17,87.71
86.33,90.58,88.33,86.51,89.83,88.32
87.33,86.92,85.33,88.44,85.33,86.67
84.5,84.83,87.67,88.13,86.17,86.26
86.33,88.33,89.17,86.84,90.0,88.14
88.0,86.75,86.83,87.53,86.0,87.02
87.75,88.33,88.0,88.96,88.0,88.21
89.0,85.5,88.67,87.16,86.67,87.4
86.17,89.08,90.0,85.11,86.0,87.27
87.17,87.42,91.33,87.42,88.67,88.4
87.58,85.42,82.67,89.69,88.33,86.74
88.25,89.58,83.83,88.22,83.83,86.74
87.67,88.42,86.33,87.64,87.5,87.51
89.67,87.42,83.33,84.62,87.0,86.41
87.25,86.17,88.33,88.51,87.67,87.59
88.58,89.25,87.33,84.67,87.83,87.53
87.67,87.42,88.33,86.27,89.17,87.77
86.08,89.92,86.83,87.04,86.67,87.31
87.58,87.0,88.17,85.89,86.67,87.06
88.92,87.75,85.33,87.18,85.5,86.94
89.08,87.58,90.5,88.04,86.5,88.34
87.08,86.58,83.83,88.0,85.83,86.27
86.67,88.08,86.5,89.73,86.17,87.43
88.75,87.25,88.67,86.04,86.83,87.51
87.75,86.83,87.0,89.02,83.83,86.89
88.42,87.25,86.5,86.67,89.33,87.63
86.08,88.83,88.5,84.4,88.5,87.26
88.17,87.0,87.17,87.84,91.33,88.3
89.5,88.58,88.0,87.0,91.33,88.88
88.83,88.17,88.33,87.98,89.5,88.56
86.83,88.25,81.5,90.27,88.83,87.14
87.08,87.17,85.83,88.91,87.33,87.27
88.83,87.58,89.83,85.31,86.5,87.61
90.25,88.25,88.33,83.87,86.83,87.51
87.92,88.83,87.67,88.58,86.83,87.97
88.75,85.83,87.17,86.44,86.0,86.84
88.17,89.25,86.67,85.51,84.5,86.82
85.33,87.25,88.33,86.02,90.67,87.52
87.33,87.42,84.17,89.09,85.5,86.7
86.25,89.58,85.0,85.76,87.67,86.85
90.0,88.58,88.17,86.51,86.67,87.99
87.92,85.33,89.5,89.78,90.33,88.57
86.33,88.83,84.0,87.2,92.0,87.67
86.0,87.42,87.33,86.33,88.67,87.15
89.33,86.67,86.5,87.91,87.67,87.62
87.83,86.17,86.17,89.38,88.17,87.54
86.33,88.83,89.0,87.58,86.17,87.58
87.5,88.25,86.33,89.02,86.67,87.55
89.08,87.33,87.67,87.87,88.17,88.02
90.5,85.58,86.83,87.84,87.0,87.55
90.0,86.33,88.83,87.02,87.0,87.84
89.0,88.75,90.0,87.24,89.5,88.9
88.5,89.58,87.67,86.33,86.33,87.68
87.92,86.25,84.83,84.87,86.67,86.11
87.83,85.92,87.67,88.09,85.83,87.07
89.5,87.42,89.83,90.62,86.33,88.74
87.17,87.33,86.0,87.8,86.17,86.89
89.25,87.42,92.17,87.13,86.83,88.56
87.08,86.92,90.17,87.24,89.17,88.12
86.42,87.0,89.5,88.98,88.67,88.11
85.75,87.08,84.67,87.2,88.17,86.57
86.5,90.17,84.33,87.53,88.33,87.37
85.92,86.67,90.33,84.82,87.67,87.08
87.08,87.42,87.33,89.42,89.17,88.08
87.5,86.0,85.0,91.82,86.0,87.26
87.58,85.25,88.33,86.27,90.33,87.55
87.92,87.42,85.67,89.04,83.0,86.61
87.5,88.67,87.0,89.84,88.17,88.24
88.0,88.0,89.0,89.38,87.67,88.41
86.92,87.92,87.67,87.58,88.67,87.75
86.42,85.42,88.67,87.64,88.5,87.33
87.0,89.25,90.0,89.64,90.17,89.21
86.42,89.42,92.0,86.16,88.33,88.46
85.67,88.17,86.0,85.6,89.17,86.92
89.42,88.42,89.0,88.96,88.67,88.89
89.17,87.42,84.67,87.82,89.0,87.61
86.0,84.58,87.17,87.96,86.67,86.47
87.92,87.5,89.33,88.69,86.33,87.95
87.58,86.75,89.0,88.49,87.5,87.86
87.58,87.67,87.0,86.58,89.83,87.73
86.5,87.67,89.0,91.02,87.83,88.4
88.0,84.58,88.17,88.27,88.5,87.5
89.08,85.67,82.33,86.29,85.17,85.71
86.08,87.0,90.5,89.42,88.67,88.33
86.75,87.5,88.5,86.27,86.83,87.17
90.25,89.5,85.17,89.0,88.83,88.55
88.67,87.17,87.33,86.78,83.33,86.66
88.83,87.25,88.0,88.76,88.83,88.33
86.25,87.67,89.83,87.73,88.67,88.03
85.5,89.08,84.83,86.82,87.67,86.78
85.0,87.0,92.17,90.33,84.5,87.8
87.33,86.08,86.67,90.4,84.67,87.03
87.67,87.92,88.17,87.89,84.33,87.19
87.25,85.33,89.33,87.36,86.83,87.22
86.83,89.83,86.17,89.98,88.5,88.26
88.92,88.42,88.0,90.87,90.83,89.41
87.17,88.17,82.5,89.69,88.67,87.24
88.08,85.25,87.0,87.18,89.17,87.34
88.67,88.58,87.33,86.76,89.67,88.2
87.92,88.0,91.0,89.24,87.33,88.7
87.67,85.67,86.83,88.44,88.17,87.36
86.5,87.92,89.5,87.07,88.17,87.83
89.08,87.58,83.5,87.91,89.5,87.52
85.92,85.42,86.83,87.98,88.0,86.83
89.75,87.5,88.83,86.69,85.83,87.72
86.25,87.42,89.67,90.38,89.17,88.58
87.0,85.92,91.0,89.02,88.67,88.32
86.33,86.58,84.67,86.73,89.33,86.73
88.25,84.92,87.67,86.49,86.83,86.83
88.25,88.08,85.67,88.49,90.0,88.1
88.08,86.0,89.33,89.93,89.17,88.5
89.08,86.83,87.0,88.91,89.33,88.23
89.0,88.17,88.17,85.49,87.33,87.63
87.58,87.58,87.33,86.71,90.83,88.01
85.5,87.0,86.67,88.31,87.0,86.9
87.58,86.75,86.67,86.47,86.67,86.83
89.83,87.33,88.17,89.67,87.5,88.5
88.75,88.25,86.33,87.07,85.83,87.25
89.0,89.0,87.0,86.16,85.83,87.4
86.75,86.0,82.5,84.16,86.33,85.15
88.67,86.08,89.5,89.31,85.5,87.81
87.58,90.25,85.5,87.87,87.67,87.77
85.58,85.33,86.67,85.98,88.17,86.35
84.92,86.0,88.0,85.91,88.0,86.57
88.17,89.17,90.83,89.09,90.83,89.62
86.25,88.08,82.33,87.13,84.67,85.69
88.83,90.0,87.0,89.04,86.67,88.31
86.0,87.25,89.33,85.64,85.5,86.75
87.58,86.42,85.0,87.02,88.67,86.94
87.0,88.33,88.0,90.96,86.67,88.19
87.17,87.5,91.0,89.64,85.33,88.13
88.17,88.42,88.67,89.62,90.0,88.97
86.67,87.58,85.67,87.69,87.0,86.92
85.75,87.17,90.33,88.98,90.17,88.48
86.33,85.08,90.83,87.33,89.67,87.85
86.25,86.92,86.17,87.87,86.83,86.81
86.5,86.58,88.33,87.82,90.17,87.88
85.58,88.0,85.67,88.42,85.17,86.57
90.0,88.25,83.33,84.29,85.33,86.24
86.5,87.25,85.67,84.36,86.33,86.02
85.08,88.0,90.0,88.04,89.67,88.16
85.58,88.33,86.5,85.87,88.67,86.99
87.42,88.33,87.67,87.91,88.5,87.97
88.5,89.67,88.83,87.22,82.0,87.24
87.5,89.75,87.17,85.84,85.5,87.15
87.42,86.67,86.67,86.71,88.67,87.23
86.83,87.67,87.17,87.56,88.33,87.51
86.0,87.83,83.17,86.38,84.83,85.64
88.33,86.08,89.5,86.93,87.67,87.7
85.42,87.25,84.83,89.33,84.5,86.27
86.92,86.33,89.67,87.76,85.83,87.3
87.58,90.08,88.83,85.87,88.67,88.21
89.67,85.92,87.17,89.09,85.83,87.53
88.5,88.33,86.17,89.04,89.17,88.24
87.25,87.67,83.67,88.29,85.17,86.41
86.25,88.75,86.17,86.62,86.33,86.82
88.0,88.33,86.17,90.49,88.33,88.26
88.5,87.42,87.17,88.2,88.83,88.02
87.58,87.5,87.67,89.4,84.83,87.4
85.75,84.08,85.5,88.47,88.0,86.36
88.08,88.83,87.17,89.24,86.33,87.93
85.83,89.0,86.83,86.33,85.33,86.67
87.75,86.42,89.33,88.2,86.5,87.64
88.58,88.08,88.83,87.64,89.33,88.5
86.42,84.5,88.33,85.49,86.33,86.21
86.5,89.0,86.33,89.02,84.67,87.1
88.25,87.92,88.83,86.16,88.5,87.93
86.42,88.25,89.5,88.29,89.33,88.36
88.92,88.25,90.0,87.38,90.33,88.98
89.08,86.25,87.5,87.42,85.33,87.12
89.33,87.42,86.0,86.82,92.17,88.35
86.33,86.17,89.17,87.36,85.83,86.97
87.5,88.33,89.83,85.67,85.33,87.33
86.08,87.08,88.67,86.58,90.83,87.85
87.42,89.25,86.5,86.02,89.5,87.74
86.08,90.0,91.17,86.4,89.5,88.63
88.08,85.75,85.5,88.56,91.0,87.78
86.33,86.33,86.83,88.51,86.5,86.9
88.0,87.5,87.67,89.18,88.67,88.2
87.75,87.17,87.83,88.02,90.0,88.15
86.58,87.0,85.33,86.42,88.0,86.67
87.25,88.08,89.83,89.18,89.17,88.7
88.33,88.25,87.33,87.56,86.33,87.56
86.58,87.17,87.33,86.51,85.17,86.55
87.92,85.83,86.5,88.6,84.0,86.57
89.17,87.42,89.33,86.96,87.33,88.04
89.08,88.92,86.83,88.13,89.5,88.49
86.33,85.92,88.33,86.73,87.83,87.03
88.92,86.42,92.33,89.38,85.5,88.51
85.5,87.25,88.33,86.38,87.83,87.06
87.0,86.42,84.83,88.62,84.5,86.27
87.0,88.67,85.17,88.27,88.17,87.45
87.0,85.67,85.33,89.09,86.0,86.62
87.92,87.5,84.83,85.6,89.5,87.07
89.42,86.75,87.67,87.11,89.83,88.16
83.75,86.58,87.33,89.53,83.67,86.17
88.67,88.17,90.83,87.89,86.0,88.31
89.0,88.33,89.0,88.29,87.5,88.42
87.92,89.08,90.67,88.78,83.0,87.89
88.92,87.08,86.83,86.67,86.83,87.27
86.92,85.08,86.5,88.22,86.0,86.54
88.0,87.83,85.0,90.0,84.33,87.03
88.42,89.58,88.0,84.53,87.5,87.61
88.25,87.42,85.5,85.53,88.17,86.97
88.42,87.25,87.5,89.09,89.17,88.28
88.0,86.83,87.0,87.51,87.83,87.44
90.75,86.5,89.5,88.53,86.83,88.42
87.67,85.92,88.67,92.09,88.5,88.57
86.5,87.58,88.67,88.0,88.0,87.75
91.08,87.58,86.5,89.49,88.17,88.56
89.5,87.5,90.5,88.13,84.5,88.03
87.58,88.83,86.83,86.18,87.17,87.32
89.75,87.08,87.17,88.27,86.17,87.69
87.92,88.33,86.33,88.07,90.67,88.26
87.42,86.67,88.0,86.22,89.17,87.49
88.25,85.25,89.83,89.58,83.83,87.35
86.17,87.58,90.0,87.87,86.67,87.66
88.25,86.67,88.67,87.11,85.83,87.31
88.08,85.58,86.17,88.07,86.83,86.95
84.75,88.17,87.83,86.51,86.17,86.69
86.25,87.92,89.33,88.09,85.0,87.32
88.75,90.25,87.83,88.67,90.83,89.27
88.17,88.75,90.5,89.67,87.5,88.92
87.0,88.67,87.0,88.78,87.17,87.72
87.25,86.17,89.17,86.67,89.5,87.75
88.67,87.33,86.67,86.96,87.83,87.49
88.75,84.0,89.17,90.58,86.5,87.8
88.42,87.17,87.33,89.69,89.33,88.39
89.0,85.75,89.67,86.69,83.67,86.95
87.75,88.08,87.5,85.73,87.33,87.28
89.33,86.75,87.0,87.69,84.0,86.95
87.58,87.5,88.5,86.44,85.67,87.14
85.92,87.58,85.33,88.09,89.17,87.22
88.25,88.83,85.17,89.53,89.33,88.22
86.58,90.75,85.5,87.44,85.83,87.22
87.67,85.67,88.33,87.22,87.17,87.21
86.75,86.33,85.5,88.11,90.5,87.44
86.17,88.75,86.17,88.38,85.33,86.96
87.83,86.33,88.33,88.84,88.33,87.94
86.67,83.75,86.83,88.6,83.33,85.84
87.58,87.75,84.0,87.18,85.83,86.47
85.58,86.17,86.67,87.11,86.67,86.44
89.0,86.92,92.0,87.51,90.17,89.12
85.5,87.08,87.0,88.96,85.33,86.77
88.83,86.75,87.0,86.67,83.67,86.58
87.33,88.08,87.0,87.18,89.33,87.79
88.83,86.92,86.33,87.02,83.67,86.55
86.58,90.58,90.0,86.96,86.33,88.09
88.25,86.08,90.33,84.4,90.0,87.81
88.08,88.67,87.5,84.31,90.0,87.71
86.5,85.92,86.33,87.29,90.17,87.24
86.08,85.75,87.67,87.11,86.33,86.59
87.75,89.25,88.67,87.6,84.83,87.62
86.33,88.5,90.33,87.49,90.33,88.6
87.58,87.25,86.5,85.6,89.33,87.25
88.75,87.33,89.5,85.09,88.33,87.8
89.83,89.25,88.5,88.73,86.0,88.46
86.75,88.42,87.83,88.09,87.33,87.68
87.42,87.17,90.83,88.76,90.5,88.93
85.25,88.33,82.67,88.8,85.0,86.01
86.83,85.42,86.17,89.78,88.17,87.27
88.33,88.58,88.33,89.27,88.0,88.5
84.08,88.0,88.83,88.78,89.17,87.77
88.17,86.67,85.17,87.58,90.17,87.55
85.75,85.92,85.67,88.44,87.0,86.56
87.08,87.67,88.0,86.62,88.5,87.57
87.92,85.08,88.0,85.93,86.0,86.59
88.08,89.25,87.17,88.0,85.5,87.6
88.75,87.08,88.83,88.93,87.0,88.12
87.25,87.75,84.67,87.73,89.17,87.31
88.92,86.5,85.83,86.71,86.33,86.86
86.33,88.58,88.5,89.16,84.67,87.45
85.67,90.33,89.17,89.58,87.17,88.38
88.25,86.25,89.17,88.24,87.17,87.82
85.92,88.25,90.0,89.07,86.33,87.91
88.42,88.17,84.83,85.6,87.83,86.97
87.5,88.58,86.83,87.33,86.0,87.25
85.17,88.5,88.0,89.56,86.17,87.48
88.33,87.58,86.83,88.69,87.33,87.75
88.5,88.92,84.83,87.71,84.17,86.83
87.67,87.33,83.83,87.84,85.83,86.5
88.58,85.83,87.17,84.49,84.17,86.05
88.92,87.33,86.83,86.53,87.5,87.42
85.83,88.42,88.83,87.6,85.67,87.27
87.42,86.92,89.17,86.22,88.67,87.68
88.08,88.5,85.83,86.22,87.67,87.26
86.58,87.58,83.17,86.49,88.83,86.53
86.92,86.25,85.0,87.53,85.83,86.31
86.58,87.25,90.17,89.18,86.17,87.87
88.33,87.58,89.0,88.33,90.67,88.78
87.25,85.25,87.17,87.38,90.0,87.41
86.0,87.5,85.67,86.84,87.67,86.74
87.25,86.25,87.33,87.2,88.0,87.21
86.42,88.42,89.5,88.71,87.83,88.18
87.58,85.33,86.33,87.09,88.83,87.03
88.0,88.0,86.0,87.11,89.67,87.76
87.33,87.58,85.5,88.38,90.5,87.86
86.08,87.58,86.5,87.24,91.17,87.72
87.67,89.08,87.17,88.56,82.83,87.06
91.08,87.0,83.33,87.82,89.5,87.75
88.83,89.33,85.83,85.07,89.67,87.75
87.25,87.67,83.67,87.73,89.0,87.06
86.25,86.5,84.83,88.78,85.83,86.44
88.42,86.17,89.0,87.71,89.83,88.23
87.58,84.5,89.67,85.09,88.33,87.03
88.25,87.5,87.17,86.78,85.83,87.11
87.17,86.58,85.33,84.71,90.17,86.79
85.42,88.83,90.17,87.87,89.17,88.29
86.0,85.25,86.17,87.51,86.5,86.29
86.33,86.5,87.17,83.56,86.17,85.94
87.25,88.08,86.17,85.38,87.17,86.81
87.17,88.83,86.67,85.11,89.17,87.39
87.92,85.75,89.83,86.49,87.83,87.56
87.17,85.83,88.67,89.98,86.0,87.53
87.58,89.67,85.17,87.16,87.0,87.31
86.33,86.92,87.83,88.67,90.0,87.95
87.92,87.0,87.17,86.67,85.83,86.92
86.58,89.42,85.67,87.44,89.67,87.76
87.92,86.75,88.5,87.24,88.0,87.68
87.75,87.08,89.83,88.93,87.83,88.29
88.25,86.58,88.0,85.64,86.5,87.0
87.08,88.5,86.0,87.98,86.5,87.21
86.42,87.92,86.0,86.38,86.33,86.61
86.08,88.08,90.0,88.56,87.0,87.94
88.58,87.0,89.17,85.09,87.67,87.5
86.92,89.0,90.83,85.4,87.67,87.96
85.75,85.0,86.5,84.87,86.0,85.62
89.67,87.92,87.67,86.31,87.33,87.78
86.08,88.0,87.17,87.49,88.0,87.35
89.25,87.5,90.17,88.82,90.5,89.25
87.67,85.92,85.83,84.42,85.33,85.83
87.92,84.42,83.17,88.29,88.83,86.52
86.83,85.33,88.33,87.8,86.33,86.93
85.0,87.58,87.67,87.91,90.67,87.77
86.75,88.08,87.67,87.89,86.83,87.44
86.25,89.17,87.5,85.71,85.0,86.73
84.5,88.42,88.67,83.87,84.67,86.02
87.75,87.33,88.17,89.16,85.83,87.65
89.0,88.42,85.83,87.04,86.0,87.26
87.75,86.67,83.83,87.02,88.5,86.75
86.17,86.17,86.0,85.8,86.17,86.06
87.42,89.5,87.33,87.44,85.67,87.47
86.25,89.25,89.67,87.47,87.67,88.06
85.92,87.92,87.33,87.53,86.0,86.94
86.83,89.25,89.33,85.33,87.67,87.68
86.33,84.83,85.0,88.44,86.5,86.22
87.83,85.83,86.33,83.98,87.67,86.33
91.08,86.83,88.67,88.64,86.67,88.38
86.5,87.33,91.0,86.76,88.0,87.92
87.75,86.67,84.17,88.73,85.0,86.46
87.25,88.5,85.67,86.67,89.0,87.42
87.75,88.83,83.83,90.24,89.33,88.0
87.5,86.33,85.17,87.44,89.33,87.16
88.75,89.0,87.33,86.62,85.0,87.34
86.83,86.83,89.83,89.49,91.0,88.8
86.17,85.5,87.33,89.22,92.33,88.11
87.42,84.58,88.33,87.13,90.5,87.59
87.83,89.17,88.33,84.47,88.0,87.56
86.75,85.83,88.67,87.67,86.67,87.12
87.67,88.08,88.83,89.64,86.0,88.05
85.75,88.0,87.83,86.49,87.67,87.15
86.42,87.92,86.17,88.09,86.83,87.08
85.17,87.0,87.67,91.44,89.67,88.19
87.67,87.67,88.0,88.07,86.83,87.65
89.33,87.92,86.67,88.98,85.0,87.58
85.75,86.58,85.67,84.49,86.5,85.8
89.17,86.33,89.83,87.47,85.67,87.69
87.5,87.25,85.17,85.91,85.33,86.23
86.25,85.92,89.33,88.49,89.67,87.93
90.33,87.17,84.0,85.71,88.67,87.18
86.33,87.33,86.67,87.27,90.0,87.52
85.08,85.67,87.67,87.84,88.5,86.95
89.17,85.92,84.17,87.96,87.67,86.97
88.25,85.0,87.5,86.93,88.33,87.2
85.25,87.67,89.17,89.29,87.5,87.77
87.25,87.58,82.67,87.47,89.0,86.79
86.92,87.17,87.67,87.82,88.5,87.61
88.42,88.67,89.83,89.91,86.0,88.57
86.83,88.42,85.5,89.24,89.33,87.87
87.17,87.25,88.17,85.36,89.33,87.45
84.33,86.83,87.5,87.96,85.5,86.42
86.58,85.67,88.5,87.53,88.33,87.32
88.75,86.5,87.17,87.18,88.5,87.62
85.25,89.17,86.5,85.71,88.17,86.96
86.58,88.0,88.33,87.24,87.5,87.53
88.75,87.67,83.83,89.0,86.67,87.18
89.58,87.17,89.17,88.98,90.33,89.05
88.17,85.0,89.67,88.62,85.67,87.42
87.17,87.17,86.5,86.36,88.83,87.2
88.08,85.42,88.67,86.13,86.5,86.96
84.17,86.75,88.67,86.91,87.33,86.77
88.83,87.08,85.83,86.58,87.33,87.13
88.42,87.08,89.5,88.22,88.0,88.24
87.08,90.92,89.33,89.02,87.5,88.77
86.5,85.92,91.5,89.2,87.83,88.19
85.08,87.75,89.17,83.44,85.83,86.26
89.17,87.83,90.83,87.76,89.33,88.98
86.17,89.33,89.67,87.22,86.5,87.78
87.0,85.42,89.67,85.98,88.5,87.31
87.33,86.58,84.17,86.82,84.83,85.95
87.83,85.5,84.5,88.2,83.83,85.97
88.42,88.0,87.83,83.93,91.67,87.97
87.25,89.17,88.0,86.47,89.67,88.11
87.33,88.67,87.17,86.42,85.5,87.02
87.42,87.5,89.67,86.0,85.33,87.18
86.0,86.58,87.83,85.78,86.67,86.57
88.83,87.33,90.17,90.07,86.33,88.55
88.33,87.67,88.0,86.71,90.5,88.24
86.0,85.75,89.5,86.16,89.0,87.28
87.5,88.33,90.0,87.22,89.83,88.58
89.5,88.0,88.83,86.58,85.83,87.75
86.75,85.58,85.5,88.71,88.5,87.01
86.67,89.67,88.5,88.09,87.17,88.02
86.25,89.0,89.5,85.0,85.83,87.12
85.75,86.17,83.33,84.76,89.0,85.8
86.67,86.83,84.5,86.36,84.5,85.77
85.5,88.33,90.83,89.82,87.0,88.3
87.83,87.92,86.67,86.98,88.83,87.65
88.75,88.58,91.83,85.78,86.17,88.22
88.25,85.75,85.33,87.0,88.17,86.9
86.5,86.92,90.67,85.27,86.5,87.17
87.0,88.92,87.0,88.47,91.5,88.58
88.75,87.25,88.33,87.73,87.0,87.81
87.33,87.75,91.17,85.04,89.5,88.16
89.08,90.58,86.67,84.87,87.5,87.74
87.67,86.25,88.0,89.44,86.67,87.61
86.58,88.5,88.33,84.38,91.67,87.89
87.0,87.08,88.83,87.6,86.5,87.4
88.08,87.58,88.67,86.76,88.83,87.98
90.25,87.67,90.33,86.44,90.33,89.01
86.75,88.67,85.33,87.87,89.5,87.62
88.33,88.5,83.5,86.96,87.33,86.92
86.08,87.83,89.33,86.16,87.33,87.35
87.75,87.33,89.5,87.36,86.5,87.69
86.5,88.67,88.83,87.44,84.67,87.22
89.17,84.67,88.67,85.78,86.33,86.92
86.17,87.58,90.33,89.4,87.67,88.23
85.08,89.92,88.5,87.53,90.67,88.34
88.42,84.67,88.17,86.69,84.83,86.55
88.75,86.0,85.17,88.38,85.83,86.83
86.83,87.92,83.33,88.02,91.0,87.42
87.25,88.33,86.67,86.84,91.33,88.09
86.17,87.25,89.17,88.02,89.83,88.09
86.67,86.83,86.33,89.53,87.0,87.27
88.17,87.08,89.33,86.07,88.67,87.86
87.67,87.5,85.5,87.89,88.17,87.34
88.25,87.17,88.67,86.49,86.67,87.45
88.42,86.42,89.67,84.02,92.17,88.14
89.25,88.17,89.5,87.56,88.5,88.59
86.0,87.17,89.33,87.36,86.33,87.24
89.0,85.5,85.33,87.53,88.83,87.24
85.58,89.25,88.0,86.18,87.5,87.3
87.75,85.67,83.0,86.93,85.33,85.74
87.25,87.92,87.33,89.42,86.33,87.65
87.0,86.17,87.83,87.18,87.5,87.14
85.92,87.0,88.83,87.71,89.33,87.76
86.83,86.58,81.83,87.18,85.83,85.65
87.17,89.08,89.33,87.51,88.33,88.29
90.33,86.42,88.17,86.31,90.67,88.38
84.58,86.92,87.33,88.07,88.0,86.98
87.67,86.75,88.33,86.93,89.0,87.74
87.83,89.67,87.83,87.78,87.0,88.02
87.83,87.5,88.5,86.71,88.0,87.71
86.58,88.0,89.5,89.62,88.0,88.34
86.83,86.92,86.17,88.36,89.33,87.52
87.42,88.75,88.0,86.98,87.17,87.66
