RST10000,RCD10000,RSL10000,RSU10000,ROR10000,RDA10000,RTR10000,RPR10000,RMR10000,RCM10000,RSRC_001
59.05,58.58,60.74,60.32,62.21,60.16,61.32,57.05,53.47,58.95,59.18
67.37,59.16,61.32,62.0,56.16,57.95,62.68,67.37,51.16,56.89,60.21
58.79,55.05,55.26,64.05,54.37,66.37,61.68,66.58,62.16,58.16,60.25
56.84,61.84,57.84,67.58,57.47,61.26,60.0,53.0,52.63,60.89,58.94
66.0,59.53,63.05,63.89,65.11,61.53,61.58,58.32,60.11,61.16,62.03
52.32,57.95,55.47,58.37,64.79,64.58,61.21,58.89,64.84,57.68,59.61
59.68,49.84,52.26,62.58,65.11,57.0,56.74,55.74,60.84,58.32,57.81
55.11,66.58,55.11,60.47,63.42,60.68,60.37,69.21,58.11,51.11,60.02
62.37,64.16,56.16,63.68,59.53,67.32,63.53,55.42,71.68,64.79,62.86
66.11,56.0,65.0,57.11,67.47,67.32,61.84,57.68,60.11,58.0,61.66
54.53,63.79,57.89,59.89,61.42,66.26,62.26,59.79,56.53,59.58,60.19
58.42,66.0,53.95,57.42,51.37,65.32,58.79,57.11,60.53,53.37,58.23
57.47,60.11,64.0,55.84,61.26,63.11,58.11,62.58,64.47,62.74,60.97
62.21,57.79,61.84,65.26,59.16,61.21,57.16,62.26,65.0,54.89,60.68
67.79,54.89,61.58,63.21,61.16,59.11,60.32,68.89,59.89,62.21,61.91
64.42,59.21,61.21,62.58,58.37,63.21,63.63,57.26,62.74,61.58,61.42
61.95,61.68,63.68,59.89,61.05,56.42,60.95,57.58,60.37,62.05,60.56
59.37,61.79,64.79,56.53,60.53,57.26,62.95,60.68,62.47,66.95,61.33
55.53,61.74,57.21,51.79,58.74,60.11,60.84,69.53,57.21,70.42,60.31
57.74,50.37,56.0,60.05,61.63,61.11,55.68,61.26,58.79,62.11,58.47
56.68,58.42,48.32,71.58,59.32,64.79,58.21,66.68,53.68,55.37,59.31
64.89,60.89,58.74,55.74,58.32,57.26,60.95,58.32,60.42,58.37,59.39
66.16,50.63,54.53,56.21,55.32,65.0,60.42,55.89,54.53,62.37,58.11
57.26,59.47,57.53,58.11,66.74,48.42,54.58,53.84,66.84,61.42,58.42
56.26,53.37,60.63,64.11,62.37,49.11,58.84,59.74,61.89,58.68,58.5
60.21,59.05,64.63,57.53,54.53,59.11,59.79,58.0,57.26,62.26,59.24
69.0,50.74,59.63,64.05,60.53,59.16,54.11,60.32,54.26,57.47,58.93
66.37,58.42,67.26,62.42,65.42,56.32,56.42,56.68,61.16,57.84,60.83
60.79,61.16,54.58,55.53,53.84,60.79,58.84,54.26,62.53,59.58,58.19
63.0,57.95,56.0,51.89,58.26,56.0,62.79,59.68,59.74,67.32,59.26
55.95,60.21,53.37,57.11,62.89,52.21,68.79,60.37,52.68,62.58,58.62
56.79,52.89,53.95,56.89,57.63,67.05,59.26,62.42,57.58,59.74,58.42
59.63,50.79,61.47,59.58,56.68,59.42,66.74,65.21,64.68,65.16,60.94
54.58,53.42,58.63,61.79,54.32,54.11,56.37,59.42,57.68,55.47,56.58
63.68,60.53,59.26,64.95,61.0,67.21,62.47,66.53,59.26,64.95,62.98
58.32,61.47,64.95,59.11,54.63,59.26,54.89,57.21,60.84,62.95,59.36
62.68,63.37,59.47,56.89,53.89,61.05,58.74,52.58,63.11,63.68,59.55
65.95,64.16,57.11,53.84,67.32,64.16,62.68,64.84,58.63,59.26,61.79
59.79,63.26,56.42,63.37,65.16,62.58,59.84,59.53,65.05,67.21,62.22
59.79,59.89,58.95,66.16,60.37,64.26,54.58,64.47,56.0,52.74,59.72
63.58,61.42,58.37,62.16,58.42,62.63,64.05,57.63,52.0,61.68,60.19
58.42,56.58,57.11,69.68,56.37,61.68,60.32,60.79,58.42,58.63,59.8
51.53,57.37,59.11,63.53,61.89,61.16,54.68,67.0,58.58,66.63,60.15
61.26,54.37,65.32,61.68,59.47,58.89,65.84,57.84,53.58,57.42,59.57
61.95,62.53,59.68,61.0,64.47,63.74,68.74,64.16,59.11,66.42,63.18
63.42,55.47,54.95,60.74,58.84,64.58,66.74,53.26,61.63,63.32,60.29
56.84,59.63,53.95,56.95,59.21,57.84,61.74,64.53,61.53,54.58,58.68
60.84,69.05,60.79,61.26,64.74,63.16,61.11,59.26,59.74,59.68,61.96
57.84,60.26,54.42,63.42,58.05,62.84,54.16,60.63,60.42,60.32,59.24
57.42,52.47,53.0,62.63,60.63,65.63,55.26,63.84,51.32,60.79,58.3
62.32,59.37,63.47,58.16,55.63,58.42,56.74,62.21,65.26,58.89,60.05
61.26,51.89,55.63,65.58,58.58,59.21,66.47,63.11,58.16,56.95,59.68
61.84,56.95,66.74,59.11,65.95,66.05,61.95,63.47,49.89,56.79,60.87
54.95,56.53,57.21,61.37,63.63,67.47,59.26,68.11,59.26,65.16,61.29
51.95,61.32,58.0,63.53,59.53,60.47,46.63,59.37,63.68,57.63,58.21
60.32,62.0,48.58,57.68,53.95,53.0,65.84,63.16,58.21,56.0,57.87
59.47,58.68,64.68,60.58,55.26,59.63,64.58,55.37,61.68,60.11,60.01
56.84,58.47,63.21,62.16,60.79,60.37,58.47,60.84,64.74,54.84,60.07
60.58,57.11,60.32,57.53,58.74,63.16,59.26,58.84,51.16,57.37,58.41
60.16,57.42,69.58,58.68,64.05,61.63,60.32,65.89,65.84,59.0,62.26
61.89,58.32,57.84,61.84,64.26,57.21,58.89,61.63,62.05,59.68,60.36
51.95,54.68,61.79,63.32,63.63,58.63,56.53,64.47,62.26,56.89,59.42
58.11,53.84,58.11,56.37,57.21,57.68,57.11,58.21,58.63,49.95,56.52
56.84,59.68,61.84,52.47,61.37,59.47,69.21,61.26,62.79,64.32,60.93
56.42,59.26,63.16,64.21,60.63,61.84,60.53,60.89,61.0,57.95,60.59
63.32,57.47,58.11,53.21,59.11,52.16,53.68,58.63,58.37,58.0,57.21
62.47,55.05,62.68,54.89,59.84,62.05,54.53,57.95,60.11,59.0,58.86
66.95,61.84,57.68,54.74,60.58,57.53,56.42,61.26,62.11,54.68,59.38
65.32,58.37,60.47,63.21,61.89,59.37,57.42,60.58,57.47,62.63,60.67
49.21,60.53,67.32,65.74,64.37,54.26,57.16,53.53,56.89,53.32,58.23
57.42,57.11,56.37,57.79,52.84,59.37,55.05,58.79,56.79,59.95,57.15
60.84,63.37,59.74,60.11,58.68,65.74,62.32,57.84,53.95,61.58,60.42
57.68,59.32,55.26,65.11,56.05,67.21,63.05,64.58,58.63,64.63,61.15
64.21,63.37,67.68,64.16,56.47,59.16,57.84,68.05,56.47,64.95,62.24
65.47,58.16,60.74,69.16,59.32,61.21,62.84,60.16,55.26,59.58,61.19
57.05,59.53,59.11,59.63,62.0,60.16,64.79,57.58,61.21,61.11,60.22
59.89,57.95,59.26,55.79,62.84,58.37,60.84,57.58,58.53,59.47,59.05
55.37,54.95,59.84,54.53,61.79,63.05,55.11,64.05,61.63,63.0,59.33
54.21,58.89,52.95,61.58,54.21,54.95,53.05,63.74,60.89,65.21,57.97
63.58,58.63,62.68,59.84,62.32,60.79,55.63,56.05,61.0,69.26,60.98
68.79,56.0,63.32,61.53,57.42,63.11,54.63,62.58,58.47,58.05,60.39
59.32,58.79,61.37,54.53,59.21,60.05,56.84,59.21,70.05,55.58,59.49
65.16,62.26,54.79,64.89,65.37,58.58,58.26,56.26,58.89,53.47,59.79
62.05,56.84,60.63,55.68,61.11,66.47,64.32,56.26,67.05,60.16,61.06
63.32,56.68,59.0,50.32,59.84,62.63,54.32,56.26,62.58,55.74,58.07
50.26,59.26,62.0,62.0,54.89,58.95,59.0,60.89,54.16,62.37,58.38
61.95,61.26,55.63,65.84,61.42,57.0,54.16,57.68,56.16,60.89,59.2
65.37,60.79,57.47,58.74,66.05,54.58,66.47,64.21,51.0,57.95,60.26
61.32,61.47,53.58,57.74,66.16,67.05,55.11,63.63,63.79,58.0,60.78
57.84,64.26,57.68,55.84,59.84,59.32,51.47,59.74,66.58,57.11,58.97
61.05,60.95,60.79,59.26,56.79,57.79,58.79,54.47,67.37,58.89,59.62
58.47,63.74,58.53,54.53,58.89,54.37,57.84,67.11,67.84,56.05,59.74
52.68,54.84,59.68,57.79,56.42,58.26,55.32,59.89,57.11,62.79,57.48
61.84,62.47,60.53,55.89,60.89,58.37,59.89,65.26,62.58,62.89,61.06
60.84,59.11,61.68,56.16,65.63,62.16,59.0,61.0,56.0,65.32,60.69
57.0,61.0,53.42,55.68,59.95,59.05,53.21,60.53,55.11,58.68,57.36
53.89,62.47,58.74,66.26,58.63,63.53,58.79,58.63,58.53,59.0,59.85
61.42,66.0,64.79,59.11,61.63,63.53,52.63,59.58,60.05,59.68,60.84
54.58,61.79,57.42,56.58,61.58,58.89,67.63,63.79,51.79,60.42,59.45
68.0,65.37,56.68,57.58,62.47,58.21,61.47,57.21,62.47,58.89,60.84
59.63,66.63,64.0,56.05,61.0,59.95,64.32,64.32,54.26,55.11,60.53
64.53,63.26,50.68,69.37,61.32,64.05,61.89,54.16,66.53,61.74,61.75
63.37,59.68,62.95,60.11,59.84,59.11,59.26,60.11,53.53,61.0,59.89
59.53,61.79,58.0,60.32,63.95,62.37,62.37,55.74,57.16,60.74,60.19
63.95,57.89,56.0,49.95,57.68,57.05,63.32,61.79,59.84,59.79,58.73
67.32,65.26,60.21,55.68,54.05,59.95,69.32,52.05,53.47,63.32,60.06
53.79,59.26,64.74,57.05,63.42,53.95,66.05,64.95,55.32,68.63,60.72
60.89,67.05,63.47,62.21,57.26,58.68,61.37,54.37,57.89,57.89,60.11
65.32,59.32,52.95,59.37,62.89,64.63,64.63,61.84,56.26,61.0,60.82
67.16,58.26,55.95,62.26,59.84,58.84,57.95,60.89,60.58,61.05,60.28
52.26,61.53,52.37,63.58,65.74,59.0,64.95,60.11,67.21,58.16,60.49
65.0,60.21,56.79,61.47,56.42,54.16,65.58,60.32,60.26,64.53,60.47
59.11,60.0,57.68,55.11,58.21,65.63,59.53,63.58,59.37,66.42,60.46
55.74,54.84,63.32,53.47,66.63,58.89,59.84,60.58,62.58,55.89,59.18
63.58,67.11,59.79,65.05,59.21,60.47,56.89,59.21,61.89,65.79,61.9
55.95,52.42,58.32,58.79,52.79,56.53,60.16,63.05,69.37,56.74,58.41
54.05,62.95,61.42,50.53,58.89,57.32,58.47,60.21,63.58,66.74,59.42
55.32,66.42,63.42,63.0,57.05,54.74,58.32,54.11,64.16,59.05,59.56
60.53,58.68,58.63,62.89,58.42,57.58,55.84,63.74,65.16,51.32,59.28
57.84,58.42,58.53,57.53,55.53,57.89,61.47,55.84,56.0,57.26,57.63
64.63,58.21,58.16,66.0,60.05,55.74,59.74,64.05,65.32,56.11,60.8
60.79,58.26,66.47,58.79,60.0,57.42,63.42,56.42,59.42,62.42,60.34
62.21,64.37,62.26,64.11,61.74,62.79,59.0,57.21,50.89,54.16,59.87
67.53,60.0,66.47,61.11,58.74,55.89,63.26,65.21,62.0,59.0,61.92
64.47,54.58,53.74,63.42,58.16,54.32,54.16,56.21,65.16,63.37,58.76
52.68,60.63,56.47,64.37,61.63,63.05,58.79,62.58,60.11,63.0,60.33
65.89,56.89,61.11,60.21,62.84,53.21,56.68,62.32,57.84,60.68,59.77
56.11,62.68,58.63,61.95,60.53,60.42,52.0,56.0,55.84,64.11,58.83
65.79,64.05,58.74,60.26,58.26,54.42,65.05,54.95,54.21,61.74,59.75
61.0,60.42,62.63,57.32,61.11,62.0,63.11,65.58,66.42,60.37,61.99
62.53,55.84,52.63,67.42,60.21,69.79,59.74,58.42,53.32,64.26,60.42
68.16,61.16,61.95,61.47,53.11,64.74,62.89,56.74,60.47,51.68,60.24
60.47,57.95,57.47,59.89,55.58,66.21,68.0,56.53,59.74,53.53,59.54
47.26,58.26,57.68,61.21,61.16,57.84,55.26,67.58,59.47,57.53,58.33
64.58,57.47,55.79,61.16,57.89,58.58,56.58,60.21,58.68,63.95,59.49
60.26,63.05,56.37,62.84,61.47,64.63,59.21,60.21,59.79,63.21,61.11
63.74,58.47,62.58,56.84,65.37,60.42,53.84,64.42,48.63,64.53,59.88
64.16,64.47,62.79,60.37,56.42,52.32,60.16,62.63,59.95,54.16,59.74
56.58,61.63,63.63,59.11,64.05,59.42,54.79,58.16,60.16,59.21,59.67
58.47,63.63,60.16,59.53,52.21,63.05,55.05,60.63,63.21,61.32,59.73
61.05,57.05,56.16,58.47,60.63,60.32,57.58,57.53,62.26,61.58,59.26
61.74,62.26,57.32,61.37,62.26,64.53,55.68,62.74,59.32,58.53,60.57
61.11,63.0,56.89,62.32,62.42,59.68,61.21,57.11,61.58,56.37,60.17
62.16,58.95,68.42,65.84,58.74,63.84,57.47,65.63,61.89,65.26,62.82
67.84,58.63,57.16,52.47,62.68,64.42,62.89,62.21,65.37,57.32,61.1
63.16,60.63,65.26,67.11,56.63,60.74,55.68,61.53,63.53,62.05,61.63
63.32,65.53,58.26,50.84,60.0,67.21,55.84,56.26,57.79,64.68,59.97
61.11,61.58,57.79,63.32,57.79,58.21,64.68,69.89,54.16,57.95,60.65
59.79,59.11,60.79,64.47,56.95,61.21,57.26,61.47,61.26,61.95,60.43
57.68,60.42,59.16,59.89,56.11,60.11,55.63,56.11,57.53,62.63,58.53
59.74,54.74,64.79,62.26,64.79,56.89,61.16,50.0,60.47,62.74,59.76
51.37,58.21,49.26,64.63,59.42,62.95,60.95,61.11,66.58,63.63,59.81
61.21,51.74,63.11,58.42,61.32,55.74,55.21,61.79,63.05,59.89,59.15
63.63,61.63,58.0,60.16,62.68,58.53,63.84,63.58,62.11,59.74,61.39
67.84,54.0,59.89,62.58,60.16,60.74,50.37,61.84,55.05,59.21,59.17
58.16,55.0,55.89,61.68,68.58,65.84,56.53,59.53,59.95,61.05,60.22
59.42,60.42,59.53,60.68,65.47,63.21,60.74,65.84,59.68,62.58,61.76
66.53,58.32,62.89,54.53,56.37,60.74,54.95,64.37,61.63,55.47,59.58
60.37,53.42,59.89,60.79,60.0,56.68,60.47,61.74,55.58,52.21,58.12
60.42,56.26,59.47,61.42,61.68,61.74,56.11,59.89,51.63,53.63,58.23
56.11,60.58,59.89,64.89,61.05,56.84,61.95,55.58,61.0,59.74,59.76
56.21,59.95,54.84,62.79,64.79,54.42,57.21,56.95,61.37,57.05,58.56
58.32,67.47,56.53,60.47,55.84,57.37,63.84,56.0,63.37,59.84,59.91
65.32,63.58,58.84,64.58,54.74,58.95,59.74,65.11,65.26,60.58,61.67
66.84,62.11,58.42,63.53,58.74,58.58,62.68,61.0,63.42,60.32,61.56
61.47,60.79,55.74,63.68,66.26,58.74,53.74,66.89,53.53,52.74,59.36
60.79,67.05,62.47,55.84,62.32,50.26,61.47,56.47,57.89,61.05,59.56
61.95,56.89,61.79,60.32,62.32,58.74,54.11,60.42,56.37,52.53,58.54
67.74,57.21,68.95,61.21,54.37,63.42,64.89,58.21,62.0,54.58,61.26
57.89,64.95,56.32,60.05,58.74,62.42,63.79,58.0,58.84,50.37,59.14
56.42,66.11,63.84,62.16,60.53,63.0,59.11,55.68,56.79,61.16,60.48
57.95,54.21,63.21,58.89,59.16,61.16,63.68,63.26,57.0,52.0,59.05
62.37,60.47,66.26,75.05,63.0,53.74,57.68,53.11,63.0,53.26,60.79
63.74,54.11,60.21,65.37,63.79,55.0,62.58,55.11,66.16,64.95,61.1
63.47,63.16,62.26,61.53,54.26,55.79,60.42,61.21,54.0,51.42,58.75
62.63,60.32,59.84,56.74,62.05,59.37,58.74,56.53,56.16,60.11,59.25
61.53,57.37,63.16,59.84,63.95,63.74,61.79,59.79,60.21,57.47,60.88
53.84,59.32,62.42,51.37,58.11,55.16,59.26,55.95,65.53,62.89,58.38
45.32,62.95,64.05,68.0,54.84,54.68,54.47,62.74,57.05,58.89,58.3
65.68,61.47,68.05,55.63,59.89,61.89,64.58,58.89,63.84,66.0,62.59
63.26,65.47,63.21,60.68,63.32,66.79,59.95,62.74,59.11,60.21,62.47
56.37,65.32,63.0,66.84,57.58,63.05,60.26,63.21,56.11,61.47,61.32
57.68,61.32,60.84,69.0,57.47,56.53,63.11,58.89,68.95,55.53,60.93
64.16,56.32,59.42,55.37,61.26,53.16,66.53,60.58,56.53,54.84,58.82
59.95,49.37,53.79,58.95,58.42,64.79,57.42,56.79,64.89,65.47,58.98
70.26,61.84,64.89,60.79,54.16,57.16,60.11,60.84,53.53,54.37,59.79
57.42,60.79,58.16,53.16,52.58,60.05,62.05,53.68,61.37,60.84,58.01
61.26,65.84,66.26,60.47,63.89,55.95,55.26,54.11,60.63,61.37,60.51
59.21,66.32,57.21,67.68,57.58,63.11,63.53,60.11,63.32,61.89,61.99
57.89,65.58,65.05,51.32,62.68,58.42,62.84,55.74,67.26,63.95,61.07
66.05,58.95,56.63,58.32,60.32,52.89,64.74,59.74,53.32,54.11,58.51
56.37,63.58,60.58,57.11,60.58,54.89,61.21,58.11,54.68,65.16,59.23
57.16,58.74,61.0,56.74,55.26,65.47,64.05,56.89,61.37,58.53,59.52
58.37,59.16,59.21,51.32,56.21,65.58,56.0,57.16,68.89,65.53,59.74
57.16,56.95,59.42,67.42,59.74,55.21,56.79,59.95,66.11,60.47,59.92
60.05,64.42,66.79,55.11,61.63,68.21,64.84,54.95,56.32,56.58,60.89
65.0,57.05,55.68,57.63,67.05,61.16,57.21,57.05,59.0,59.37,59.62
64.0,55.68,58.79,55.21,51.79,53.74,58.42,54.37,63.47,55.11,57.06
53.89,58.84,66.89,58.53,50.84,62.26,59.89,57.42,60.84,59.89,58.93
66.26,56.95,60.16,66.84,54.42,60.58,60.21,56.26,53.58,63.53,59.88
57.0,54.32,55.63,66.11,62.89,58.53,55.05,63.11,57.89,66.42,59.69
61.42,54.74,57.95,53.37,58.21,60.42,54.95,60.21,60.05,55.21,57.65
63.79,62.16,56.21,60.63,60.53,65.79,59.89,54.26,59.42,63.26,60.59
54.74,64.05,59.68,56.53,59.42,56.42,65.37,61.74,68.11,55.0,60.11
60.79,55.84,63.21,59.89,53.53,54.84,61.74,59.21,55.84,55.89,58.08
59.68,52.68,60.74,54.95,68.05,63.11,60.37,56.58,53.95,60.21,59.03
57.16,57.47,68.68,59.47,65.79,51.21,55.21,52.11,72.26,62.11,60.15
54.79,63.53,61.26,57.05,60.0,59.37,57.32,60.21,54.05,55.84,58.34
55.32,61.79,57.32,57.68,59.05,64.84,57.53,54.58,55.74,60.47,58.43
55.26,64.89,59.58,55.0,60.53,52.89,62.79,61.37,62.05,66.32,60.07
61.26,61.26,53.63,60.79,62.68,62.53,63.0,63.26,60.11,55.37,60.39
62.16,54.68,62.84,59.95,59.68,56.47,57.84,57.68,60.74,62.21,59.43
66.11,58.37,54.26,70.84,61.05,62.53,59.53,55.11,54.53,56.26,59.86
64.21,64.11,65.26,61.84,67.26,64.21,65.37,61.63,60.16,58.68,63.27
65.89,65.68,66.37,55.05,63.53,70.79,60.05,61.68,56.79,54.05,61.99
63.0,56.05,57.0,59.05,50.74,63.74,60.84,57.37,56.63,57.0,58.14
60.68,67.32,50.74,62.21,64.79,59.89,64.89,60.74,57.0,55.32,60.36
58.42,55.26,62.53,60.37,58.95,57.42,57.16,59.79,58.95,62.68,59.15
59.11,62.26,67.26,58.84,57.37,63.63,54.68,60.68,62.63,57.95,60.44
54.79,52.0,52.42,60.84,53.05,64.95,63.89,54.95,64.21,58.89,58.0
62.32,53.47,50.74,55.42,59.53,60.68,60.32,57.37,67.42,56.63,58.39
60.47,59.0,55.53,58.37,65.42,57.32,63.74,60.16,57.42,52.05,58.95
57.42,66.68,62.68,64.42,60.32,59.16,60.74,63.58,61.84,59.53,61.64
62.63,53.21,63.95,55.26,58.95,63.21,63.16,61.21,54.79,59.84,59.62
57.79,52.26,60.84,59.0,53.53,50.26,58.84,56.79,64.95,58.32,57.26
58.42,66.95,62.47,56.32,64.95,59.26,61.26,58.32,56.58,57.0,60.15
59.68,57.37,62.26,63.0,54.58,59.47,55.47,59.05,63.53,63.58,59.8
59.53,61.47,60.89,61.32,61.11,54.58,58.79,63.26,58.26,59.16,59.84
59.42,63.63,65.11,59.79,57.63,66.68,56.74,59.37,58.16,61.58,60.81
62.0,62.68,58.16,61.21,63.79,57.11,57.37,61.95,64.68,60.79,60.97
63.58,56.74,63.32,61.26,62.11,69.21,56.74,62.95,61.47,51.37,60.87
59.05,64.68,59.37,65.58,60.89,62.32,57.47,62.26,58.79,54.42,60.48
52.74,64.53,66.0,59.21,61.26,58.79,54.21,63.84,65.05,54.95,60.06
59.21,61.32,55.26,62.26,56.63,62.63,59.84,61.68,63.32,62.89,60.51
61.89,60.21,67.58,59.26,52.58,53.0,59.37,59.84,65.58,63.16,60.25
62.84,65.26,63.79,59.74,66.63,59.84,61.63,64.53,62.0,62.26,62.85
59.0,65.58,59.74,64.53,62.42,63.47,62.42,64.74,58.16,62.16,62.22
53.84,64.79,63.68,59.47,59.95,54.37,63.53,57.84,58.74,58.74,59.49
68.37,64.11,51.42,61.42,60.47,60.0,56.11,67.37,59.0,57.74,60.6
57.84,63.42,60.0,58.37,61.37,63.05,55.74,57.79,48.26,54.58,58.04
56.74,56.63,65.58,60.89,67.74,65.47,62.63,63.21,60.0,60.95,61.98
56.0,55.63,62.84,59.37,62.84,63.89,58.74,55.53,62.11,56.74,59.37
60.63,61.95,60.53,56.16,54.53,53.53,64.05,59.58,61.53,65.37,59.78
66.53,60.05,65.42,52.95,64.16,64.53,63.84,66.63,64.0,61.89,63.0
59.95,66.79,63.68,61.74,51.53,58.42,63.58,54.05,60.47,60.95,60.12
61.68,60.05,65.89,63.32,58.68,50.05,56.11,60.21,58.26,63.42,59.77
56.58,54.16,59.42,54.11,58.37,57.16,59.21,59.53,60.0,56.26,57.48
50.42,63.47,63.79,61.21,58.47,53.0,63.89,56.74,60.37,58.95,59.03
60.26,55.16,63.95,59.74,64.37,62.05,57.63,65.37,61.26,57.21,60.7
57.42,63.74,59.89,63.21,57.58,60.63,61.37,59.53,61.05,60.21,60.46
55.16,57.63,50.79,56.58,55.05,58.32,60.68,53.42,59.21,61.68,56.85
60.11,62.63,57.58,60.11,62.79,59.37,55.84,60.21,55.89,60.05,59.46
64.42,58.58,62.84,60.26,56.89,59.05,61.47,57.47,62.16,61.16,60.43
66.74,54.32,62.16,52.89,60.16,56.47,55.42,58.53,52.79,57.74,57.72
56.58,59.37,60.84,56.16,61.74,49.58,60.0,54.89,59.26,58.42,57.68
57.89,61.47,62.95,63.32,61.42,63.05,58.53,65.47,57.53,65.95,61.76
65.58,59.32,47.63,56.89,63.58,67.37,65.74,58.42,64.74,69.11,61.84
65.11,59.79,63.47,69.05,62.89,61.11,61.47,58.68,60.53,55.11,61.72
66.79,62.0,56.68,59.63,59.32,57.53,60.21,63.42,62.37,64.05,61.2
59.53,56.32,63.42,57.47,66.79,59.16,62.68,60.89,62.89,57.58,60.67
59.11,58.89,62.0,55.58,55.05,55.58,62.58,53.16,61.74,63.11,58.68
59.05,56.84,56.37,62.21,63.58,52.68,56.37,60.74,59.0,68.68,59.55
59.42,63.47,56.63,56.95,66.53,59.26,57.79,61.63,65.95,56.37,60.4
58.21,61.74,57.26,61.47,63.11,62.32,61.53,62.26,61.0,55.74,60.46
58.89,62.26,61.21,55.58,57.16,60.89,59.63,62.37,68.58,67.47,61.41
66.42,66.21,61.16,60.68,53.84,60.95,63.21,55.16,63.26,63.21,61.41
62.11,60.05,66.84,58.79,54.11,59.63,56.21,63.58,65.58,53.95,60.08
65.11,56.47,61.21,63.21,68.58,57.68,55.05,58.79,60.47,59.0,60.56
53.79,63.21,52.89,63.42,57.95,56.47,55.58,59.89,57.89,60.47,58.16
63.63,58.58,55.05,67.05,58.89,58.68,67.74,62.11,56.42,58.11,60.63
59.89,63.0,54.16,60.47,59.63,68.26,57.74,70.05,56.95,57.16,60.73
65.47,58.63,59.53,56.74,62.32,63.26,69.32,49.84,60.58,60.42,60.61
54.79,60.37,58.68,63.37,53.0,57.16,70.16,60.68,57.79,61.95,59.79
66.37,61.05,60.84,58.58,60.84,62.58,55.79,58.89,57.89,61.37,60.42
59.95,66.11,62.11,46.53,67.47,61.47,51.21,63.63,58.16,61.0,59.76
56.16,55.32,59.05,53.84,58.26,60.63,62.53,56.11,64.68,60.16,58.67
60.16,61.53,57.63,55.21,61.53,58.58,53.63,58.63,64.84,61.26,59.3
60.89,61.32,53.68,50.0,59.63,55.16,65.74,54.21,59.68,56.0,57.63
61.89,56.32,64.42,57.53,56.05,61.37,53.42,64.79,61.32,49.95,58.71
63.32,53.21,66.0,62.32,63.74,63.79,57.16,69.74,64.84,59.68,62.38
57.84,61.58,60.89,63.32,60.05,62.53,67.58,51.58,57.32,64.84,60.75
60.68,65.21,61.79,58.11,62.84,58.32,58.42,62.68,53.84,61.68,60.36
61.42,61.74,62.95,55.26,57.53,59.16,63.05,54.63,65.16,53.0,59.39
62.0,56.16,60.58,66.84,55.95,63.89,64.74,50.89,65.37,66.05,61.25
63.37,59.32,60.58,60.21,60.32,64.53,53.21,59.05,64.0,65.37,60.99
58.79,51.16,58.0,59.58,59.21,57.32,64.37,54.05,59.63,61.42,58.35
62.16,61.58,63.11,63.42,64.0,63.05,58.53,61.84,56.42,61.53,61.56
54.32,58.11,57.84,58.16,64.58,61.47,55.42,59.63,66.58,63.16,59.93
56.89,58.05,61.32,63.95,62.32,65.74,60.32,58.16,59.68,66.74,61.32
54.26,71.68,61.16,60.79,66.11,56.0,57.16,67.89,64.89,54.63,61.46
62.68,48.21,59.95,62.21,66.21,60.37,56.84,58.21,62.05,58.84,59.56
58.47,62.11,59.63,61.16,62.0,51.42,58.84,59.95,57.53,62.84,59.39
63.58,64.84,55.0,65.95,62.0,64.84,62.58,62.74,63.53,63.89,62.89
66.74,67.21,49.26,59.79,63.84,61.95,63.32,63.05,52.26,65.58,61.3
62.79,54.05,60.74,62.37,60.42,62.68,60.21,53.0,55.53,63.63,59.54
62.74,55.05,61.63,61.11,55.0,60.84,57.0,60.89,56.37,55.47,58.61
60.95,64.58,54.79,59.74,57.37,62.68,61.21,64.68,62.37,56.89,60.53
64.63,65.84,57.84,63.47,55.47,61.21,61.37,65.47,59.32,57.74,61.24
52.53,59.79,60.95,62.21,59.42,66.0,63.42,58.74,57.42,59.74,60.02
56.26,66.58,62.21,64.79,61.11,57.05,58.84,61.63,64.26,59.47,61.22
60.58,65.0,59.37,63.53,63.79,58.79,52.89,66.05,62.68,66.0,61.87
60.58,61.79,61.0,62.42,64.0,60.21,68.37,55.26,58.32,54.05,60.6
60.26,63.42,59.63,68.79,61.11,65.89,62.37,55.21,55.42,58.0,61.01
53.42,57.0,59.0,56.74,62.16,70.63,56.74,55.47,63.32,63.79,59.83
63.26,67.53,60.0,57.89,55.26,59.74,55.53,57.79,58.95,61.53,59.75
62.47,60.37,59.11,54.95,56.42,62.37,54.95,60.21,54.68,61.63,58.72
55.32,65.58,54.58,59.37,60.26,62.63,60.74,59.53,60.32,63.63,60.19
66.84,64.53,57.53,63.16,59.0,60.05,53.79,57.84,58.74,66.47,60.79
61.16,64.47,53.79,53.26,50.16,57.58,54.21,56.37,57.0,61.68,56.97
60.68,61.79,53.63,60.37,60.05,63.53,67.21,61.47,57.26,56.32,60.23
56.68,59.0,64.74,66.47,68.16,64.05,58.74,55.32,64.42,57.84,61.54
60.68,65.53,58.32,61.84,58.47,60.89,58.74,57.21,59.32,50.42,59.14
61.32,64.26,58.16,58.0,59.63,63.32,56.11,68.21,58.89,64.0,61.19
56.05,56.32,63.63,57.16,49.11,55.05,60.95,55.16,51.37,61.53,56.63
59.26,60.0,61.95,62.68,59.68,62.05,63.53,60.32,53.58,63.63,60.67
62.84,57.79,60.11,65.0,65.42,62.63,61.47,59.89,59.0,70.68,62.48
