WPO10000,PPP10000,TQA10000,OCD10000,SPC10000,CTP10000,PCF10000,CTL10000,POD10000,ANL10000,PSU10000,INV10000,TST10000,COR10000,PCC10000,CAP10000,PUR10000,PBM10000,ANM10000,PROD_001
53.3,53.78,53.18,58.47,52.7,63.3,54.73,50.28,51.25,54.32,53.02,53.13,49.36,60.52,54,51.82,55.42,55.62,56,54.43
54.48,69,58.77,56.1,57.7,54.4,60.3,49.28,43.81,57.2,59.5,47.37,52.88,63.5,60.93,58.68,53.7,59.1,54.2,56.36
59.71,59.81,57.55,51.1,50.6,55.57,48.2,56.72,55.72,53.7,55.22,55.6,49.08,52.12,57.53,56.48,54.98,52.98,54.72,54.6
48.95,47.11,61.21,49.37,55.97,55.83,48.1,50.75,52.64,54.62,61.05,55.93,54.48,58.68,65.8,50.98,52.52,50.18,57.78,54.31
56.96,61.11,62.83,56.9,57.77,53.8,55.63,56.74,59.61,59.85,60.05,57.47,64.58,55.92,55.73,55.58,56.3,53.08,58.7,57.82
51.33,61.14,56.71,55.83,55.07,53.5,55.53,60.46,59.58,56.4,51.9,57.97,55.65,59.05,65.62,57,56.48,57.42,52.38,56.79
61.18,42.81,65.92,54.6,53.07,60.17,52.83,58.29,61.82,62.05,56.6,53.37,59.8,53.92,51.08,58.22,63.52,56.32,51.88,56.71
60.63,57.11,53.12,57.8,59.67,58.3,53.4,60.66,58.37,56.15,52.88,51.7,58.43,57.7,58.29,48.48,59.52,51.42,58.25,56.41
51.16,42.25,54.86,52.93,59.17,66.07,62.07,54.32,57.15,55.25,56.32,59.8,55.14,52.95,61.93,59.08,65.28,48.78,53.1,56.19
55.69,52.17,58.17,55,55.4,50.97,56.57,53.46,61.28,60.4,53.9,55.07,54.71,55.5,63.36,57.8,61.5,53.42,52.75,56.16
58.15,56.83,53.77,59.73,55.4,65.67,56.7,53.48,58.58,62.75,55.95,54.73,57.78,57.45,59.98,56.85,54.75,44.02,56.72,56.81
54.62,58.39,53.58,59.63,54.23,66.4,66.03,63.17,63.64,59.88,64.62,52.57,56.08,60.8,58.22,53.18,59.38,55.82,50.08,58.44
49.96,49.75,61.87,57.67,59,61,54.03,55.5,52.17,54.92,55.85,58.23,59.08,60.15,58.46,53.38,59.52,53.82,57.48,56.41
56.96,64.03,62.02,59.27,57.53,53.4,57.77,46.52,58.31,56.38,53.95,59.4,52.85,53.55,53.16,52.28,52.32,57.45,58.8,56.1
49.96,60.81,56.41,55.87,57.67,51.73,52.77,59.72,63.1,63.38,59.5,55.8,52.31,53.35,59.9,53.48,53.52,59.92,60.9,56.85
48.14,53.39,53.68,54.4,57.47,55.53,60.97,54.38,52.21,56.22,58.15,60.4,48.04,61.5,60.34,59.62,58.38,64,59.72,56.66
52.31,50.11,60.91,54.6,51.07,59.07,55.77,48.79,50.31,60.5,54.1,62.47,70.31,52.32,58.67,52.88,55.18,57.9,51.05,55.7
54.32,50.44,53.01,48.87,51.5,59.53,55.03,61.12,60,61.08,51.5,48.93,52.26,49.08,59.7,61.12,59.68,57.15,57.45,55.36
53.69,64.67,52.18,52.63,58.43,47.8,56.27,57.68,55.28,57.42,51.08,55.73,60.48,61.28,59.03,59.2,59.42,56.4,52.6,56.38
54.6,52.56,51.03,54.9,61.2,61.33,58.27,50.6,63.78,55.85,65.45,57.73,59.02,53.22,50.19,56.48,59.6,55.05,60.85,56.93
53.03,67.61,44.7,57.3,56.67,52.07,55.77,48.83,52.84,51.58,54.9,51.4,54.07,56.02,58.13,56.12,50.08,59.68,60.38,54.8
55.82,44.25,55.6,55.2,55.23,52.13,56.03,55.4,60.88,53,59.25,54.67,60.31,57.48,50.68,57.42,52.68,63.52,56.02,55.56
59.35,67,55.6,55.7,59.2,55.23,52.77,59.62,50.06,60.15,62.32,59.53,60.12,57.32,52.27,47.08,52.3,55.32,58.22,56.8
52.89,58.11,58.29,48.2,51.77,55.13,65.43,53.15,54.36,43.6,57.98,46.03,55.24,56.72,54.64,52.75,54.22,55.58,54.65,54.14
62.98,45.75,51.5,58.3,55.93,55.67,66.87,56.41,58.42,54.28,59.78,55.83,54.18,59.78,53.38,59,56.1,56.12,56.75,56.69
55.78,55.94,52.2,51.4,49.33,53.97,59.93,60.22,50.83,57.5,52.38,60.53,53.45,53.52,51.73,51.5,58.75,56.3,55.42,54.77
54.73,59.28,55.1,46.1,59.13,57.6,53.4,53.25,56.93,58.5,56.3,55.2,53.11,57.05,60.89,57.28,59.5,53.18,59.45,56.1
58.03,58.44,59.75,48.73,58.97,61.23,61.87,66.9,50.17,53.2,55.38,52.17,65.54,46.98,56.08,58.98,57.35,60.42,59.08,57.33
66.32,45.92,60.67,48.43,53.47,61.77,46.87,61.07,65.39,57.68,48.75,54.97,60.2,53.92,52.49,61.3,50.12,55.05,53.68,55.69
56.07,47.67,54.56,58.5,59.1,59.87,54.2,64.35,62.4,54.92,56.92,53.83,55.73,52.1,59.8,55.1,56.85,64.38,55.42,56.94
50.21,49.67,58.58,58.13,53.1,65.6,57.23,64.38,59.62,50.8,56.4,49.8,54.12,58.88,52.36,54.45,56.92,47.82,51.05,55.22
58.81,50.36,55,52.43,50.3,56.63,52.43,47.98,59.17,45.68,52.92,52.63,56.65,57.95,52.78,51.88,56.78,55.15,63.28,54.15
59.34,52.94,57.92,61.13,59.77,55.2,64.83,58.29,49.56,59.98,55.55,50.7,52.79,58.18,57.13,57.92,59.22,60,52.62,57
56.47,66.97,57.78,54.3,57.17,51.83,61.8,56.64,57.41,59.52,58.02,50.93,54.6,57,53,55.35,51.38,52.55,57.58,56.33
56.23,43.25,55.93,61.33,62.3,55.4,62.97,57.05,62.84,59.42,57.3,56.4,54.42,61.52,59.56,61.22,56.25,52.1,59.58,57.64
55.91,62.31,57.25,54.7,54.4,59.37,54.87,52.26,50.11,57.15,54.52,56.03,50.72,57.5,58.74,56.48,60.18,54.82,63,56.33
62.97,51.97,58.13,56.7,61.57,55.37,55.03,59.87,53.55,56.3,59.18,62.97,58.99,54.35,51.38,49.42,56.3,62.45,50.95,56.71
59.78,53.17,57.66,56.73,57.27,60.93,63.2,59.16,55.69,56.62,59.45,62.93,56.29,56.42,51.18,56.62,54.75,53.15,62.05,57.53
54.06,63.53,49.22,58.3,56.57,53.9,57.17,53.92,55.47,60.9,59.55,49.7,56.11,59.02,51.73,56.95,53.28,54.05,62.72,56.11
54.85,47.69,60.09,60.5,51.4,54.1,48.37,57.33,57.86,54.9,52.28,58.5,59.22,49.1,50.28,59.85,46.85,51.38,50.3,53.94
55.75,54.44,50.92,61.43,62.53,53.03,58.63,50.35,61.53,62.98,57.75,58.1,52.08,57.32,48.94,55.65,55.48,61.42,53.18,56.4
53.16,65.28,61.68,57.47,48.9,52.93,59.43,60.42,52.69,56.28,55.5,59,64.98,56.12,55.11,59.18,52.28,53.25,53.9,56.71
67.08,66.78,61.94,61.83,57.1,54.87,61,51.53,56.74,56.7,57.52,58.57,53.94,54.38,54.53,60.4,52.18,61.25,57.35,58.19
63.72,45.11,63.15,56.1,52.5,61.43,57.4,51.78,52.74,61.65,57.58,58.73,59.9,56.45,57.1,56.12,55.58,56.8,55.78,56.82
54.13,59.78,53.38,62.6,50,56.4,67.73,55.41,45.97,59.58,53.88,59.17,61.9,59.42,62.01,59.65,59.98,52.68,54.68,57.28
50.45,53.28,56.77,53.1,60.47,55.97,61.13,56.49,58.17,53.72,53.15,53.43,53.94,54.7,50.29,59.35,54.98,53.45,55.52,55.18
57.84,46.11,51.57,54.33,47.63,62.47,62,62.57,44.87,62.95,49.72,55.3,49.9,55.8,53.8,60.6,55.68,55.28,56.28,54.98
63.07,59.25,58.42,54.23,47.03,46.2,53,51.61,49.61,55.18,55.28,61.17,57.12,53.28,59.4,63.15,58.65,61.82,47.4,55.52
58.16,59.08,63.1,54.43,61.3,54.07,50.5,59.06,54.93,62.8,59.7,58.17,65.86,52.52,57,57.68,57.62,55.78,54.6,57.7
52.46,58.83,63.84,60.63,50.47,56,59.07,63.05,53.08,53.22,57.08,56.33,64.74,55.78,56.88,59.1,56.35,55.45,60.42,57.52
65.01,53.83,51.64,63.03,49.97,62.33,54.93,59.57,53.54,54.7,55.45,57.6,56.66,62.05,60.01,61.15,58.48,57.25,59.4,57.72
65.9,62.33,54.01,61.33,59.73,51.53,68.47,59.23,52.98,52.02,56.75,59.9,53.98,49.15,57.21,53.22,55.62,59.65,61.9,57.63
57.44,54.47,50.9,66.33,52.53,60.97,56.77,59.69,56.84,53,59.82,56.43,54.75,56.18,54.28,58.18,56.08,57.12,54.88,56.67
60.28,61.89,53.79,52.53,52.63,49.87,62.5,61.54,61.06,61.02,57.02,50.53,63.76,54.02,61.06,50.35,56.25,60.18,53.65,57.05
48.81,56.5,60.22,56,50.1,55.47,51.8,52.55,54.78,60.7,53.65,59.67,55.62,55.32,55.89,64.85,57.88,58.38,51.9,55.79
58.86,49.06,44.46,62.47,58.33,52.37,52,55.3,48.47,56.6,55.35,54.23,51.82,54.05,62.98,49.18,62.6,52.3,60.05,54.76
59.08,54.19,52.62,56.67,59.1,53.73,51.27,53.52,54.5,57.5,63.45,64.07,57.52,56.6,54.03,56.88,62.75,64.7,56.25,57.29
64.33,52.5,57.11,59.33,55.23,60.2,53.07,48.8,58.5,50.6,58.48,57.5,61.93,62.05,54.15,69.28,56.05,57.35,59.08,57.66
48.52,60.61,52.08,53.83,62.13,56.83,61.1,59.43,51.73,52.15,57.32,52.9,57.52,57.82,51.85,56.2,51.85,52.82,52.68,55.23
51.84,48.86,50.33,55.2,61.63,56.87,61.57,62.49,53.62,49.52,61.88,55.13,54.4,53.42,55.88,56.12,60.18,55.12,68.53,56.45
59.05,54,52.98,54.6,57.5,50.03,50.4,52.97,56.67,53.28,56.85,58.9,53.85,59.58,53.72,56.85,59.08,48.45,60.22,55.21
63.83,56.69,45.21,64.2,59.63,59.43,49.3,64.54,59.47,55.3,59.08,60.33,54.72,65.22,60.08,57.88,56.12,54.4,51.8,57.75
43.61,71,56.71,51.6,61.13,61.4,56.67,51.68,57.31,56.95,40.88,46.17,50.89,54.78,56.92,49.68,59.85,59.15,56.05,54.86
49.69,49.61,52.35,48.37,49.6,64.43,55.23,64.45,52.62,56.7,59.35,53.37,51.8,51.38,56.24,56.55,52.85,53.4,59.92,54.63
58.88,37.03,59.98,56.67,55.7,54,56.33,55.51,64.37,60.55,56.42,60.43,54.08,59.22,54.39,49.75,47.75,48.88,53.05,54.89
52.21,69.69,56.01,53.53,40.73,58.27,53.8,56.6,52.03,53.02,57.2,56.63,57.14,56.58,58.73,56.95,58.95,58.3,57.48,55.99
59.73,56.19,61.79,50.57,51.63,57,60.33,60.1,50.92,58.18,62.68,60.67,54.2,56.72,59.31,53,54.28,61.5,59.62,57.29
53.44,39.28,51.02,53,53.9,51.83,58.53,54.86,53.27,59.7,52.45,57.57,56.7,56.6,53.51,55.95,45.82,54.98,64.12,54.03
55.63,58.75,57.65,60.03,61.63,56.03,53.97,66.22,49.12,58.95,57.98,57.37,60.29,50.35,50.76,63.15,64.75,59.85,60.65,58.06
58.55,73.69,52.36,55.17,52.7,56.13,67.23,54.47,53.35,55.75,57.95,56.5,55.05,57.42,47.87,61.32,58.18,53.82,57.1,57.09
64.24,43.86,54.87,46.93,49.27,65.27,49.8,51.56,56.33,53.95,50.75,53.77,58.58,63.38,61.96,53.48,53.28,59.05,54.62,55
61.26,52.81,52.45,55.83,49.57,53.6,62.4,50.37,53.48,56.88,52.65,64.97,57.12,60.48,52.66,54.12,58.92,54.3,62.48,56.12
54.68,66.69,56.79,55.6,53.7,62.03,48.7,58.03,63.65,52.8,61.18,55.8,59.3,55.52,55.92,55.78,62,59.48,58.35,57.68
50.62,56.86,59.47,55.27,54.1,52.33,59.6,50.98,62.49,53.45,53.82,50.77,53.34,52.68,67.27,53.48,54.22,49.02,65.28,55.53
55.19,47.25,58.38,52.9,55.17,59.57,58.23,57.87,44.72,59.6,53.02,50.13,54.33,65.28,52.28,60.52,61.12,58.12,56.58,55.8
57.18,62.5,64.38,59.8,62.8,60.47,59.93,56.48,63.51,48.85,59.42,56.8,53.91,49.42,62.63,51.42,51.85,44.32,53.65,56.81
50.56,58.61,58.12,59.7,60.33,55.4,67.47,54.08,51.63,45.55,59.1,54.5,56.38,61.45,54.73,55.32,61.65,60.25,58.08,57
53.31,43.58,64.35,59.97,54.27,59.43,47.13,62.49,58.58,54.88,57.15,48.9,64.01,57.82,60.11,55.05,56.28,54.22,62.15,56.51
58.56,38.75,53.65,65.9,55.3,69.57,63.93,57.39,51.43,57.9,52.3,51.03,57.12,55.9,61.77,58.5,57.85,55.32,60.02,56.96
57.06,60.42,52.34,62.63,58.7,56.37,58.43,58.22,60.18,54.65,56.05,60.1,54.94,67.55,54.38,52.12,55.02,57.38,60.08,57.72
54.88,60.86,51.09,52.1,52.37,58.2,57.27,52.75,61.76,61.58,47.88,54.1,50.8,51.75,54.87,55.88,60.7,65.5,58.48,55.94
56.85,53.42,49.97,55.53,49.07,55.7,60.07,54.45,53.58,53.32,51.6,53.37,60.77,54.52,56.02,54.85,52.9,58.68,57.95,54.87
58.11,54.5,54.7,47.37,56.63,60.97,56.03,55.51,63.16,62.5,61.05,58.8,62.21,48.78,50.28,55.85,60.25,56.58,58.92,56.96
56.63,55.97,47.97,53.33,51.43,61.27,51.63,62.33,58.87,49.6,55.55,58.33,57.2,64.47,43.89,59.62,61.48,58.02,47.38,55.53
57.86,64.89,67.07,51.43,67.27,59.97,54.4,57.88,55.32,56.28,54.52,51.03,58.02,56.28,66.64,55.58,60.05,61.42,59.98,58.73
56.9,52.5,53.61,60.8,54,49.5,53.83,53.82,65.16,61.22,59.6,55.5,60.75,64.65,56.37,55.95,56.18,52.35,55.52,56.75
69.35,50.31,47.85,50.63,62.93,60.83,52.03,61.51,51.98,58.6,60.9,63.67,50.04,56.15,53.88,52.72,51.75,59.92,54.18,56.28
52.2,66.42,53.82,61.2,57.57,53.9,54.5,51.79,66.44,61.92,60.22,55.67,51.99,55.98,57.76,56.58,52.68,60.6,52.65,57.05
55.48,49.75,54.98,58.97,54.87,65.13,50.67,51.46,57.68,60.78,53.15,55.17,51.29,55.85,60.82,53.38,62.28,58.05,61.78,56.4
53.31,49.14,57.7,63.37,53.63,57.73,62.27,49.43,56.76,46.22,52.32,62.93,59.07,66.22,54.42,62.92,56.32,56.4,65.03,57.12
58.85,56.61,57.49,53.33,56.73,54.77,57.23,63.14,52.12,51.15,56.12,52.57,52.19,55.9,53.76,58.85,58.6,59.78,54.12,55.96
60.08,57.31,57.29,54.67,60.47,58.37,52.27,52.44,54.28,55.35,52.68,61.6,55.55,60.65,55.17,59.12,60.85,48.15,55,56.38
60.87,65.78,63.3,59.83,58.33,61.07,64.6,61.79,62.12,61.05,61.55,54.03,58.82,55.78,54.6,54,56.35,62.82,53.02,59.46
59.31,56.67,61.28,55.53,58.7,58.63,57.07,53.6,58.45,62.18,60.75,54.6,41.7,61.6,48.2,60.8,48.5,58.88,52.22,56.25
55,51.42,55.9,55.83,58.37,59.3,58.4,53.18,48.48,56.28,61.2,55.43,59.99,50.55,53.13,51.4,58.52,63.05,58.15,55.98
56.87,55.42,54.33,52.67,52.97,55.13,58.93,54.01,55.93,57.65,54.32,55.9,61,54.82,59.12,55.3,54.18,54.82,58.1,55.87
54.69,52.75,61.1,54,60,59.87,53.97,61.32,56.19,56.52,52.58,55.37,58.4,57.12,61.13,54.32,57.62,50.65,52.2,56.31
51.23,50.14,60.39,54.97,62.53,58.3,56.47,53.28,55.33,49.88,55.48,54.27,55.09,52,56.63,50.98,60,54.58,55.52,55.11
56.92,51.22,62.56,56.23,62.13,57.73,51.47,60.76,58.34,58.3,56.05,55.9,59.44,53.42,49.82,58.18,55.45,63.18,53.22,56.86
54.58,57.61,59.42,48.67,60.73,57.33,54.83,51.36,67.9,56.92,52.7,56.57,56.02,54.72,57.42,57.55,58.75,56.65,60.45,56.85
50.15,57.56,59.47,52.83,57.63,57.4,58.4,57.3,60.33,57.8,57.6,58.4,53.92,56.62,62.63,60.35,57.7,51.75,57,57.1
57.99,59.86,55.33,56.57,56.07,63.17,53.83,49.6,58.41,58.45,58.28,64.53,54.26,53.65,61.38,61.68,59.6,49.6,50.42,56.98
60.16,55.97,60.37,59.1,58.03,58.9,52.77,66.35,67.28,59.95,52.55,58.43,55.32,48.92,60.73,52.3,57.9,54.6,65.53,58.17
53.54,65.61,51.73,58.2,64.67,59,60.4,57.95,52.83,50.58,53.5,51.2,55.22,55.2,53.32,56.62,53.3,56.35,53.12,55.91
53.97,66.89,56.23,57.77,52.5,54.17,52.13,58.89,62.06,56.48,55.3,55.5,52.67,55.82,60.17,52.42,56.85,53.45,55.5,56.25
58.6,62.44,50.41,54.6,50.23,55.93,55.13,55.86,56.22,56.68,59.95,55.53,60.31,59.32,49.58,56.8,57.18,61.3,55.98,56.42
59.86,58.75,61.79,58.1,53.3,56.77,62.1,59.42,61.91,59.58,54.4,50.93,57.18,55.98,49.67,59.32,45.32,60.98,57.6,57
55.81,56.69,58.73,57.5,58.87,56.17,57.6,59.49,51.88,55.65,53.08,48.9,54.21,55.65,51.35,52.3,57.25,49.48,58.1,55.19
56.03,60.33,59.37,51.53,58.63,49.37,58.63,47.78,58.15,57.38,56.35,50.9,50.26,63.88,51.79,56.05,60.45,56.7,58.9,55.92
47.2,57.06,62.11,51.4,58.87,61.13,62.1,51.27,62.04,59.88,55.42,59.23,61.1,59.05,57.02,48.65,58.3,66.53,58.98,57.75
58.2,46.28,64.12,67.47,55.87,55.63,48.1,54.03,55.77,64.32,57.6,59.53,62.24,53.95,48.01,50.22,59.72,58.62,50.38,56.32
57.94,60.47,62.01,60.9,53.93,63.5,56.3,60.8,53.69,58.25,47.22,53.4,56.31,57.65,54.83,54.95,58.9,54.52,60.75,57.18
51.72,62.83,50.8,65.57,49.07,48.33,55.2,54.02,53.78,54.7,52.9,61.57,56.22,55.58,61.42,59.72,57.25,61.38,52.28,56.02
55.36,56.64,54.5,58.13,60.07,55,55.63,54.99,58.78,63.1,55.55,52.77,58.15,58.08,54.89,55.38,53.25,53.5,60.62,56.55
56.04,57.67,53.66,55.3,55.53,47.23,59.43,53.76,57.96,55.7,56.2,70.17,61.54,55.52,59.56,53.9,58.65,49.1,53.18,56.32
54.12,59.97,57.92,56.03,59.6,59.73,53.9,56.31,57.62,58.15,56,63,61.19,59.4,61.48,49.2,56.42,59.48,56.5,57.69
57.45,62,60.48,51.1,61.93,52.9,56.3,59.68,57.34,58.9,53.38,60.8,56.09,58.02,50.91,56.92,63.4,54.45,49.62,56.93
63.09,52.33,51.88,61.97,57.37,51.03,58.23,54.77,63.73,58.25,62.4,51.33,59.92,47.8,54.07,54.28,54.6,58.98,50.62,56.14
51.8,48.78,59.84,60.27,52.63,62.3,55.57,50.75,54.05,55.38,59.45,60.37,47.48,58.2,59.37,53.52,60.55,62.78,55.85,56.26
59.4,58.25,61.08,56.77,52.33,50.3,55.63,63.38,54.66,56.5,53.82,55.73,53.18,48.25,60.77,57.3,56.52,63.78,58.52,56.64
59.94,59.33,57.52,50.57,60.47,58.13,60.13,48.2,59.91,58.58,55.75,55.7,64.73,54.28,51.32,63.68,58.8,53.8,54.85,57.14
56.45,54.44,55.92,62.13,51.67,55.33,59.87,49.45,57.94,56,49.22,50.57,64.76,52.6,58.45,52.35,61.45,61,56.6,56.12
51.52,57.33,57.42,56.93,55.63,58.03,59.9,54.66,57.68,58.15,51.9,63.67,55.24,57.18,55.12,61.72,56.6,57.28,57.12,57
53.47,58.67,58.32,62.53,52.6,64.07,62.27,54.18,61.21,55.82,56.15,58.6,53.53,61.92,45.02,55.2,50.1,52.95,56.18,56.46
55.23,57.53,59.38,53.63,59.13,62,53.97,57.27,58.25,59.95,56.12,59.9,59.37,53.45,63.3,58.1,60.88,59.78,58.95,58.22
56.94,54.47,58.62,57.7,57.23,58.63,60.73,55.76,63.58,54.28,63.22,51.17,61.68,58.3,50.2,59.4,57.08,56.85,53.7,57.34
52.68,54.81,61.76,55.63,54,59.73,57.67,51.66,57.33,50.35,57.85,57.17,54.06,59,57.95,59.35,55.22,54.48,50,55.83
58.3,49.86,50.24,53.4,57,56.33,57.2,51.72,56.17,55.12,53.22,58.73,54.89,55.18,60.12,58.58,59.22,57.58,59.02,55.89
54.57,47.67,55.48,56.43,53.53,58.37,56.4,56.11,51.25,54.95,57.52,55.73,59.8,57.58,61.78,54.55,56.22,58.45,56.1,55.92
55.94,63.89,58.86,55.6,56.77,47.43,55.47,58.64,53.06,59.32,58.22,63,62.14,54.42,56.12,54.35,54.55,56.48,61,57.12
59.73,48.53,52.47,54.97,57.87,57.87,56.57,55.96,56.22,64.22,58.9,62.03,54.94,51.78,57.56,53.1,56.85,56.2,56.38,56.43
57.93,51.36,62.08,47.87,55.7,52.33,58.5,63.46,51.22,53.6,56.9,59.5,51.52,53.28,57.86,46.88,55.28,64.28,53,55.4
59.38,54.83,57.28,52.63,60.43,51.2,57.87,65.78,48.59,52.02,61.18,57.43,51.82,56.52,63.68,59.92,61.42,58.35,57.92,57.28
47.54,64.64,61.89,64.97,56.9,60.17,60,58.3,54.57,55.15,59.08,58.1,56.99,51.98,51.72,57.42,55.85,61.42,57.42,57.58
55.56,60.5,57.97,54.5,59.93,54.97,56.27,50.47,51.81,51.52,63.68,57.67,64.97,54.12,52.23,51.65,56.58,50.98,52.72,55.69
64.44,74.86,57.69,48.33,56.93,49.6,54.73,56.38,54.82,54.35,62.5,56.9,62.42,60.08,54.46,56.12,56.52,58.12,58.8,57.79
51.71,62.97,56.87,45.33,51.77,54.67,66.27,54.62,53.86,58.02,61.9,59.37,53.96,65.3,53.9,57.2,50.4,55.55,60.92,56.56
66.15,60.14,61.22,64.2,60.13,52.93,60.77,61.32,61.08,54.68,52.2,54.93,55.62,48.92,49.15,59.08,54.58,57.28,50.55,57.1
52.46,63.06,58.94,53.37,62.4,57,51.7,59.07,48.03,51.48,58.48,53.9,55.48,45.1,49.46,56.8,57.45,60.72,55.85,55.3
59.16,57.75,62.3,57.13,55.57,51.43,57,54.2,60.42,56.05,51.25,58.37,49.99,61.18,64.14,54.32,60.15,57.78,61.58,57.36
66.85,59.58,61.97,50.9,68,51.83,55.33,60.91,54.7,50.85,59.6,57.57,61.1,55.2,65.1,53.8,55.45,55,55.75,57.87
57.96,53.39,54.98,58.73,58.7,55.5,53.33,55.19,51.38,53.08,60.18,64.17,54.38,55.28,55.94,60.78,54.02,56.45,51.48,56.05
61.94,54.78,54.39,54.97,57.87,53.97,47.8,58.93,58.34,54.92,57.78,49.97,60.11,60.78,53.64,64.75,49.9,58.4,57.98,56.38
54.66,61,54.38,52.8,55.73,57.4,60.97,58.95,54.49,65.1,64.78,57.73,61.51,59.58,52.69,57.95,57.58,54.68,61.98,58.1
57.19,51.47,51.52,54.23,50.6,51.7,55.1,58.16,59.88,53.35,53.88,56.57,55.08,58.32,53.96,54.22,53.42,61.1,57.02,55.09
56.09,40.53,51.04,55,55.33,61.27,55.1,49.18,51.54,59.22,52.8,59.93,53.14,55.6,53.78,58.25,54.55,60.32,55.1,54.62
57.64,51.97,56.24,54.37,64.63,61.43,59.9,57.32,55.87,58.55,66.08,53.83,56.72,56.7,55.82,55.32,50.9,50.88,58.78,57
59.69,68.06,58.84,59.07,56.7,56.2,58.67,63.25,56.02,56.1,59.08,56.7,55.72,67.58,59.73,54.7,58.35,55.15,60.5,58.95
64.98,53.47,60.52,54.97,63.07,53.53,55.67,58.62,52.57,56.12,55.85,50.53,57.57,55.1,63.92,59.22,56.9,51.95,52.98,56.71
54.46,55.64,58.07,59.4,56.97,55.7,54.53,58.52,62.13,60.22,58.45,57.63,61.58,57.22,57.45,53.98,55.82,57.35,50.62,57.15
52.44,39.75,48.63,57.97,63.03,54.1,45.93,55.64,51.93,60.9,54.38,54.53,59.05,57.32,55.82,58.02,60.4,57.9,61.48,55.22
54.91,61.31,55.99,50.43,69.2,54.4,57.93,54.93,58.92,53.75,55.82,56.9,62.84,55.12,62.24,61.7,54.62,52.8,57.92,57.46
49.15,57.61,50.23,57.83,55.63,60.87,57.47,63.97,50.58,61.75,58.75,60.27,52.08,55.48,53.5,57.55,58.6,52.25,53.65,56.17
61.06,55.06,55.82,58.3,56.17,56.6,61.1,59.48,61.44,54.85,51,60.63,54.06,53.3,58.35,59.05,52.28,48,55.82,56.44
55.55,66.97,55.97,50.3,67.17,53.87,58.57,58.91,62.4,58.38,62.68,45.17,46.43,52.25,52.34,58.45,60.22,58.28,57.25,56.9
50.17,62.03,57.17,54.3,52.97,57.2,55.7,51.96,55.1,54.78,57.48,58.1,59.96,54.82,54.88,52.68,52.38,50.75,54.3,55.09
57.91,43.81,60.86,52.27,49.43,56.4,64.07,57.78,63.08,57.52,55.82,51.77,57.78,59,56.22,62.52,57.4,56.5,52.6,56.46
49.78,53.94,61.95,56.4,56.63,54.7,53.47,53.24,56.44,56.85,49.32,53.43,58.46,60.75,60.83,52.05,55.32,49.05,58.28,55.31
61.47,58.42,62.05,53.43,56.47,56.4,57.7,49.2,54.96,61,61.1,55.77,59,52.02,64.26,49.95,57.85,64.6,59.18,57.62
52.57,62.31,61.02,51.6,51.3,60.07,65.6,56.56,64.44,60.02,53.68,51.77,62.52,53.6,65.8,55.2,51.45,53.5,60.92,57.58
67.94,55.03,57.47,56.97,67.7,64.1,67.77,55.31,53.04,58.85,65,60.23,60.56,53.65,58.87,52.65,53.85,62.08,58.5,59.45
61.06,42.06,56.86,62.4,62.37,56.87,58.83,56.07,58.21,54.45,53.25,63.1,48.08,56.18,63.82,49.92,56.75,53.72,57.9,56.42
58.39,55.06,62.94,54.37,64.8,63.93,63.67,57.51,51.86,55.42,55.85,54.03,62.84,56.02,58.16,58.55,53.82,47.58,58.18,57.53
53.96,59.22,52.59,56.53,58.07,52.73,61.23,56.38,55.52,53.02,58.45,60.53,62.02,51.2,57.28,54.95,54.9,58.25,59.75,56.66
52.74,59.81,56.89,59.43,54.37,56.83,55.77,56.37,61.12,59.38,54.1,52.97,55.19,52.15,51,53.48,60.28,60.22,52.02,56.01
54.2,63.69,58.58,51.6,56.87,57.03,58.07,62.31,58.81,58.6,57.12,51.07,57.98,56.5,52.58,52.82,57.45,53.38,55.28,56.52
51.69,53.64,56.36,58.5,60.9,55.83,57.23,55.92,59.41,60.98,57.82,62.4,54.72,55.28,63.48,49.3,56.98,57.2,62.98,57.4
62.62,47.08,50.28,53.13,53.77,56.57,55.13,57.58,58.85,60.65,60.1,51.57,60.09,56.82,63.04,63.6,58.12,60.55,55.55,57.11
56.35,70.72,57.02,61.97,60.97,56.03,59.8,56.64,50.6,58.75,57.8,53.07,53.32,66.1,49.24,61.58,59.88,53.28,54.25,57.76
60.66,58.94,58.28,53.43,55.1,53.53,55.57,54.98,57.92,47.28,61.78,65.23,64.83,54.75,53.2,56.12,53.2,57.9,62.52,57.12
51.75,58.81,52.18,61.83,50.7,56.67,55.67,57.71,54.72,52.98,55.22,61.83,54.91,48.2,57.01,59.52,53.82,60.72,59.88,56.01
64.87,61.06,53.51,57.6,53.77,48.83,59.63,56.94,52.86,63.1,57.32,58.47,62.98,60.4,54.71,56.05,59.5,57.32,55.08,57.58
53.71,58.69,46.58,55.27,57.77,52.17,53.97,57.29,59.58,55.8,56.1,51.3,52.47,57.18,54.9,65.85,53.2,54.62,55.1,55.34
55.8,62.47,53.73,63.3,59.33,59.17,59.13,56.79,54.34,54.9,61.52,53.33,56.13,54.98,48.78,53.32,50.52,54,56.05,56.19
57.36,38.56,54.28,54.07,50.97,55.23,53.83,55.26,59.59,51.05,53.82,53.67,55.76,58.9,66.29,57.52,53.78,52.65,53.58,54.54
