ESU10000,SSU10000,CSU10000,GNT10000,CGS10000,GRC10000,ERM10000,AUD10000,POL10000,REG10000,ETI10000,CGV10000,IGV10000,CPI10000,ESRC_001
88.44,86.17,83,84.5,90.67,85.56,85,86,88.83,88,82.67,87.5,85,85.5,86.2
87.89,86.17,85.5,84.75,83.83,90.17,86.5,87.5,89.17,88.83,84.17,91.83,86.5,88.83,87.26
80.5,87.33,84.33,87.75,84.33,84.72,88.67,89.33,86.17,82.17,90.33,87.83,90.5,89.33,86.66
89.22,91,90,82.75,92.33,86.78,84,84.83,83.83,87.5,87.5,87.5,83,91.83,87.29
86.78,90.83,84.67,88.25,81.83,91.44,84.67,89,85.17,86,87,88.5,89.17,90.33,87.4
86.06,86.83,83,88.25,85.67,88.33,87.83,88.67,87.67,88.83,85.33,88.17,83.83,82.83,86.52
88.72,91.5,84.33,83.75,84.83,89.28,92.67,88.83,86.33,82.5,87.67,88,81.33,84.5,86.73
82.5,87,90,91,88.17,90.56,87.33,87.67,89.67,88.33,86.33,87.67,88,85.5,87.84
90.33,85.17,87,93.75,88.83,84.94,83.5,82.33,86.83,87.67,82.33,86.33,93.17,93.67,87.56
88.72,84,85.67,91.75,87.67,87.5,90.83,85.33,85,86.33,85.5,86.67,85,89.33,87.09
84.22,85.5,83.17,89.5,91.83,83.44,92.83,92.17,87.33,85,90.17,85.83,81.83,86.17,87.07
82.89,86.67,82.83,88.25,93.67,86.78,84.83,86.83,85.17,93.67,86.5,82,91.17,88.5,87.13
79.78,88,87,87,85.83,83.44,88.17,87.33,82.17,81.17,82.17,90,85.33,85,85.17
88.67,85.17,84.67,86.5,83.33,85.06,86.33,85,91.17,83.67,82.33,89.5,88.83,85.5,86.12
86.61,84.67,84,84.5,85.67,85.89,88.67,86.33,85.83,84,89.17,91.33,86.67,87.5,86.49
86.94,89,83.17,85.75,87.67,88.11,84.17,87.67,85.83,85.83,90,84.83,86.5,83.17,86.33
84.11,88.17,85.83,90.5,84.33,84.06,89,85.17,86.67,88.33,88.17,87,91.17,89.67,87.3
87.33,88.67,80.33,86.25,87,89,87,84.5,82.17,91,91.5,86,90.83,84.5,86.86
85.33,84.5,89.67,82.25,89.33,85.72,89.33,83.5,88.33,84.17,87,89.83,85.67,86.33,86.5
89.06,88,86.17,90,85.83,87.61,84.17,88.67,87.17,83.5,86.17,87.5,87.33,90.83,87.29
88.11,83.83,90.17,88,88.5,88.72,88.33,88.17,84.17,87.17,86.83,87.5,85.83,85.83,87.23
86.61,88.83,88.83,87.5,84.83,85.61,85.33,88.33,88.17,86.67,79.67,84.17,82.67,88.67,86.13
85.22,88.83,85.83,87.5,87,88.17,92.5,82.5,82.83,82.5,85.33,81.33,89.67,86.67,86.13
90,82.17,85.17,88.25,84,89.28,89.67,84.33,85,84.33,88.83,87.67,85.33,84,86.29
85.33,89.17,85.67,86.25,88,90.78,88.17,84.33,86.67,83.83,87.5,86.33,87.5,89.67,87.09
85.11,90.33,87,87.25,88,89.22,86.83,85.5,81.67,91.5,88.67,88.67,87.33,85,87.29
87.44,85.83,90,82.5,86.67,87.33,86.17,88.33,83.67,87.5,89,87.17,85.17,89.33,86.87
84.39,80.83,88,89.75,90.17,86.78,88,87.67,91.5,84,81.5,86.67,85.67,86.17,86.51
88.44,85.67,86,86.5,88.5,86.94,86.33,88.67,84.17,90.17,86.33,91.5,85.83,83.83,87.06
83.94,84.17,91.17,84.75,86,85.5,85.5,81.33,88.67,89.83,90.5,84.67,82.83,88.67,86.25
87.28,84.33,80.83,91,90,84.61,87.5,86.83,88.83,88.33,86.5,91.5,86.5,83.33,86.96
84,87.5,83.83,82,84.83,84.22,88.33,86.5,88.33,81.67,81.33,82.67,84.33,86.5,84.72
88.11,85.17,83.5,85,87.83,92.61,91.5,83.17,89.5,86.67,88.5,83.5,84,85.83,86.78
85.94,88.17,85.33,86.5,85.83,85.67,89,85.83,88.5,83,92.33,86.67,84.17,93.67,87.19
88.28,86.33,83.83,88.5,93.67,89.39,89.17,86.5,85.33,85.17,89.5,92.17,88.5,82,87.74
88.06,83.83,85.17,91,90.5,86.17,91.5,89.33,86.5,86,86.33,83.83,86.33,86,87.18
85.83,89.5,88.17,89,87.67,79.39,83.83,87.67,86.33,89,86.67,82.67,89.17,86.17,86.5
90.94,88.67,90.17,84.25,87,83.78,85.33,85.83,83.17,86,83.33,85.83,86.17,91.17,86.55
85.72,83.5,83.33,82.25,92.17,89.06,88.17,89.67,82.17,85,84.17,88.67,85,86.5,86.1
88.11,84.67,83.17,90.25,87.67,85.89,85.67,84.83,84.5,87,87.17,84.5,83.33,80,85.48
84.11,83.33,84,90,89.5,82.44,89.67,89,89.33,81.83,90.5,84.83,86.33,89.17,86.72
89.56,86,87.33,94.25,81.5,87.06,87,83.33,86.17,85.17,84,89,82.17,87.83,86.45
88,84.67,88.33,91.5,84.67,93.89,87.83,85.83,89.67,88,82.67,87.83,82.83,87.5,87.37
86.44,86.17,89.33,81.25,84.33,87.17,88.67,92.83,90.33,86.33,87.33,89.33,86.5,83.17,87.09
91.39,82.17,92.83,87,86.33,81.5,85.67,89.5,84.67,89.33,85.83,86.83,90.67,86.17,87.13
82.89,88.33,82.5,87.5,81.83,90.94,82.83,86.67,86.33,83,88.5,90.5,88,91.67,86.54
83.11,89.5,86.67,80,83.83,88.67,85.17,84.83,89.33,84.67,82.67,83.83,85.33,90,85.54
83.17,86.67,90.17,88,83.17,82.11,88.17,83,87.5,83.5,87.83,84,85.83,79.5,85.19
87.72,84.17,84.83,88.25,85.33,87.89,82.83,91,89,84.17,84,85.83,86.67,88,86.41
87.44,83,88.5,93.75,89,87.11,82,86.67,83.17,88.17,84.33,87,87.83,89,86.93
93.33,83.33,85.33,81.75,88.67,92.61,87,85.5,85.83,86.17,85,86,81.17,90.67,86.6
84.33,84.33,81.5,86.75,83.67,87.78,90.33,93.67,88.67,86.67,82.33,81.5,89.17,88.17,86.35
88.78,88.33,91.33,87,89.83,85.78,85.33,88.67,85.33,86.67,89.67,84.17,92.17,85.33,87.74
84.06,89.17,85.83,83.5,87.33,87.72,89.5,86.5,86.33,90,86.67,91.5,89.67,85.17,87.35
92.67,83.67,82.5,85.75,92.17,85.67,92.5,86,86.33,82,90.83,90.83,91,80.5,87.32
88.5,84.5,87.83,85.75,85.67,89.28,90.83,84.5,87.67,87.17,87,90.17,82,86.17,86.93
87.78,85.83,90.17,88.25,85.5,84.39,89.67,90.83,87.33,85.17,86.67,83.33,84,89.33,87.02
87.33,87.5,87.17,85.25,84.83,85,91.17,86.83,84.67,88.33,89,85.83,86,88,86.92
81.56,83.67,89.83,80,83.5,86.83,84.17,92.33,87.67,89.67,85.17,85.17,85,78.83,85.24
87.94,85,88,85.25,80.67,86.22,88.5,92.17,90.5,90.5,89.83,88.67,83.33,84.83,87.24
84.28,90.17,81.33,90.25,85.67,86.33,86.83,82.67,87.83,88.17,86,86.83,88.5,84.33,86.37
93.89,86.33,84.33,88.75,87.17,88.44,87.67,90.67,83.33,87.83,83.33,85.83,88.83,88.17,87.47
89.94,87,84.17,86.25,88.5,85.39,84.5,83.67,86,78.33,91.83,81,83.67,80.83,85.08
92.17,87.17,86.5,83.5,81.17,88.22,83,85.5,91.17,88.83,93.17,82.5,88,83.83,86.77
87.72,85.33,89.33,84.25,92.33,87.06,83.67,87.17,85.83,86.33,88.67,90.17,89.67,87.83,87.53
85.33,89.17,84.33,88,85.5,80.78,87.17,89.33,87,81.5,87,86.17,88.5,88.67,86.32
91.56,84,88.5,88,83.17,86.39,84.17,87.17,87.17,85.17,88.67,89.33,89.83,83.5,86.9
87.72,86.83,89.5,88.5,87.33,89.83,87,90,84.67,88.33,87.17,91.5,81.17,85.67,87.52
85.39,86.67,84.5,84.5,82.5,85.5,86.17,83.5,88.5,88.5,87.17,86.33,85.5,93.33,86.29
85.5,89.5,88,86,87.5,86.44,85.5,85.67,86.67,91.5,86.5,83.83,86.33,82.17,86.51
86.56,86.33,92.5,83,88,90.89,87.5,79.33,87.83,86.67,91.5,93.17,84.5,85.33,87.37
86.39,82.83,86,81.25,87.83,85.78,86.17,86.67,92.67,83.5,88.33,86.83,83.83,84.67,85.91
88.33,85.5,86.17,87,88.17,91.67,88,85.83,89.67,89,92.67,84.5,93,89.33,88.49
85.83,89.67,88.17,88.75,84.17,85.94,84,89.33,88.83,89.67,86.33,85.83,89.83,87.33,87.41
90.44,87.17,84.67,89,81.17,89,85.83,88,92,87.17,88,89.67,86.5,87,87.54
87.94,87.83,84.5,88,90.5,82.11,91.17,88,81.83,88.17,82.67,87.67,90,86.67,86.93
85.28,87.17,87.33,86,84.83,89.78,89.5,87.33,85.5,83.83,85,83.17,85.17,85.17,86.08
78.94,84,86,84.25,87.5,86.11,82.67,87.17,86,91.5,79.67,88,90.17,84.83,85.49
88.17,88.5,83.83,88.5,88.33,89,90,87.67,91.67,91.33,88,86.17,91,87.5,88.55
86.44,87.5,84,88.25,82.17,84.83,83.5,90,84.67,83.17,82.83,89.67,85.67,84.33,85.5
89,89.33,91.83,89,90.33,84.78,85.67,81,88.5,86,84,87.67,89.33,91.17,87.69
85.5,86.17,87.33,86.5,90.67,87.33,89.67,89,86.5,88.5,88.17,84.67,87,83,87.14
85.83,87.5,88.17,85.5,83.33,82.5,89.33,85.67,86.17,88,87.83,82.17,78.67,91.67,85.88
89.17,90.5,87.83,87.75,81,86.89,87.33,85.83,82.17,88.33,86.33,87.17,83.83,85.17,86.38
91,87.83,92.67,89.75,87.17,86.72,89.33,85.17,91.17,85.83,87.5,85.67,83.67,87.33,87.91
88.72,86.67,85.17,87,89,79.39,88.83,88.5,89.67,85.33,90.17,85,90.5,89,87.35
85.17,86.83,89,89,84.67,88.78,80.5,84.67,88.5,85,88.17,92.17,86.67,86.33,86.82
86.44,88.33,80.5,92.5,87.17,90.17,84.67,86,86.17,86.67,86,87.33,84.5,79.67,86.15
81.39,88.67,83.67,88,83.83,88.67,85.5,83.33,86.33,87.33,94.33,84.33,87.67,85.33,86.31
89,88.83,83.83,86.25,85.17,85.78,89.5,87.33,85,82.5,84.67,88.33,87.67,88.83,86.62
84.39,90.5,89,85.25,83.5,86.83,89.17,83.5,87.67,88.33,89.5,85,84.67,87.67,86.78
86,88,91.33,79,86.67,86.11,84.17,88.83,87,86.17,88.67,84.5,84.83,84.5,86.13
89.78,82.33,86.33,93,83,89.22,81.83,85,87,92.17,89.5,92.83,92,88.33,88.02
84.67,86.5,83,83,89.67,83.28,85,86.17,87.83,84.67,86.67,83.67,87.67,85.67,85.53
84.28,86.33,84.67,87.5,86.33,85.22,88.17,88.5,82.17,86.17,85,86.83,89.67,84,86.06
86.89,89.17,83.67,85.5,85.33,86.56,89.83,89.17,83.17,86.33,85.83,88.5,88.5,83.67,86.58
82.33,91.17,82,81.25,83.33,90.22,87,84.17,89.5,89,89.83,92.33,87.67,84,86.7
85.22,89.67,88,87,86,88.22,87.5,91.5,82.33,84,84.17,82,88,85.83,86.39
84.89,84.17,89.67,84.75,92.83,89.17,84.17,85.67,84.67,85,88.5,82.33,88,86.33,86.44
90.78,88.83,84.17,89.25,82.67,90.44,82.83,86.17,87,87.5,87.67,88.83,89.17,86,87.24
82.33,84.5,82.5,81.75,89.83,89.67,83.67,87.33,82.83,85.17,91.33,84.33,88.83,87.5,85.83
87.94,85.5,88.83,90,82.17,86.61,87.17,87.5,86.83,86,93.33,89.67,89.5,89.67,87.91
84.44,87.5,86.33,82,87.67,81.44,86,84.5,89.33,88.17,88.33,89.83,89.17,85.17,86.42
89.72,89.5,91,85.25,84.17,86.56,86.83,94.5,92.17,87.17,83.5,86.67,86,85.83,87.78
88,85.33,89.83,91,82.17,82,82,90.5,87.5,87.67,85.33,87.5,86.67,85.83,86.52
84.39,85,83.83,85,88.17,82.44,81.67,90,89.17,86,90.17,89,89.17,88.5,86.61
88.78,86.17,84.17,81.75,86.33,86.56,82,88.17,85.17,82.33,82.5,86,82.5,83.83,84.73
84,87.5,88.83,87.5,85.5,83,89.17,88.33,87.17,83.33,86.67,92.67,85.33,87.17,86.87
89.11,91.67,88.83,83.5,86.33,91,91.83,84.67,83.5,84.5,85.33,81.83,87.83,85,86.78
88.17,86.83,82,85,83.83,85.39,82.83,90.17,82.5,86.5,88.67,86.83,85.67,86.5,85.78
89.39,86.17,85.5,83.25,89.17,87.39,83.67,82.67,82.17,84.83,85.33,88.5,85.67,85.83,85.68
85.67,84.17,81.67,86.75,91,84.78,86.83,80.83,83,84,87,86.83,85.83,88,85.45
89.33,87.17,84,89.25,87.17,86.83,86.67,88.33,86.67,87.33,91.83,87.17,85.5,87,87.45
85,84.83,86,89.25,85.17,85.72,94,86.67,89.67,84.17,83.5,90.67,88.17,83.67,86.89
82.11,88.17,84.33,90,88.67,88.5,85.67,91,85.67,86.5,89,87.33,86.33,85.33,87.04
84.28,89.33,88.83,85.75,85,86.22,86.67,87.67,87.67,86.33,90.17,86.67,84.33,91.33,87.16
82.39,87.67,83.33,82.5,89,84.06,85.33,86.67,87,90.17,88.5,84.5,81.5,81.5,85.29
85.06,86.17,84.33,91.25,84.17,90.39,90.83,87.33,84.83,87.5,83.83,82.83,88.67,87.17,86.74
88.83,88.67,88.17,89.5,85.5,85.39,89,80.17,86.17,83.17,89.83,84.83,87.67,87.67,86.75
85.33,83.17,89.17,83.5,86.83,83.11,88,89.33,88.17,87.33,89.67,81.83,84.67,85.5,86.12
87.39,87.17,88,80,90,91.33,81.17,85.67,89.83,84.17,82.17,89.67,82.67,87.17,86.17
87,89.83,86.67,90.5,84,87.67,82.33,91,87.17,87.67,83.67,85.5,85.83,89.33,87.01
85.56,86.17,85.83,88.25,85,85.89,80.33,84.83,86.17,85.33,84.83,87.67,89.5,86.33,85.84
88.28,85.33,85.67,81,87.83,86.06,89.83,83.5,84,90.33,84.67,90.17,80.5,86.67,85.99
89.78,81.17,86.67,85.75,86.17,86.28,92.5,86.67,82,92.17,90.67,88.17,85.33,89.17,87.32
87.67,86.33,86.5,87.25,86.83,84.56,86.67,90.83,85.17,87,89.33,82.33,81.33,88,86.41
85.5,85.83,85,84,87.83,86.61,88.67,80.83,86.33,85.5,88.17,82.83,90.17,92.33,86.4
84.61,87.83,85.33,86.25,85.5,89.17,84.5,82.33,83,89.17,84.33,85.17,83,83,85.23
85.33,84.5,85.67,84.5,85.83,87,83.67,87.33,85.83,83.5,86.17,87.83,84.67,85,85.49
83.83,85.5,87.17,89,83.67,90.28,80.83,81.83,85.33,85.5,83,88.83,87.17,80.83,85.2
88.28,88.67,86.67,87.5,84,83,88.5,84.5,83.5,91.33,87.67,85.67,86.5,90,86.84
87.11,85,87,89.25,82.33,85.22,89.33,82.17,81.33,90.5,90.17,86.33,83.5,87.83,86.22
84.61,83,92,87.75,87,89.61,84.33,85.17,86.83,91.17,90.33,87.17,85.83,83.17,87
83.22,86.83,85.67,85,93.33,85.67,89.5,84.67,85.17,82.67,87.67,83,92.83,90,86.8
87.22,83.83,86.83,86.25,87,90,82.67,90.33,91.17,80.5,87,87,89.5,85.17,86.75
86.89,86.83,84.83,83.75,87.83,82.72,85,89.33,87.17,88.67,86.17,92.33,87,90.83,87.1
91.44,92.17,88,84.25,89.5,85.83,84.5,89.5,96.83,82.33,90.5,86.5,85.17,85.17,87.98
88.22,84.83,90.83,83.25,85.33,88.61,80,86.5,88.17,84.17,86.83,86.5,87.17,85.5,86.14
89.67,89.5,91.83,82.5,90.33,86.33,90.17,88.17,84.67,86,91.67,87.33,87.83,83.33,87.81
88.33,88.67,87.83,87.5,89.33,83.39,89.17,87,89.33,88.67,87.17,93.5,85.67,87.67,88.09
84.22,87.17,88.17,88.5,85.83,87.5,90.33,92.33,86.33,87,92.83,85.67,86.33,89.17,87.96
87.94,86.5,86.67,81.25,86.33,87.22,83.67,90.83,85.33,87.83,87,89.17,86.5,86.5,86.63
83.33,83.67,88.67,81.75,84.33,86.67,92.33,87.33,86.83,85.83,84.33,90.5,87.33,88.33,86.52
87.61,85.5,85.67,83,83.83,87,89,82.33,92.17,85.33,89.33,87.5,91,88.17,86.96
86.33,82.67,85,87.25,87.5,90.06,88.17,84.67,90.17,90.83,84.5,84.5,83.5,86,86.51
86.17,82.17,85.67,86.75,86.5,89.5,89.33,86.17,82.5,87.83,87,81,83.83,89.83,86.02
87.39,86.33,89.5,82,85,90.5,86.67,89.5,89,88.5,86.17,82.33,89.67,90.67,87.37
90.44,88.17,92.33,84.5,88.17,84.17,87.33,77,87.83,86.67,84.67,84,85.33,89.17,86.41
84.28,84.33,82.83,86.75,84.17,84.17,88.67,88,89,85,86.83,87.33,85,83.67,85.72
91,81.67,90.17,86.5,88.83,82.78,90.17,90.17,89,85.5,86.17,81.83,86.83,82.33,86.64
83.5,85.67,87.83,89.25,82,87.33,80.17,82.83,87,88.17,86.33,87.33,88.17,86,85.83
85.83,91.83,84.17,89.75,87.5,84.06,89,90.5,87,84.17,87.5,90.83,91.5,84,87.69
87.72,81.83,82.67,86.5,84.67,84.33,91,86.83,80.67,87.83,85.33,88.83,87.33,88.83,86.03
91.17,84.5,86.67,85.25,84.33,88.28,88.33,88.33,82.5,87.83,89.17,86.17,87.67,86.5,86.91
85.61,85.17,87,87,81,84.39,89.67,85.5,86,86.5,87.33,88,86.5,85.67,86.1
89.83,88.67,89,89,85.67,88.5,87.83,83.17,83.33,82.5,89.5,85.83,83.33,84.17,86.45
83.83,90.17,92,89.5,83,88.17,89.33,86.83,83.67,88.17,90.67,83.5,86.5,81.5,86.92
84.78,87.83,85.17,87.75,88.33,85.83,92.5,86.67,83,90.5,83.67,86.83,85.33,87.5,86.84
86.28,86.33,90.5,88.25,86.83,86.67,85.5,86.5,87.17,82.5,90.5,83.33,91.33,86.83,87.04
84.72,88,85.17,86.25,85.5,85.94,90.5,83.83,87.5,82.17,82.67,86.67,86,84.33,85.66
82.44,88.33,88.33,92.5,80.17,83.11,88.67,89,91.5,88.33,84.83,85.67,84.33,86.83,86.72
87.11,86.17,82.67,85.5,88,87.17,90,82.83,89,89.83,86,84,85.67,87.83,86.56
84.28,85.5,82.17,84.25,87,82.78,89,87,93,91,81.33,86.67,84.33,88.5,86.2
86.94,84.17,84.17,81.5,86.5,88,86.83,81.67,85.83,83,87.83,85,81,89.67,85.15
81.83,84.67,83.67,89.75,87.33,84.83,81,88.17,90.67,80,88.67,82.83,87.33,86,85.48
84.22,85,90.5,86.5,90.17,85.61,86.17,85.67,87.83,90,82.5,86.5,88.83,86.5,86.86
91.11,88.5,87,89.25,88.67,88.83,86,85.5,84.17,90.67,79.5,90.33,85.83,89.33,87.48
81.33,84.83,87.83,80.25,81.83,86.28,84.5,84,89.83,87,83.17,89.17,88.83,85.5,85.31
86.28,85.33,88,91.75,87.33,83.39,89.33,84.83,87.33,93.5,84.67,91.33,88.33,83.5,87.49
86.33,87.5,84.17,90.75,85.83,87.11,84.67,87.5,86.5,85.33,86.33,92,83.5,84,86.54
87.17,88.5,85.17,89.75,91.5,88.22,88.17,86,90.83,83.83,86.83,86,93,90.33,88.24
87.06,82.5,83.33,85.75,88,85.94,82.67,87.5,87.17,85.5,85.67,87.67,86.67,87.33,85.91
85.61,85.5,88.17,87.75,87.17,82.94,82.5,84,87.33,83,85.33,86.33,88,81.17,85.34
83.61,86.5,87.83,84.75,87.67,85.44,91.17,88.17,84.67,88.17,83.5,87.33,86.17,85.83,86.49
91.11,83.5,86.67,83.75,89.33,86.94,82.83,83.33,86.33,87.67,83.67,88.17,84.17,80.67,85.58
86.11,92,93.5,88,88.5,85.39,89.33,85.83,86.17,89.5,84.83,86.5,89,84.33,87.79
86.94,87,87.17,83.5,88.33,83.83,86.5,84.33,91.17,87.33,84.17,87.83,86.5,88.33,86.64
86.94,88,84.33,91.25,93,89.11,84.67,84.5,82.33,88.5,90,85,88.5,85,87.22
90.72,84.83,90.67,86,87.17,89.83,86.33,87.33,80,84.33,83.83,85.83,81.33,82.67,85.78
84.72,86,81,89.25,86.33,85.22,86,81.83,90,85.83,84.5,88,91,85.17,86.06
87.22,86.67,88.5,89.5,80.83,87.33,91.17,87.33,80.33,89.5,87.5,83.83,84.67,87.5,86.56
85.22,88.5,87.33,84.25,91.17,89.61,90.5,87.83,89.5,86,84.5,87.83,85.5,89.33,87.65
87.56,87.83,85,87,84.17,84.11,87.17,84,90.83,89.5,83,85.5,86,85.83,86.25
86.22,85.67,92.67,83,88.17,89,84.33,85.33,86.67,87.5,85.5,84.5,88,85.5,86.58
83.83,88.83,84.5,87.25,89.17,84.83,82.33,89,88.33,86,91.17,87.5,88.5,87.67,87.07
81.56,85.5,88.33,91.5,85.33,83.56,87.33,91.67,84.67,91.33,86.83,87.5,83,82,86.44
82.61,91.33,86.33,87.75,88.83,87.72,86.67,85.5,89.67,91.83,85,81.67,84.17,84.67,86.7
87.22,84.5,84.83,82,83,87.06,85.83,92.5,82,86.33,89.33,88.67,85.5,86.5,86.09
87.22,88.67,86.5,85,90.33,85.83,86.67,86.83,83.83,86.17,87,84.83,89,85,86.63
86.56,84.33,83.83,90.75,81.17,89.94,85.33,83.5,86.33,90.33,87.17,82.67,89.17,88.67,86.41
87.5,87.83,86.83,86.75,82.5,85.17,85,82.83,85,85.83,83.83,85.33,85.83,85.83,85.43
84.78,81.33,84.83,85,83.5,89,84.83,85.5,81.17,91.17,89.33,80.5,84.67,89,85.33
88,87.5,85.67,80.25,81.67,86,91.17,87.17,86.33,82.33,90.83,92.67,86.5,88,86.72
86.78,88.83,84.83,88.5,86.67,86.22,85.67,87,85.83,87.17,84.67,85.33,86.83,89.5,86.7
89.22,87,87.83,89.25,82,85.67,93.67,83,85,92.17,85.17,84.17,86.83,83.83,86.77
87.17,88,84.83,91.25,86.33,84,82.83,84.5,86.67,86.33,87.67,85.17,85.33,92.17,86.59
86.61,89,87.33,87.5,89.33,88.83,85.17,88.33,88.67,85.17,83.83,84.5,86.33,86.33,86.92
86.22,87.5,83.5,85.75,85.83,82,83.33,86.33,87,89.33,87.33,91.17,91,84.5,86.49
90.22,87.83,88.17,85.75,83.33,84.78,88.5,87.33,86.83,80,87,91.33,92.33,81,86.74
87.78,87.67,87,87.5,84.33,90.72,85.17,86.83,89.17,88.5,82,89.5,87.67,94.5,87.74
82.5,83.17,87,83.25,82.67,83.11,85.5,92.5,90.33,81.33,85.83,87.67,82.67,90.5,85.57
84.44,84.17,87.33,88.5,91.67,86.61,85.33,88.17,79.5,83,86.67,87.17,81.17,84.5,85.59
87.39,83.5,90.17,84,89,86.44,87,90,86.5,81.83,82.5,86,88.33,83.5,86.15
86.44,94.5,84.83,87.75,83.5,86.72,84.17,86.17,83,91.33,87.5,82.33,86.67,88,86.64
87,85,90.17,89.75,84.67,87.33,90.67,85.67,88.5,87.67,88.33,91.83,82.67,82.67,87.28
86,88,86.83,83.5,86,88.44,87.5,86.17,85.33,88.33,84.67,86.17,84,88.33,86.38
85.94,89.67,83.33,93.5,87,88.22,88,84.17,88.67,86.5,86.5,87.5,86,88.33,87.38
88.06,87.5,91.33,85.5,88.17,82.78,84.33,86.83,86.33,88.83,90.83,82.5,83.5,88.5,86.79
85.83,85.83,85.5,80.75,82,86.89,83.33,85,87.67,92.67,86,85,90.17,88,86.05
95.11,87.33,87.67,87.5,82.5,86.78,88.83,83.83,88.33,83.33,83.83,85.17,89.33,86.67,86.87
85.56,85.83,82.5,83.25,84.33,86.78,85.5,83.5,84.83,83.83,85.5,86,93.5,81.5,85.17
86.11,92.5,85.5,85.5,86.33,82.39,83.67,87.83,86,84.83,87.33,86.67,86.33,87.67,86.33
87.22,90.33,82.83,87,82.67,78.61,83.17,84.33,92,88.67,90,90.83,89.17,85,86.56
82.94,81.67,84.17,86.5,88.17,87.83,86.83,83,84.5,87.17,81.83,84.33,82.5,83.5,84.64
80.78,85.83,82.5,89.75,84.67,85.72,91,88,89,90,85.33,87.83,86.67,83.17,86.45
88.11,88.67,82.83,87.5,85.33,89.72,80.83,88.33,84.17,88,90.67,85.83,88.67,85.83,86.75
84.28,85.17,83,81,85.83,83.22,84.17,84.67,93.17,90.17,84.67,90.17,88.67,82.67,85.77
88.72,86.33,89.17,81,85.67,88.83,83.33,86.5,86.17,86.33,84.17,86.67,86.83,86.33,86.15
85.06,85.33,86.67,83.25,88.67,82.94,81.83,88.67,88.33,86.17,83.33,93.83,86.17,87.67,86.28
86.28,86.67,88.83,92.25,89.67,88.56,88,90.17,85.33,82.5,84.83,90.17,84.83,84.17,87.3
83.94,88,83.5,83.5,91.83,78.44,89.33,86.67,89.33,85.33,87.17,88.17,87,86.67,86.35
87.61,83.83,90.5,91,85.33,86.83,84.67,87.83,88.67,87,83.33,85.67,82.67,88.33,86.66
85.56,83.5,81.67,79.75,87.83,91.61,88,87.83,84.67,84.17,87,85.83,82.33,88.5,85.59
79.17,89.67,88.17,80,85,85.72,85.5,85.17,91.5,82.5,84.83,93.17,87.67,84.17,85.87
83.33,94,86.5,83.75,86.17,84.83,92.17,89.33,86.17,86.83,86.67,81.67,90.33,86.67,87.03
84.72,87.17,87.33,81.5,88.83,89.94,86.67,88.5,90.83,85,81,84.67,82.5,84.5,85.94
86.83,90.17,84,86.5,86.5,83.5,82.33,88.83,82.83,89.5,86.5,84.83,84.33,81.17,85.56
88.06,86,90,85.25,87.5,83.5,89,84.17,85.5,88.67,90.17,87.33,87.67,86.83,87.12
83.28,82.33,82.67,90.25,84.33,90.56,88.17,87.5,86.67,85.67,87.67,82.5,88.83,88.33,86.34
91.83,83.83,85.33,83.75,88.83,85.17,87.5,90.67,88.33,87.33,86.67,87.33,87.17,86.5,87.16
89.61,90.17,88.17,89,86,81,84.67,81.67,84,90.5,84.67,86.83,89.67,88,86.71
93.11,81.5,80.33,85.75,85.17,87.78,87.33,86.33,86.83,90,82.5,86.17,84.83,88.83,86.18
90.72,86.67,83,83,82.83,82.33,88.67,87.83,87.17,82.67,89.5,91.5,85.17,89.67,86.48
82.72,84,87.17,90.5,82.33,84.28,84,90.5,83.33,81.33,83.17,83.33,85.67,84.5,84.77
83,83.83,85.33,85.5,90.67,86.67,89.33,84.83,88,83.5,84.17,85.33,86.83,85.33,85.88
85.89,89.17,84.33,85,89.5,88.06,85.5,81.33,93.67,86,85.67,85.67,85.67,92.83,87.02
83.89,84.33,81.67,81.75,84.67,89.5,82.83,86,83.67,88,87.17,84.33,91.33,92.5,85.83
89.17,87.17,85.5,88.75,82.17,87.44,83.33,85.17,84,86.83,83.67,87.17,91.5,89.5,86.53
85.11,87,85.17,88.75,88.33,92.39,86.17,88.83,82.33,83,85.5,82,85.5,88.83,86.35
87.39,84.83,80.33,84.5,87.83,90.28,88.83,87.67,85.17,86.17,86.33,90.5,87.5,80,86.24
83.94,80.5,86,85,84.67,87.5,87.5,89,84.17,89.5,89.83,90.33,85.67,85.5,86.37
90.06,86.83,86.67,88.5,87,87.28,85.83,84.83,86.67,83.67,86.83,90.67,81.83,80.5,86.23
84.33,89,84.5,81.25,88.5,86.33,89,87.83,86.33,84,90.83,87,88.5,85.67,86.65
85.39,86.83,83.5,90.5,86.33,84.94,86.83,86.67,82.5,80.5,86.17,82.33,84.17,82,84.9
85.89,87.33,90.5,88.25,86.67,86.83,84.83,84.67,89.5,85.83,92.5,88.33,87.83,83.5,87.32
91,84.83,91.67,87.5,87.5,87.44,85.83,89.67,87.17,83.67,81.67,87,92.33,87.33,87.47
83.94,82.83,85.5,82.75,89,87,86.17,87.33,87.17,84.5,91.5,84.5,92,83.17,86.24
83.78,88.83,88.17,85.5,88.17,91,83.5,84.33,87.33,83.33,82,91.83,85.67,84.67,86.29
85.5,93.67,80.83,87.75,83.33,87.22,88.83,87,85,89,90.17,90.33,86.5,86.67,87.27
