CSR10000,CEM10000,ORH10000,CRM10000,ITM10000,CIM10000,CPM10000,QSL10000,BIM10000,BPR10000,BIH10000,BEV10000,CHG10000,CBC10000,RTN10000,CII10000,CCM10000,CSP10000,CFS10000,CUST_001
61.67,65.64,65.87,62.68,68.21,60.53,65.21,59.32,64.32,62.47,55.58,57,64,48.58,47.68,59.32,65.58,63.05,60.21,60.89
68.07,53.93,69.27,55.89,56.95,65.42,61.26,64.68,62.16,54.84,54.47,56.47,63,52.68,58.26,61.16,67.79,61.84,59.32,60.39
57.47,58.57,58.67,61.21,66.16,66.63,51.79,55.42,65,61.26,59.79,56.79,73.11,59.84,60.79,59.16,52.37,59.16,55.21,59.92
59.07,67.14,63.07,64.89,60.47,59.53,60.89,61.16,53.42,63.42,63.47,57.11,52.74,59.58,56.16,56.68,67.84,56.32,58.11,60.06
57.07,59.93,64.87,59.68,57.95,56.84,59.47,53.84,60.89,53.53,57.63,56.89,57.95,56.26,74.89,59.42,63.58,58.58,45.16,58.65
54.27,52.29,65.13,51.84,55.11,67.58,64.32,59.68,57.26,54.47,53.63,51.74,58.53,59.84,56.89,47,63.32,53.47,53.26,56.82
50,56.71,51.53,63.79,55,61,57.42,57.89,57.53,59.26,54.63,55.16,58.84,65.11,62.21,54.58,71.63,60.84,59.37,58.55
61.8,54.5,50.53,62.47,52.26,59.79,71.89,52.53,57.53,74.26,62.42,62.42,52.05,53.79,56.58,65.74,57.16,73.79,67.16,60.46
52.93,62.07,69.67,56.32,61.11,64.05,58.37,61.63,64.58,57.11,60.53,62.74,60.84,55.84,54.47,59.63,69.11,65.32,56.53,60.68
56.47,68.21,67.6,61.89,56.79,51.74,64.11,59.74,67.11,52.74,62.89,66.32,51.16,56.79,50.26,65.05,55.68,61.74,62.53,59.94
68.6,61.79,64.33,55.37,48.32,61.79,52.68,60.37,54.58,53.37,55.89,62.47,54.84,57.05,65.21,55.32,57.16,60.16,52.95,58.01
60.67,50.71,69.53,59.68,56.21,56.47,65.37,56.63,66.89,67.11,58.53,60.58,56.74,69.37,58.05,56.89,60.11,54.32,62.53,60.34
65.07,53.64,64.47,57.53,62.53,61.58,52.74,61.16,54.05,65.53,64.74,59.53,59.79,65.63,56.89,59,57.37,60,58.89,60.01
58.2,64.57,64.73,52.68,57.37,60.47,49.74,61.84,49.89,67.21,61.32,51.42,64.89,54.11,59.89,65.37,63.05,51.95,60.37,58.9
63,54.79,58.07,52.05,61.53,58.42,66.05,51.79,62.68,49.47,62.05,48.89,53.68,63.79,63.21,60.79,66.42,53.21,59.21,58.37
63.8,67.36,53.47,57.05,56.37,69.79,59.32,61.58,52.95,64.21,69,54.84,67.32,57.11,63.42,53,63.53,55.42,61.16,60.56
66.67,55.29,59.8,61.05,57.37,59.84,53.16,58.95,56.79,58.95,69.21,57.32,55.79,69.16,61.05,60.68,58.47,58.58,53.47,59.56
63.8,59.79,60.47,65.11,66.42,56.89,58.11,65.37,64.26,50.58,65.89,55.16,57.74,55.11,57.53,64.95,60.32,62.58,59.37,60.5
55.87,45.86,66,57.32,54.74,59.32,68.63,62.95,41.53,56.26,59.74,61.68,63.58,57.42,55.37,64.26,59.42,62.32,54.63,58.26
64.27,61.14,59.47,61.16,59.58,63.68,57.37,56.42,61.37,63.26,61.63,66.37,57.68,56.26,59.26,67,65.26,58.37,55.63,60.8
61.4,60.14,62.07,62.11,55.11,66.37,66.16,58.21,66.79,53.68,56.84,56.26,49.05,49.95,55,59.05,66.53,63.42,68.79,59.84
59.47,59.5,61.47,51.16,52.47,52.11,59.95,57.89,60.11,61.84,65.63,55.37,61.63,54.32,57.37,52.68,62.74,56.58,48.89,57.43
61.2,66.71,70.13,62.89,53.47,60.79,58.32,55,54.11,53.84,60,55.74,59,56.58,55.63,58.16,59.21,65.89,58,59.19
61.07,51.86,56.67,62.53,51.26,62.21,58.63,56.53,60,55.37,56,57.95,56.74,61.47,62.53,58.32,63.95,45,68.58,58.24
69,62.36,56.6,58.79,49,62.63,50.74,67.74,59.89,53,68.89,58.58,60.89,59.74,58.58,61.26,63.16,62.26,51.58,59.72
57.87,65.14,57.87,59.89,70,54.74,49.63,55.84,55.37,58.53,59.74,62.84,59.89,58.32,55.42,58.16,55.05,61.89,56.63,58.57
59.8,69.57,65,67.16,47.37,61.58,55.63,59.84,48.84,67.42,54.11,54.26,63.95,53.95,65.42,72.11,67.32,64.05,63.89,61.12
54.87,53.64,50.07,56.21,57.74,61.11,66.21,61.05,53.21,61.42,68.95,57.26,64.74,65.42,64.58,59.68,71.63,62.79,56.89,60.39
52.27,57.79,64,60.63,51.89,65.89,56.47,55.47,60.47,58.84,61.37,61.32,60.89,62.58,62.58,61.95,57.89,55,66.37,59.67
62.2,62,59.87,59.37,56.16,53.84,62.11,53.58,56.95,63.21,54.89,65.63,56.26,58.37,64.26,60.32,65.26,61.16,57.11,59.61
64.4,55.86,56.47,62.84,57.11,52.11,52.53,62.11,60.95,51.89,51.47,59.89,60.11,62.68,57.47,55.79,57.68,55.21,54,57.4
63.2,52.29,59.07,56.26,60.53,50.42,65.58,62.79,56.05,65.47,48.89,56.89,59.21,56.16,57.21,54.68,64.68,52.63,54.58,57.72
57.53,71.79,52.13,56.11,56.84,50.84,52.11,56.84,57.37,61.79,65.95,59.95,48.32,61.42,63.37,50.26,57.68,49.47,55.74,57.13
62.07,61.36,51.2,60.68,57.21,48.68,58.95,51.74,59.11,49.16,54.68,55.05,51.42,57.74,53.26,56.84,64.11,60.84,68.05,56.96
52.8,63.36,67.07,54.47,70.74,64.32,56.79,58.16,53,51.79,51.84,60.32,58.68,57.74,62.63,61.11,62.21,60.79,64.95,59.62
56.8,56.5,48.33,73.84,67.05,65.53,57.95,60.89,52.89,69.26,65.16,60.32,56.37,48.58,56.53,54.21,67.84,60.84,62.21,60.06
53.13,58.71,62.67,59.16,60.16,62.37,62.26,63.95,59.58,61.68,59.47,59.95,60.68,59.42,57.79,55.42,54.16,69,59.74,59.96
67.2,50.86,68.33,59.42,59.53,59.37,61.37,59.05,48.63,69.32,55.84,69.32,64.63,54,65.53,51.47,73.58,62.74,50,60.54
55.8,55.29,66.73,58.74,48.21,59,63.11,59.84,58.37,56.53,56.16,53.21,61.32,65,52.74,54.32,56.68,58.79,59.32,57.85
50.2,57.29,57.73,52.79,49.63,59.47,54.47,51.89,65,62.42,61.05,59.89,53.95,55.47,62.53,65.16,62.63,57.74,59.26,57.82
55.27,64.43,66.73,56.74,55.26,64.05,63.79,57.68,66.58,59.63,58.63,56.11,50.58,56.47,67.32,60.16,57.16,64.95,57.16,59.93
65.67,56.64,60,53.37,49.79,47.89,55.32,62.32,58.89,67.95,59.37,57.37,58.89,55.63,65.95,59.26,52.05,57.84,61.74,58.21
54.87,65.29,56.27,56.21,53.89,65.63,59.95,64.63,55.11,62.32,62.05,58.32,63.95,52.84,70.89,61.21,67.79,53.42,61.32,60.31
55.67,59.14,70.13,60.37,53.21,52.89,60.42,59.58,58.95,45.47,64.89,65.95,61.79,52.95,57.26,48.95,54.68,57.16,62.74,58.01
58.67,63.29,61.6,58.58,53.79,54.05,60.05,61.74,65.47,56.63,55.21,64.37,46.47,56.63,53.74,54.95,66.63,49.84,68.16,58.41
54,54.5,61.53,53.42,52.11,52.84,56.37,54.21,59.89,57.95,58.63,58.37,61.26,54.47,60.26,65.89,64.53,51.74,65,57.74
54.67,66.29,63.13,64.16,56.42,60.21,64.37,65.16,39.79,61.37,46.68,66.74,50.89,52.37,58.42,53.37,63.84,55.21,58.21,57.96
51.87,53.14,57.13,66.79,57.21,62.63,59.26,61.16,68.84,52.11,62.16,59.11,51.74,61.21,55.58,49.32,63.63,57.37,58.63,58.36
59.27,65.5,61.2,60,46.16,68.89,56.79,59.11,69,65.05,56.47,63.53,60.32,63.05,61,66.53,61.47,59.84,58.42,61.14
52.2,46.71,69.8,56.84,50.63,56.47,60.21,63.63,60.63,65.95,58.84,62.42,57.37,67.16,61.47,61.68,67.05,49.58,61.63,59.49
63.4,63.79,61.47,65.37,57.84,55.58,60.05,62.89,63.37,54.84,58.63,53.84,59.53,57.74,58.16,49.37,62.21,52.32,65.42,59.25
67.47,60.43,55.87,62.42,50.68,62.89,59.26,64.37,66.26,64.74,56.53,55.05,47.42,61.21,54.68,59.47,59.32,60.21,67.89,59.8
61.87,72.5,53.73,49.68,49.26,56.53,62.21,53.05,52.53,56.47,54.16,57.11,59.84,66.16,65.89,56.79,55.47,52.74,53.26,57.33
52.8,57.71,62.07,55.32,58.79,63.95,59,55.11,63.58,49.32,55.95,65,55.89,58.05,53,63.63,52.53,66.74,59.58,58.32
64.73,64.86,49,55.05,56.11,65.53,59.58,55.26,53.79,65.63,62.89,53.63,60.58,64.21,55,56.68,60.68,49.95,61.95,58.69
61.47,59.29,60.07,66.68,70,60.32,62.68,58.58,62.84,59.32,57.74,54.89,55.37,56.63,72.42,58.79,72.37,48.63,52.89,60.58
47.87,66.5,63.33,60.89,54.58,59.16,68.89,64.11,57.47,52.53,64.21,59.26,60.32,63.84,64.63,56.84,59.37,61.74,61.21,60.36
59.27,64.14,67.67,62.32,57.42,60.11,55.42,59.79,64.26,59.79,57.58,74.42,64.53,61.05,51.68,55.68,60.68,58.32,55.84,60.52
57.87,52.79,46.53,60.37,61,62.89,64.74,57.74,55.89,60.74,66.89,49.21,57,56.05,56.58,54.26,47.05,67.37,60.42,57.65
57.47,54.14,58.87,65.26,49.53,64.84,57.21,61.42,63.68,65.58,54.74,61.21,57.05,60.53,61.58,64.42,57.53,52.11,62.63,59.46
57.67,59.64,56.2,55.95,53.74,65.21,63.89,57.74,54.89,58.95,49.95,59.84,51.95,61.79,58.74,50.58,59.79,54.79,53.58,57.1
57.27,59.36,51,64.84,58.79,56.26,57,59.89,52.21,59.26,53.21,55.63,62.74,51.37,58.26,55.74,61.79,62.95,52.05,57.35
60.8,64.21,54.33,50.16,50.26,65.21,69.26,55.58,51.58,56,55.11,63.11,58.42,62.11,63.37,60.74,61.74,61.79,50.37,58.64
62.4,52.36,64.27,52.26,63.05,60.68,61.42,60.05,63.05,55.21,50.26,63.26,66.42,60.42,58.42,60.37,69.11,55.79,62.53,60.07
55.67,72,62.4,43.16,56,64,56.84,62.68,68.42,57.79,57.26,46.11,65.84,49.11,58.58,50.32,52,59.79,58.37,57.7
61.07,67,65.93,50.37,54.79,62.21,52.05,54.68,65.89,61.68,62.84,59.89,59.16,59.42,71.95,60.53,60.47,59.47,55.89,60.28
57.87,60.21,61.27,54.16,61.16,63.47,58.89,59.95,62.47,64.11,57.68,67.21,51.95,55.68,60.95,62.74,47.21,61.58,60.53,59.43
61.47,56.07,65.13,66.74,56.95,61.58,56.95,60.74,56.68,51.63,61.42,61.37,65.32,57.21,59.63,68.68,56.16,60,59.68,60.18
65.73,59.93,73.87,62.47,54.53,50.79,62.16,54.79,50.95,51.74,63.42,65.47,60.37,56.47,66.84,53.84,55.53,51.37,65.95,59.27
66.27,49.29,67.13,60.37,60.37,61.11,56.95,65,55.11,56.84,54.16,56.89,58.63,66.89,68,72.74,65.47,61.42,63.47,61.37
64.73,57.57,57.13,59.37,58.58,61,55.63,66.05,65.21,61.53,69.53,62,64.74,58.74,57.11,56.11,64.89,60.26,66.11,61.38
60.13,55.43,60.33,62.32,63.05,64.42,53.26,59.63,54.16,62.05,55.11,48.47,53.68,58.47,68.05,56.42,54.53,53,61.16,58.09
55.73,61.29,47.6,67.79,52.74,61.32,52.21,52,62.16,65.42,62.95,64,68.32,71.58,61.32,59.95,51.16,68.84,59.58,60.31
54.13,60.29,58.33,61.95,67.84,52.63,54.74,58.37,57.95,63.58,56.47,56.53,60.95,56.47,56,60,58.26,60.79,56.16,58.5
61.47,43.43,60.47,66.42,56.68,55.74,66.21,50.37,48.42,66.95,55.32,54.47,55.84,59.26,68.58,58.95,62.58,63.37,53.16,58.3
54.47,60.21,55.67,57.68,70.47,63.58,59.53,58.47,58.74,52.58,58.74,61.42,63.11,50.16,68.32,56.95,54.53,58.21,62.58,59.23
64.07,45.36,61.73,55,56.63,68.16,53.53,55.89,57.05,58.16,57.21,59.68,65.47,56.53,69.58,61.11,55.47,68.68,59.37,59.4
55.07,48.5,52.27,51.26,61.95,60.84,56,60,67.53,57.79,63.74,73.37,56.79,61.74,62.68,60.89,60.11,60.16,49.53,58.96
59.53,57.5,57.53,69.42,56.32,58.63,55.26,72.63,57.37,62.53,55.47,61.95,51.68,51.95,60.42,65.58,64.89,62.68,62.79,60.22
60.8,54.93,60.73,57.47,55.42,65.21,63.26,53.42,63,51.05,62.47,57.05,61.47,55.42,54.89,57.89,54.05,61.32,71.58,59.02
57.67,53.21,67.67,55.84,54.16,61.84,49.26,60.26,64.21,65.58,59.32,61.42,54.89,54.16,57.58,55.79,57.79,65.58,59.63,58.73
54.87,63.43,66.6,55.58,65.74,58.37,60.47,53.79,64,56,58.26,62.05,54.05,62.74,66.74,64.63,53.58,52.89,51.53,59.23
60.33,58.14,59,64.05,56.26,59.37,59.32,52.37,51,66.05,55.84,61.26,53.11,56.63,56.79,67.53,51.21,60.32,71.11,58.93
66.4,54.43,53.93,64.89,57.21,60.63,60.37,63.32,61.11,54.21,58.26,58,56.95,61.74,52.95,66.95,46.47,51.63,57.37,58.25
50.67,46.79,60.73,65.05,64,52.11,56.74,62.79,59.95,57.58,60.37,52.32,63.47,68.47,55.47,57.79,65.47,57.42,51.79,58.37
64.07,56.71,59.2,51.58,60.21,56.95,64.32,59.68,53.26,57.53,58.21,52.16,60.58,63.79,53.47,53.84,61.11,51.37,52.32,57.39
63,61,61.8,57.63,62.84,55.05,53.53,51.63,53.63,55.58,60.74,59.63,64.89,59.68,57.89,55.89,56.74,64,57.95,58.59
61.4,55.43,63.13,61.53,60.53,65,60.42,65.79,66.11,70.63,59.95,54.74,64.84,57.58,55.74,61.11,54,56.95,63.63,60.97
67.07,66,54.6,59.89,64.68,51.95,65.89,59.26,67.53,68.32,61.74,59.53,61,60.16,60.16,58.53,53.74,56.95,61.05,60.95
68,66,58.47,69.63,53.32,58.21,57.42,63.26,69.47,61.74,65.58,58.53,60.42,53.89,57.53,60,64.53,63.53,61.58,61.64
62.8,63.14,52.6,62.58,60.95,62.32,62.05,54.58,73.11,67.32,57.42,57.11,63.05,57.79,60.11,58.11,57.05,59.68,56.26,60.42
63,51.64,56.33,54.37,60.05,58.89,56.05,56.05,58.68,56.58,61.63,58.53,61.11,58.32,64.37,65.16,59.79,69.95,54.95,59.23
71.6,54.21,64.47,49.79,66.68,67.21,59.95,56.05,52.16,55.26,54.16,58.26,57.63,61.16,60.42,65.74,55,61.05,56.21,59.32
56.4,53.86,65.4,63.11,60.32,61.95,60.05,56.21,57.53,69.26,67.32,65.63,58.21,55.21,52.84,64.21,50.79,61.74,61.74,60.09
57.47,65.93,65.67,61.21,58.42,55.95,66.42,52.58,58.21,69,46.26,55.89,59.53,62.05,66.63,56.11,73.42,65.42,64.26,61.08
55.13,58,52.87,66.84,57.42,67.79,62.53,66.53,61.84,60.74,54.42,59.68,56.21,51.89,58.11,59.32,59.53,57.89,54.84,59.03
47.73,67.5,64.6,60.68,68.84,68.16,57.32,54.16,63.42,56.79,67,62.84,60.26,60,56.16,56.68,65.63,58.53,52.32,60.45
60.6,66.86,72.4,60.21,52,62.79,69.68,57.89,68.58,61.53,62.95,64.21,60,61.89,66.95,55.68,65.84,59.74,65.63,62.92
62.6,58.5,64.8,67.53,55.21,53.89,56.53,58.63,63.21,58.42,65.95,64.21,66.68,61.53,49.58,48.68,60.68,56.89,56.16,59.46
60.53,58.86,60,57.11,58.37,61.68,52.89,72.79,70.26,65.16,59.63,63.95,46.58,77.21,71.26,62.16,54.58,48.37,67.47,61.52
62.6,59.71,55.6,66.32,70.42,51.47,63.37,65.58,48.21,58.42,64.32,64.21,48.32,58.37,59.84,64.53,58.84,62.05,56.53,59.93
52.6,61,52.73,54.05,56.74,58.21,62.11,63.32,53.79,51.21,62.53,59.53,56.32,61,62.58,56.37,55.32,55.05,67.95,58.02
61.67,59.5,62.07,53.32,59.74,55.21,51.84,60.89,58.37,51.68,59.74,61.21,47.68,55.32,60.89,58.58,76.74,62.42,62.32,58.9
60,53.07,49.33,55.21,59.74,57.26,56,58.74,65.53,63.42,63.74,58.16,61.63,64.58,68.47,58.53,62.74,51.05,56,59.12
57.8,64.5,67.07,56.47,57.32,56.26,57.26,58.74,59.84,58.26,56.16,63.89,58.26,60.32,51.79,57.21,64.74,54.58,56.74,58.8
64.4,65.21,48.2,68.68,55.63,66.79,64.11,58.42,65.32,58.11,69,54.47,53.53,68.16,52.42,54.16,54.47,49.11,64.79,59.74
57.67,59.64,62.2,62.05,67.47,64.95,66.42,61,61.68,67.53,58.89,49.47,54.37,45.89,62.47,63.05,54.63,46.68,60.79,59.31
53.13,50.29,60.2,65.74,59.42,61.79,57.16,56.84,62.84,53.32,67.32,44.58,56.05,54.16,59.37,62.26,58.74,66.79,61.32,58.49
73,53.71,57.2,60.47,57.21,53.79,67.32,60.42,56.58,61.42,54.05,53.05,58.32,57.89,56,54.32,58.26,58.68,57.32,58.37
64.2,52.43,69.2,63.79,57.89,58.26,62.58,66.47,61.63,61.47,58.84,71.11,58.42,52.32,57.58,61.53,54.58,67.47,60.42,61.06
61.67,48.43,64.6,51.74,63.32,59.89,60.26,63.95,63.37,66.11,61.16,61.21,63.58,51.11,65.42,54.11,56.16,59.26,61.37,59.83
56.4,54.14,65.47,60.74,66,56.58,68.21,54.58,58,65.47,57.05,63.47,65.37,51.05,61,57.32,52.11,66.11,66.26,60.28
62.4,70.14,60.2,67.58,60.05,64.63,66.16,59.05,54.11,65.47,50.58,55.89,63.42,60.89,50.63,57.95,55.84,72.63,58.84,60.87
60.2,59.5,59.2,60.42,57.37,56.16,56.05,58.84,53.37,60.42,57.42,53.74,66.58,52.32,64.47,65.47,55.53,60.05,65,59.06
53.07,60.71,67.53,57.79,59.42,56.63,56.89,68.32,53.47,55.84,58.79,53.84,49.84,67.47,64.16,57,55.47,61.84,55.89,58.63
54.8,59.86,61.87,58.05,57.11,53.37,47.47,59.53,60.37,51.11,56.16,66.95,53.79,59.11,53.32,57.63,53.74,63.26,58.68,57.17
64.4,61.29,63.6,49.74,58.37,52.37,59.58,55.32,55.42,60.32,59.89,58.63,54.84,57.53,58.47,69.84,65.68,58.05,61.32,59.19
70,55,63.87,55.26,48.16,58.74,49.84,61.42,57.16,61.95,67.58,57.74,55.11,62.89,63.95,65.26,53.68,59.74,59.16,59.29
59.6,67.36,57.67,66.79,51.16,61.37,51,58.79,58.95,65.05,62.53,59.16,55.89,61.11,58.05,60.95,59.42,58.53,60.32,59.67
52.73,62.21,67.73,59.89,51.79,59.16,61.26,58.47,64.58,54.84,64.95,54.95,57.16,58.95,61.05,63.95,60.89,57.68,56.26,59.4
67.6,68.29,53.53,51.63,58.63,60.32,54.16,58.32,65.79,57.11,55.32,60.26,57,64.37,57.58,53.21,62.89,64.84,62.32,59.64
54.67,66.43,56.67,53.21,59.16,53.53,55.32,68.84,58.42,70.21,58.37,56.63,62.58,56.32,59.16,52.16,56.74,63.21,56.84,58.87
58.13,66.14,62.87,62.95,60.63,59.42,67.84,54.79,63.05,69,59.74,55.21,61.32,60.89,56.32,63.89,60.47,59.16,58.63,61.08
68.53,65.5,62.53,58.21,69.89,44.32,65.63,56.26,64.05,62,55.47,59.42,57.05,61.37,57.68,63.58,56.05,51.16,52.63,59.55
45.33,57.93,57.07,51.53,61.11,60.26,70.84,70.42,57.74,59.47,68.11,57.16,57.79,65.26,56.84,52.95,66.95,57.53,51.95,59.27
63.47,59,57.53,56.32,60.63,61.79,53.26,50.11,63.63,48.58,53.16,59.11,59.21,57.89,57.11,60.74,58.58,55.53,53.74,57.34
56.47,70.21,60.33,54.84,56.16,61.21,59.05,65.53,68.11,59.53,64.42,60.05,64.42,59.84,60.53,65.16,58.89,62.84,53.47,61.11
49.67,64.29,56.6,68.11,55.05,55.37,61,70.63,59.32,61.47,62.63,62.58,56.79,67.95,52.74,57.47,55.63,62.68,56.68,59.82
51.13,55.79,61.27,72.79,50,55.32,66.16,64.05,59.95,53.47,64.42,69.42,56.11,67,59.32,63.32,51.63,65.37,69.16,60.82
52.87,55.5,63.4,58.58,53.84,57.74,54.68,67,57.42,68.42,54.26,57.58,63.95,72.11,62.68,63.89,44.16,60.37,64.32,59.62
65.47,49.64,64.07,58.32,64.37,59.63,61.37,57.74,59.21,54.89,67.58,59.68,54,51.47,61.95,61.89,58.11,68.32,54.16,59.57
65.27,61,53.73,59.26,65.58,55.89,67.79,55.53,60.05,51.42,56.21,63.84,60.05,61.42,54.16,67.63,67.42,73.16,60.26,61.04
52.47,62.21,57.4,67.26,53.37,55.58,63.16,66.68,57.05,63.26,55.26,65.58,45.47,59.47,56.16,56.26,69.58,55.68,54.47,58.76
60.2,57,60.67,60,61.95,59.53,57.63,61,62.95,57.37,60,72.47,65,53.58,60.05,51.26,59.05,63.74,55.95,59.97
43.87,69.86,52.33,68.47,57.32,63.89,56.68,63.95,60.21,66.05,52.89,54.79,53.05,59.32,63.63,63.95,56.68,54.32,59.63,58.99
50.73,49.57,62.13,59.84,49.89,68.95,56.68,57.47,70.68,64.11,62.84,56.11,58.26,61.63,56.89,48.58,69.84,59.74,60.95,59.21
65.07,55.71,55.27,64.58,51.05,56.05,65.11,61.11,62.16,54.53,57.37,53.26,54.05,56.53,57.05,62.63,65.74,65.42,65.05,59.35
62.6,67.64,62.4,54.89,61.53,62.74,66.21,55.42,50.32,62.84,57.21,55.16,65.47,58.26,63.11,61.16,60.53,78.84,60.05,61.39
52.07,68.43,63.8,65.68,60,56.63,61,64.84,60.74,45.37,63.79,50.42,56.21,62.42,60.42,54,56.26,60,63.47,59.24
65.73,66.64,58.2,54.89,66.47,58.63,64.47,49.37,59.58,52.95,60.26,58.11,59.84,64.53,61.68,59.74,57.58,58.05,67.68,60.23
66.67,66.21,66,52,63.89,61.21,61.89,64.53,67.63,57.79,60.42,61.74,53.74,54.63,57.47,63.37,65.63,70.11,64.26,62.06
61.07,55.71,57.67,70.42,62.16,59.32,55.79,64,68.21,64.05,62.95,58,62.21,56.53,61.63,56.74,56.16,55.16,73.89,61.14
70.8,61.43,59.6,54.84,64.16,63.05,53.58,49.16,57.37,55.95,55.21,59.21,55.47,69.32,62.58,62,64.16,58.05,56.53,59.6
53.4,55.79,64.73,49.63,70.11,56.42,58.37,45.32,60.95,50.84,70.79,70.68,54.68,57.11,60.21,56.21,58.53,65,63.89,59.09
59.73,58.21,60.4,72.63,63.11,60.26,59.11,59.74,68.26,66.58,58.11,58.53,71.16,60.26,64.95,53.16,60.89,53.32,50.47,60.99
56.87,60.14,67.33,57.74,58.58,61.47,61,61.47,54.84,60.74,54.05,58.16,59.68,51.74,70.63,59.16,57.89,53.37,64.79,59.46
58.33,65.93,67.8,59.05,46.21,65.16,62.89,59.16,60.79,57.74,58.63,64.63,59.47,46.26,72.37,71.16,53.42,55.26,55.47,59.99
54.2,66.79,56.47,57.74,56.32,58.26,49.42,66.16,67.79,48,63.53,59.32,58.11,61.47,59.63,50.53,57.95,52.47,65.63,58.41
60.6,70.29,59.13,59.26,62.16,61.16,61.63,56.11,60.42,69.16,59.26,56.89,65.53,49.37,60.63,74.42,53.63,65.32,47.47,60.65
61.27,63.5,66.8,53.58,59.21,55.89,63.68,61.74,67.32,65.74,70.58,64.26,66.32,62,59.84,62.11,51.63,57.26,56.37,61.53
71.8,54.21,50.8,55.68,55.21,65.58,57.21,62.58,67.74,59.47,60.84,52.21,57.05,68.32,65.79,56.95,53.42,52.79,63.68,59.54
65.47,62.57,67.33,56.53,62.47,60.74,56.05,54.58,59.21,52.89,59.58,55.79,44.95,58.58,52.68,54.89,62.95,61.74,56.58,58.19
61.67,55.71,59.87,64.68,63.58,62.74,59.79,52.16,56.37,60.68,57.26,60.68,65.84,65,57.79,55.21,64.21,55.58,73.32,60.64
60.53,54.71,64.07,62.74,60.79,57,67.89,64.53,49.16,64.26,66.74,59.89,57.68,57.74,59.79,62.21,59.26,67.37,66.16,61.19
57.87,62.57,53.33,63.37,55.53,54.53,59.63,66.53,71.21,61.89,53.74,53.95,55.79,59.21,50.16,61.16,62.95,55.11,55.63,58.64
55.67,61.43,48.13,68.21,59.74,52.05,53.37,51.26,65.79,55.47,56.53,62.95,58.32,61.58,62.68,60.95,61.58,53.11,54.79,58.08
52.13,54.93,67.6,49.79,55.74,57.05,65.68,59.68,60.63,63.95,64.26,56.74,55.05,64.05,59.42,56,54,59.26,59.84,58.73
65.27,50.43,67.8,62.68,52.32,58.42,63,67.16,59.68,62.37,62.26,53.58,57.37,56.16,56.79,58.74,55.16,56.42,65.58,59.54
63.53,54,56.47,59.42,61.89,56.11,58.53,69.21,61.21,59.58,45.47,57.32,45.53,60.95,55.74,63.11,57.58,56.26,66.68,58.35
67.93,63.71,63.87,68.11,53.74,57.89,59.42,69.74,49.32,56.58,62.47,57.21,62.89,62.68,56.63,62,60.63,58.42,58.05,60.59
53,54.29,70.07,57.42,52.84,55.68,56.74,49.37,66.89,63.63,64.79,68.26,60.05,62.68,55.68,55.84,52,54.26,65.11,58.87
58.07,60.21,57.87,61.58,57.11,53.05,65.89,49,52.58,52.16,64.79,55.21,49.16,53.53,61.21,55.11,65.79,56.63,50.74,56.82
65.07,65.71,51.53,57.95,60.16,60.21,51.74,61.84,56.58,61.47,64.32,65.11,60.16,50.42,56.11,66.84,63.58,58.32,62,59.95
64,59,53.53,61.63,71.68,52.37,61.68,55.95,67.05,51.68,55.84,54.58,52.89,55.74,58.58,54.79,51.26,63.74,64.68,58.46
49.07,61.29,65.67,67,56.37,56.11,54.42,59.21,60,55.16,59.53,63.11,59.79,57.63,61.05,58.47,66.63,64.68,57.74,59.63
62.93,65.93,59.27,60.89,59.89,61.68,51.26,72.32,62.74,59.74,62.32,56.63,65.74,56.47,59,58.63,63,50.21,58.26,60.36
59.87,58.79,58.73,52.05,61.32,62.89,55.11,60.89,57.47,59.26,66.53,54.68,78.53,67.68,51.37,63.89,62.37,58.37,48.11,59.89
60.2,66.21,51.93,61.53,59.63,58.21,58.89,71,58.42,62.95,43.68,67.58,55.47,61.05,61.47,65.84,53.68,68.79,53.42,60
62.93,57,57.6,51.11,55.42,57.84,55.74,63.11,60.16,52.79,57.68,60.63,54.11,45.26,59.68,64.16,57,57.37,62.37,57.47
57.2,59.36,63.87,66.95,61.21,64.11,67.05,55.89,60,59.26,61.58,60.21,66.58,59.68,68.37,55.26,53.16,63.95,62.16,61.36
72.87,54.5,59.87,55.84,65.84,58.37,59.58,56.37,59.32,63.68,57.42,57.79,52.84,69.42,57.47,61.84,56.89,58.63,65.32,60.2
71.6,52.14,56.53,66.74,68.84,58.58,54.68,61.89,59.37,67.05,63.74,55.63,51.47,65.37,58.53,58.11,61.16,59.74,60.95,60.64
54.33,65.14,54.87,59.21,55.63,62.16,58.74,62.47,59.37,58.26,63.47,60.63,59.63,64.74,58.63,62,59.11,59.84,63.63,60.1
66.6,57.07,53.4,53.42,62.32,59.95,66.89,52.32,58.53,62.47,64.37,62.32,57.42,46.68,59.26,61.26,56.32,55.21,52.32,58.32
58.07,58.5,55.8,56.32,53.84,50.47,71.05,66.53,55.47,54.58,58.63,62.11,57.37,69.32,55.21,53.47,57.11,59.32,57.79,58.47
46.07,71.93,61.53,61.84,55.53,55.32,62.37,58.95,54.42,53.95,57.95,54.16,59.63,64.21,52.89,61.05,63,60.89,65.37,59
64.6,64.36,62.8,55.89,50.11,61.32,64.21,54.05,57.89,65.16,60.05,60.74,52.74,62.68,57.63,53.32,64.95,51.11,54.84,58.87
