LIN10000,API10000,BRP10000,FUL10000,ASI10000,APM10000,AII10000,INTG_001
66.38,62.81,72.6,68.6,64.2,66.5,66.48,66.79
62.62,63.76,66.1,62.2,67.6,74.5,63.33,65.73
77.62,59.38,73.0,60.9,69.5,66.0,68.1,67.79
64.5,64.48,49.9,67.4,69.2,60.2,61.57,62.46
66.25,65.48,64.6,65.8,67.4,67.0,62.86,65.63
60.5,64.52,64.4,60.9,55.7,64.8,60.76,61.66
72.88,64.95,59.5,68.9,71.7,68.3,65.62,67.41
53.25,67.0,69.5,66.0,64.0,61.2,61.71,63.24
70.12,64.29,61.9,70.1,69.3,66.0,61.57,66.18
70.5,69.86,64.8,63.8,66.1,76.7,67.38,68.45
62.38,54.05,68.7,60.0,62.1,57.7,66.43,61.62
66.25,67.81,76.7,63.4,67.2,62.5,60.9,66.39
61.62,65.19,63.6,65.8,70.3,50.9,61.05,62.64
78.5,57.62,64.3,66.3,65.4,61.7,60.19,64.86
70.62,66.81,62.9,66.5,60.8,68.3,61.1,65.29
69.0,64.9,58.7,62.7,59.7,66.7,70.48,64.6
66.75,55.52,65.3,62.5,58.1,59.8,67.67,62.23
59.0,61.38,59.6,55.7,60.1,75.4,70.67,63.12
69.75,56.48,64.0,60.2,52.8,62.0,65.19,61.49
68.25,54.24,67.0,77.0,56.2,60.3,59.1,63.15
72.75,59.05,63.9,68.8,65.7,67.0,66.1,66.18
59.38,66.14,63.9,61.9,66.9,61.6,61.0,62.97
67.0,63.62,65.2,69.1,50.9,75.4,69.1,65.76
53.12,65.62,61.6,66.6,67.1,60.4,59.43,61.98
58.5,63.33,59.5,70.7,57.7,64.9,65.14,62.83
57.38,66.48,57.6,67.1,56.5,66.4,63.0,62.06
71.5,60.33,60.0,59.8,68.4,66.1,64.52,64.38
80.0,60.9,56.0,70.3,63.5,61.7,63.67,65.15
61.38,64.33,71.0,56.5,63.5,59.0,56.14,61.69
60.25,66.67,45.1,77.1,61.1,59.4,57.95,61.08
60.62,57.9,69.9,69.1,62.7,56.6,59.29,62.3
54.62,58.9,56.8,67.3,61.3,77.8,67.81,63.51
68.38,61.76,69.3,70.3,76.3,59.6,63.71,67.05
68.12,59.95,71.0,69.8,76.0,72.8,65.9,69.08
57.25,61.62,51.5,52.8,58.5,54.4,63.29,57.05
59.5,68.76,68.1,71.6,50.7,57.1,63.14,62.7
64.62,59.52,67.3,62.6,44.1,50.8,67.43,59.48
69.12,69.0,52.8,64.1,45.7,59.8,64.95,60.78
61.75,64.14,63.9,51.8,71.3,57.2,71.71,63.12
55.12,67.29,64.9,68.5,69.0,71.2,62.43,65.49
60.5,59.19,68.3,76.6,59.7,62.9,66.19,64.77
58.25,65.52,59.4,51.3,59.4,56.5,66.95,59.62
57.62,73.24,53.1,58.3,66.9,61.4,64.1,62.09
66.75,65.71,71.1,55.1,74.4,61.3,61.05,65.06
64.25,70.33,58.0,68.3,73.4,64.2,62.1,65.8
63.38,59.43,55.8,58.2,52.6,80.0,65.67,62.15
55.62,60.67,64.9,65.3,60.2,61.8,53.43,60.27
60.5,68.38,71.2,59.0,74.1,61.6,64.48,65.61
73.5,67.19,65.4,70.5,57.5,62.7,66.71,66.21
63.12,65.38,61.5,59.7,55.6,68.7,63.9,62.56
71.25,69.62,56.7,62.4,57.9,61.6,66.14,63.66
52.62,59.1,60.3,54.4,64.4,61.9,62.67,59.34
67.88,73.67,57.8,67.6,63.6,70.3,66.14,66.71
70.12,69.9,68.3,67.0,72.6,51.6,66.19,66.53
60.62,60.9,63.3,59.0,58.6,69.7,59.29,61.63
67.12,61.19,60.9,69.7,65.8,57.3,62.67,63.53
71.5,64.57,67.5,62.4,61.4,53.3,61.9,63.23
63.12,65.48,73.1,56.6,59.3,74.2,58.33,64.3
72.0,55.19,71.9,65.8,72.4,71.8,65.14,67.75
65.62,60.14,59.6,71.3,64.2,67.8,54.43,63.3
69.25,66.57,59.2,70.0,53.5,66.4,62.38,63.9
65.38,64.95,57.1,60.3,62.7,58.6,64.62,61.95
65.88,68.95,56.0,59.3,61.1,62.9,59.48,61.94
74.12,58.95,68.1,49.7,71.9,62.2,68.62,64.8
54.88,62.43,63.1,60.5,61.9,65.9,73.81,63.22
76.12,63.95,72.9,62.5,69.7,66.7,66.9,68.4
61.38,64.48,58.7,72.7,59.5,54.6,64.14,62.21
54.0,68.71,58.3,57.5,70.8,58.0,62.33,61.38
70.88,64.0,67.3,62.1,57.1,59.2,70.1,64.38
67.75,64.38,72.1,66.0,56.2,61.2,62.57,64.31
56.38,61.1,68.9,58.7,64.1,66.6,66.71,63.21
66.25,63.71,61.1,61.1,58.9,59.7,67.0,62.54
54.0,67.62,75.0,59.1,74.6,73.2,71.05,67.8
61.5,63.9,59.2,58.8,58.0,62.9,63.9,61.17
65.5,64.29,67.6,68.5,62.7,65.6,62.33,65.22
69.25,75.29,67.3,54.3,68.9,64.7,66.52,66.61
65.25,66.43,63.6,54.0,61.7,70.4,64.62,63.71
59.88,53.29,62.8,74.2,79.0,66.8,60.05,65.14
62.38,65.1,60.2,59.4,59.3,53.7,62.43,60.36
62.75,63.81,54.5,69.1,75.3,67.3,71.38,66.31
70.25,61.19,74.4,70.4,65.7,54.5,60.52,65.28
62.25,63.67,55.7,61.3,61.5,56.3,60.9,60.23
70.62,68.05,75.0,54.6,56.1,67.0,63.48,64.98
75.38,59.14,58.4,58.4,78.0,74.1,64.48,66.84
57.75,64.0,63.7,61.3,62.8,63.2,69.81,63.22
57.0,61.24,65.7,73.7,63.9,77.8,61.14,65.78
61.0,65.38,61.7,67.3,56.1,73.5,66.38,64.48
61.0,62.14,60.7,52.3,71.0,54.1,59.0,60.03
61.75,62.81,54.7,73.2,60.4,62.0,67.62,63.21
73.5,65.33,64.9,63.3,55.6,67.4,62.52,64.65
60.88,61.62,74.2,53.2,74.2,62.5,61.57,64.02
71.5,72.67,65.8,63.4,67.5,69.1,67.71,68.24
70.12,61.14,64.5,62.0,72.8,58.1,60.33,64.14
53.62,68.48,64.5,64.3,64.5,72.1,65.14,64.66
55.12,66.0,72.2,74.7,58.3,62.6,56.81,63.68
58.25,61.19,62.5,67.5,61.0,62.3,60.52,61.89
58.12,65.48,57.8,72.2,52.2,66.8,69.14,63.11
59.88,61.14,73.6,64.6,58.7,64.7,61.67,63.47
63.38,69.9,53.8,64.9,67.8,67.0,68.67,65.06
65.25,64.14,68.4,55.9,63.3,67.6,65.43,64.29
43.5,58.86,75.6,78.3,61.5,66.1,64.24,64.01
64.25,65.14,64.8,61.1,67.3,65.5,69.62,65.39
71.38,60.67,69.6,63.9,69.3,58.4,64.76,65.43
72.0,60.95,53.0,61.3,64.0,61.3,64.33,62.41
49.38,64.62,65.3,73.2,70.0,63.0,62.0,63.93
76.88,64.1,67.9,59.3,69.4,65.1,59.95,66.09
66.88,66.81,55.6,64.0,55.5,69.1,54.19,61.72
66.5,65.95,70.1,64.9,72.1,56.0,68.52,66.3
69.5,67.52,66.1,66.2,59.1,52.3,72.33,64.72
63.25,70.43,58.9,65.3,70.5,46.2,67.14,63.1
59.88,60.38,73.0,60.7,71.4,59.2,63.43,64.0
52.12,61.43,72.0,63.2,69.1,64.6,63.95,63.77
59.75,63.0,57.1,64.7,61.9,66.7,60.62,61.97
67.88,58.33,66.1,82.9,77.7,67.8,66.76,69.64
59.25,60.43,63.6,74.7,58.5,79.2,66.76,66.06
69.25,63.29,62.8,61.9,65.6,64.0,69.57,65.2
62.5,68.86,63.1,67.9,57.0,58.0,57.62,62.14
72.0,60.43,67.3,61.2,55.8,63.6,63.43,63.39
72.5,71.33,61.4,59.7,77.1,55.5,68.19,66.53
66.38,71.52,52.1,59.2,62.9,62.0,57.57,61.67
63.0,65.81,66.2,65.7,61.8,59.5,54.05,62.29
66.12,62.24,53.7,69.3,61.8,60.6,64.57,62.62
70.12,62.86,65.4,68.3,72.7,64.7,68.29,67.48
65.62,68.05,68.1,58.9,69.8,60.5,71.81,66.11
59.75,61.95,63.7,62.1,65.2,69.0,53.57,62.18
63.62,66.71,66.7,55.3,71.1,62.7,56.86,63.29
68.0,58.52,62.8,69.6,71.8,50.3,72.62,64.81
74.38,73.24,65.9,66.5,67.8,62.2,59.0,67.0
79.5,64.24,62.3,58.2,64.3,74.0,62.48,66.43
65.75,63.43,60.0,58.2,59.6,71.0,64.24,63.17
60.62,65.24,56.3,68.4,66.6,72.8,57.14,63.87
73.38,58.43,55.9,64.6,57.3,59.3,68.62,62.5
66.88,61.81,69.7,66.5,78.5,52.1,58.33,64.83
68.25,55.67,66.7,70.2,50.9,57.9,60.19,61.4
65.5,60.9,74.0,52.2,65.8,60.4,61.71,62.93
66.12,66.29,57.7,68.8,62.7,57.1,67.1,63.69
65.0,54.62,57.8,59.8,66.9,64.8,62.86,61.68
56.88,68.05,62.8,61.3,70.2,59.2,67.67,63.73
65.12,69.71,57.5,55.5,61.0,61.8,66.38,62.43
55.25,66.86,59.2,59.1,68.3,71.3,69.14,64.16
62.62,65.67,55.7,64.0,67.4,58.1,61.19,62.1
73.12,69.62,55.2,65.8,69.2,71.1,64.29,66.9
64.75,71.76,75.0,68.6,68.9,50.0,58.71,65.39
55.62,68.1,67.2,71.6,71.3,64.8,64.24,66.12
60.38,68.52,62.9,65.0,60.2,61.9,59.52,62.63
60.5,65.57,57.0,68.2,75.6,66.2,68.29,65.91
58.25,58.71,64.6,69.7,71.3,70.5,63.19,65.18
51.62,68.48,71.7,57.7,69.6,69.8,70.76,65.67
57.12,56.33,62.5,61.2,72.1,56.2,66.48,61.7
64.12,58.48,59.5,70.8,61.4,59.9,65.62,62.83
61.62,62.71,64.6,64.9,64.2,54.8,67.62,62.92
75.12,63.57,60.5,57.8,63.6,64.9,60.76,63.75
63.75,59.24,61.3,69.3,73.3,62.3,66.57,65.11
68.5,66.81,65.9,56.9,63.4,63.3,68.43,64.75
52.88,65.38,72.4,54.4,62.6,54.7,58.81,60.17
61.62,69.48,61.9,60.8,63.1,56.2,71.52,63.52
65.25,61.86,63.3,66.5,60.6,50.3,67.24,62.15
59.62,66.43,49.9,66.8,61.3,57.5,66.95,61.22
65.12,58.95,56.5,74.7,61.7,53.5,70.81,63.04
54.5,67.05,67.5,67.6,56.4,70.1,64.52,63.95
68.38,58.95,66.0,64.9,60.0,61.7,64.29,63.46
54.75,64.62,62.9,65.7,62.7,68.0,63.76,63.2
62.25,64.81,67.5,67.5,76.2,58.2,67.71,66.31
51.5,66.67,66.6,74.1,68.2,60.5,67.38,64.99
74.75,58.52,63.6,61.4,64.1,69.9,66.52,65.54
54.88,65.71,68.6,64.8,65.5,79.0,67.81,66.61
50.12,68.0,63.1,61.6,67.2,76.9,68.57,65.07
76.62,68.62,56.1,70.7,68.1,67.7,57.43,66.47
68.62,66.71,59.0,64.5,80.5,73.6,66.52,68.49
48.88,63.48,67.2,65.6,63.1,61.2,65.9,62.19
61.88,70.67,69.1,70.5,65.2,51.6,57.14,63.73
74.25,57.38,62.7,69.5,67.1,55.4,59.81,63.73
70.25,56.1,67.1,52.7,65.5,63.9,66.86,63.2
53.0,58.67,69.7,63.7,65.3,56.8,58.43,60.8
69.0,61.95,72.4,73.7,67.9,63.9,69.67,68.36
51.5,54.9,57.3,62.1,51.3,64.1,65.86,58.15
65.5,64.33,67.6,68.3,59.9,73.2,69.29,66.87
70.25,60.24,63.5,71.9,73.4,60.9,66.52,66.67
67.0,62.05,66.9,58.5,54.6,72.9,63.1,63.58
66.12,58.29,65.1,61.6,67.0,59.5,62.14,62.82
62.5,65.62,72.0,51.2,64.6,50.7,64.0,61.52
61.62,67.1,56.2,60.8,74.2,64.4,63.1,63.92
75.0,68.43,62.1,59.8,64.7,63.0,67.14,65.74
59.5,61.05,63.2,64.5,63.7,65.6,57.52,62.15
69.75,67.52,60.7,69.0,53.0,66.5,58.38,63.55
60.38,65.52,68.5,66.0,65.7,61.4,65.95,64.78
65.5,63.57,81.5,55.4,49.5,63.5,63.81,63.25
50.0,70.9,68.3,76.8,65.6,65.2,62.9,65.67
54.0,59.33,73.4,65.7,56.9,53.5,71.29,62.02
68.25,63.76,67.0,63.9,63.3,66.2,68.24,65.81
65.12,59.33,68.4,63.9,61.4,62.9,63.9,63.57
55.25,64.24,68.4,60.7,70.6,67.9,56.0,63.3
55.12,74.62,78.7,61.9,65.4,64.4,68.1,66.89
77.62,68.81,57.0,61.7,66.7,62.3,68.76,66.13
61.88,59.57,62.0,64.8,64.3,62.8,70.67,63.72
57.75,67.19,66.5,60.4,59.1,57.8,66.19,62.13
65.38,62.9,68.4,52.4,55.3,59.3,55.81,59.93
71.88,59.29,65.0,64.5,64.1,69.4,65.81,65.71
72.88,68.62,57.8,54.8,58.0,62.1,68.52,63.25
52.38,65.48,54.6,67.1,58.7,56.4,65.57,60.03
71.38,57.71,54.5,68.8,58.4,51.8,69.14,61.68
76.88,62.33,69.8,66.9,56.8,68.7,61.95,66.19
53.0,70.62,55.7,64.5,66.5,72.3,60.86,63.35
65.5,56.86,65.2,57.9,52.0,68.2,61.81,61.07
65.0,65.71,60.3,59.8,62.4,71.6,61.62,63.78
61.5,60.52,65.0,78.3,54.4,60.3,61.67,63.1
65.5,59.52,69.9,71.8,75.5,55.6,69.0,66.69
71.62,67.52,61.3,56.6,62.1,61.8,60.71,63.09
74.88,62.0,69.5,52.7,58.5,62.5,61.14,63.03
57.62,64.24,58.9,64.4,63.1,64.2,70.57,63.29
65.75,63.57,72.3,53.8,63.7,61.6,53.67,62.06
70.75,68.14,67.2,53.6,63.5,70.0,61.86,65.01
62.0,60.29,70.3,66.3,60.4,70.1,61.19,64.37
56.88,66.29,71.7,53.8,58.0,53.5,65.0,60.74
73.12,58.67,51.2,60.3,65.5,60.8,69.43,62.72
76.25,68.38,55.3,62.6,76.7,66.5,65.1,67.26
67.5,61.71,64.6,62.9,68.8,61.0,54.0,62.93
77.0,67.43,63.4,64.4,58.4,58.2,62.67,64.5
74.75,68.0,74.0,60.7,62.7,61.2,67.14,66.93
61.62,67.29,55.2,65.7,58.4,71.3,66.9,63.77
58.5,65.95,65.7,67.2,64.7,64.9,62.95,64.27
63.38,70.48,67.5,66.6,59.5,57.9,63.48,64.12
62.75,63.1,55.2,68.4,65.6,58.5,64.0,62.51
64.62,59.19,72.7,65.2,55.5,59.7,64.29,63.03
73.88,61.57,75.3,63.2,61.0,63.0,64.81,66.11
67.38,68.62,51.2,80.0,62.4,62.2,70.1,65.98
61.12,60.52,60.2,52.3,58.7,69.4,60.05,60.33
56.75,60.38,61.2,67.9,67.0,67.5,59.0,62.82
61.25,73.43,64.0,59.3,71.6,71.0,60.38,65.85
67.25,63.71,57.0,69.8,70.1,73.7,69.57,67.31
59.25,67.29,68.3,60.5,57.3,67.8,64.76,63.6
61.75,59.95,67.8,67.3,68.1,55.1,65.33,63.62
62.38,66.86,69.9,70.0,67.6,71.4,66.43,67.79
62.25,67.9,76.9,57.9,65.3,70.9,61.29,66.06
67.5,67.33,54.6,64.4,57.7,60.3,72.24,63.44
71.12,59.29,64.7,64.9,68.6,62.8,65.43,65.26
65.12,71.05,73.3,67.3,69.3,58.1,65.33,67.07
71.12,61.1,58.9,60.1,62.8,64.0,69.33,63.91
49.75,60.9,74.1,56.2,52.0,70.9,63.62,61.07
71.75,65.05,68.9,59.0,62.2,61.1,60.48,64.07
71.5,59.86,66.8,55.5,65.0,59.1,62.71,62.92
52.75,62.05,60.8,63.0,70.8,62.5,63.57,62.21
61.25,64.43,59.2,71.4,67.9,65.1,67.67,65.28
60.25,59.24,64.1,44.6,52.2,73.1,58.43,58.85
73.25,59.95,66.1,64.4,57.6,75.0,66.43,66.1
73.12,69.67,55.4,63.3,69.4,69.0,66.52,66.63
68.38,59.24,62.3,60.7,63.1,63.5,58.1,62.19
77.0,64.48,63.4,64.7,55.0,68.0,65.38,65.42
63.25,77.62,73.8,56.7,49.1,72.5,73.1,66.58
62.62,62.9,67.6,67.2,70.9,61.0,63.67,65.13
62.0,61.76,71.7,64.6,65.1,67.6,68.62,65.91
78.0,61.24,73.3,59.2,57.9,63.7,65.71,65.58
74.0,62.67,58.1,73.6,62.3,59.4,61.81,64.55
62.38,58.9,58.1,58.5,63.8,71.2,66.33,62.74
71.88,72.81,64.9,60.7,54.6,70.2,66.24,65.9
57.88,66.38,64.5,70.1,68.2,60.9,60.33,64.04
69.25,69.67,71.0,67.5,58.3,54.5,61.48,64.53
65.25,65.76,74.5,61.4,72.3,71.7,77.48,69.77
63.0,64.05,52.4,62.5,65.3,62.0,67.38,62.38
66.75,57.62,70.8,55.9,54.9,77.3,66.52,64.26
60.0,66.38,72.3,57.6,66.8,52.3,71.43,63.83
65.62,68.67,64.1,64.8,60.0,64.3,62.38,64.27
60.12,60.52,68.6,67.2,58.3,75.7,59.76,64.32
65.88,65.67,63.1,71.6,69.2,65.4,62.1,66.13
64.62,54.14,62.8,66.0,56.2,66.3,59.43,61.36
61.5,67.38,57.3,59.3,71.5,64.3,64.48,63.68
59.62,63.57,63.5,61.6,68.8,69.8,59.57,63.78
65.0,68.52,62.2,66.4,73.8,62.5,57.19,65.09
57.0,69.95,71.4,72.3,63.4,65.2,64.14,66.2
60.75,60.1,65.6,70.6,62.5,58.5,57.81,62.26
61.62,65.67,61.4,51.7,71.5,55.5,64.62,61.72
48.88,67.76,69.6,57.3,75.8,58.3,66.81,63.49
61.0,65.19,71.9,66.6,52.9,77.1,54.81,64.21
52.62,61.86,60.4,66.2,72.9,53.0,69.0,62.28
51.75,61.05,69.6,66.1,64.3,58.2,62.62,61.95
66.75,65.1,60.5,73.8,63.0,53.6,63.1,63.69
73.5,62.14,67.4,67.1,62.2,62.1,65.71,65.74
70.88,71.33,67.4,48.4,70.2,55.2,62.0,63.63
57.0,63.62,58.7,62.3,57.7,62.2,67.05,61.22
68.12,57.81,68.1,70.4,67.1,58.4,64.1,64.86
62.5,61.81,65.2,65.7,67.9,53.6,66.29,63.29
72.38,62.76,63.4,57.2,70.2,68.7,62.95,65.37
66.38,64.38,66.8,48.0,66.3,62.6,75.57,64.29
56.12,57.52,66.4,67.3,58.4,56.7,62.38,60.69
70.38,63.24,72.5,60.3,65.7,63.6,66.95,66.1
72.75,63.71,58.4,62.2,63.6,74.7,58.19,64.79
66.62,58.29,64.8,60.1,67.0,63.6,58.24,62.66
59.88,61.48,76.1,54.6,60.0,67.3,64.43,63.4
67.88,58.29,59.8,55.0,54.2,62.9,64.71,60.4
66.62,55.76,67.0,70.2,68.8,56.5,61.29,63.74
69.25,62.05,63.5,60.5,60.6,59.8,67.86,63.36
63.38,63.05,62.7,62.2,62.2,58.0,60.1,61.66
64.5,64.67,72.0,63.2,63.6,66.5,66.0,65.78
64.25,62.9,63.1,67.4,67.3,57.6,66.57,64.16
66.38,63.76,60.7,69.5,60.0,65.5,61.71,63.94
61.0,68.1,70.5,55.4,64.7,66.5,61.29,63.93
52.38,61.62,62.3,60.8,73.3,55.5,64.52,61.49
69.25,64.71,60.4,56.5,60.0,62.7,62.05,62.23
66.5,70.33,72.2,79.2,73.8,52.4,58.0,67.49
73.5,61.48,59.9,63.6,65.1,62.4,67.14,64.73
65.12,72.0,72.2,64.4,52.3,66.0,62.67,64.96
68.12,64.1,76.9,61.1,64.4,51.0,68.52,64.88
68.12,68.57,64.5,66.1,48.6,63.0,68.71,63.94
76.38,65.57,61.6,60.2,60.4,69.6,59.81,64.79
65.25,65.29,67.7,60.3,60.4,63.9,72.71,65.08
72.75,67.67,68.4,73.2,57.6,71.8,64.05,67.92
61.62,56.76,62.8,59.2,75.2,62.9,60.71,62.74
71.62,68.38,60.2,69.4,53.8,55.4,59.67,62.64
60.62,63.29,65.0,65.8,52.2,65.5,60.81,61.89
67.5,52.9,58.8,61.7,60.2,68.8,64.76,62.1
61.0,62.52,70.2,75.6,71.4,71.5,60.95,67.6
64.25,71.14,64.0,67.4,63.3,69.8,64.1,66.28
51.5,64.33,59.5,67.2,54.4,70.4,62.0,61.33
63.75,63.0,51.1,58.9,53.6,69.2,61.86,60.2
52.62,73.9,64.8,67.9,53.9,61.6,60.43,62.17
73.0,55.24,72.9,62.2,70.0,72.9,63.57,67.12
75.25,56.57,59.9,70.4,57.1,60.8,70.14,64.31
64.62,59.86,55.6,75.6,53.4,69.9,68.0,63.85
66.38,64.33,75.1,56.4,59.4,67.7,59.38,64.1
66.5,62.24,69.4,69.0,59.3,58.6,57.9,63.28
63.25,67.86,61.4,58.8,58.0,77.7,66.52,64.79
62.88,59.95,76.2,66.6,56.9,59.9,60.62,63.29
56.75,63.62,60.8,67.7,65.6,71.6,61.43,63.93
54.75,59.14,65.4,71.5,67.8,62.7,65.24,63.79
64.62,68.57,64.2,70.1,65.9,61.0,61.38,65.11
65.25,61.9,57.1,67.1,56.0,62.2,69.05,62.66
65.25,69.1,65.0,61.8,72.6,63.5,58.52,65.11
65.75,63.71,72.0,70.0,54.3,53.7,69.38,64.12
46.25,68.52,72.7,70.8,66.7,55.1,70.05,64.3
63.25,64.19,71.4,58.9,56.8,66.6,65.62,63.82
68.75,72.1,64.4,64.6,59.6,69.3,67.43,66.6
59.5,69.43,69.0,66.3,64.8,66.9,64.43,65.77
67.12,60.76,71.5,69.8,68.3,54.7,67.29,65.64
56.5,66.9,65.7,56.3,59.0,67.9,63.05,62.19
59.5,59.1,62.7,73.4,58.0,64.6,67.33,63.52
75.5,63.86,68.6,70.1,60.7,64.7,55.9,65.62
61.62,65.76,53.1,57.0,69.7,62.4,62.86,61.78
59.75,62.76,51.5,56.3,63.9,64.6,59.14,59.71
62.62,60.95,57.3,65.0,62.4,57.9,65.0,61.6
62.62,63.95,64.7,62.6,77.8,56.5,57.62,63.69
81.25,65.19,61.4,55.9,64.5,77.9,61.81,66.85
70.62,71.05,66.3,55.8,76.2,55.7,59.67,65.05
72.62,66.48,61.7,65.5,70.6,64.3,63.19,66.34
69.38,61.57,69.0,75.6,52.2,48.1,65.81,63.09
68.12,66.95,74.3,52.0,65.4,60.4,49.57,62.39
61.25,62.9,56.6,64.4,62.0,64.8,70.24,63.17
54.38,58.29,60.0,67.8,70.3,66.6,61.76,62.73
65.5,68.0,55.0,68.3,67.9,60.0,63.86,64.08
62.75,60.76,63.5,62.8,55.1,61.6,66.38,61.84
77.12,58.29,49.2,59.8,68.8,65.4,59.67,62.61
70.0,62.24,66.3,63.5,70.4,62.2,64.1,65.53
72.5,67.52,62.4,64.2,64.1,65.4,66.48,66.09
79.75,62.9,66.1,65.2,68.4,62.1,65.43,67.13
70.38,71.24,61.9,61.8,73.4,57.7,69.71,66.59
62.5,72.81,65.3,65.2,74.4,70.2,67.95,68.34
62.62,61.24,59.2,61.9,62.7,57.2,63.29,61.16
68.0,61.57,73.0,65.0,57.1,66.4,63.48,64.94
66.88,65.67,65.7,62.8,62.6,53.6,62.1,62.76
63.0,66.62,68.0,65.1,63.5,69.7,59.71,65.09
66.25,63.62,60.0,64.6,58.9,70.1,60.52,63.43
59.25,61.48,56.6,61.3,54.4,58.1,63.52,59.24
63.38,65.1,57.4,69.5,64.9,72.5,68.86,65.95
48.75,59.33,67.1,67.9,60.1,62.5,59.0,60.67
68.88,64.48,70.9,67.9,73.0,59.7,71.24,68.01
61.38,61.95,61.5,54.5,60.3,66.7,66.19,61.79
74.88,66.1,64.0,70.2,65.0,64.8,64.14,67.02
63.75,57.05,58.3,67.9,62.2,67.5,62.76,62.78
45.75,65.0,71.7,64.7,61.6,65.4,60.19,62.05
69.75,67.14,65.3,62.9,53.9,46.4,65.0,61.48
68.5,62.67,50.1,62.1,58.8,66.9,72.95,63.15
54.38,67.62,65.4,59.8,54.3,62.1,65.19,61.25
70.5,69.62,61.6,65.1,63.9,72.0,66.67,67.06
73.0,64.86,59.9,56.4,61.8,60.5,62.14,62.66
70.5,70.19,49.4,54.7,57.8,67.8,64.38,62.11
61.88,53.38,66.8,72.5,66.0,56.4,62.86,62.83
69.25,68.76,67.1,59.3,81.9,53.0,67.0,66.62
63.38,66.29,56.3,73.1,60.5,65.3,60.95,63.69
73.38,62.52,75.2,61.3,60.2,66.0,68.0,66.66
61.25,65.43,72.1,76.0,52.7,61.2,61.95,64.38
49.25,63.05,52.3,70.8,56.0,65.7,60.43,59.65
66.88,70.19,73.8,63.8,73.1,59.9,60.95,66.95
77.12,65.9,74.9,54.3,67.1,63.3,70.29,67.56
64.5,64.38,71.9,64.8,75.6,64.5,59.14,66.4
60.25,76.38,60.7,60.2,75.4,57.2,69.71,65.69
67.75,67.0,76.5,51.2,77.5,51.5,62.38,64.83
62.0,55.0,65.6,62.4,63.5,56.9,60.43,60.83
59.62,60.52,67.0,57.6,61.2,71.8,70.29,64.0
62.0,69.52,54.3,74.2,61.6,66.8,64.05,64.64
56.88,65.62,66.5,71.7,64.5,67.7,64.81,65.39
70.5,68.33,66.0,48.4,63.0,61.4,57.43,62.15
72.5,60.05,67.7,71.3,58.9,52.9,67.19,64.36
54.62,60.57,62.7,54.2,55.2,59.5,60.1,58.13
57.25,68.33,65.8,57.5,52.6,66.0,65.19,61.81
59.12,65.19,69.1,66.8,73.7,72.5,65.81,67.46
65.88,60.43,71.9,76.2,58.7,77.1,65.81,68.0
49.62,63.62,60.2,60.2,61.7,66.1,58.52,60.0
65.5,65.43,65.0,70.0,63.0,57.3,61.33,63.94
70.0,66.62,78.0,65.9,67.0,69.1,59.71,68.05
60.5,62.0,68.9,60.9,66.3,56.4,71.1,63.73
66.38,62.57,59.2,70.2,66.8,67.5,60.43,64.72
67.25,66.05,59.6,66.2,64.7,71.2,69.86,66.41
56.0,64.71,70.1,53.5,51.3,62.1,60.1,59.69
59.25,66.86,52.7,65.3,71.6,69.4,60.71,63.69
56.75,58.67,69.2,73.2,66.2,67.5,62.43,64.85
66.25,65.38,71.0,66.0,68.2,54.5,59.67,64.43
54.25,63.38,52.6,69.0,66.3,70.7,59.95,62.31
41.25,64.38,75.6,58.2,59.7,75.9,63.0,62.58
62.75,60.38,67.2,72.4,67.5,60.7,63.43,64.91
53.38,68.14,67.2,55.8,57.0,66.4,63.29,61.6
53.5,67.71,50.7,55.6,69.6,70.7,66.62,62.06
66.12,68.0,65.5,66.1,54.3,54.6,66.19,62.97
66.0,62.1,71.5,56.4,68.4,59.7,64.57,64.1
74.88,66.14,63.0,57.7,57.2,57.5,64.52,62.99
74.88,67.14,59.5,72.4,71.3,69.9,66.29,68.77
59.38,50.52,59.5,66.7,61.7,63.3,72.81,61.99
72.75,63.71,70.5,55.8,56.3,61.6,56.38,62.44
58.38,64.57,68.8,58.5,68.1,73.8,65.29,65.35
63.75,53.48,65.3,61.4,69.0,60.1,71.76,63.54
72.75,68.52,59.6,63.8,62.5,66.0,60.05,64.75
67.25,68.24,65.0,70.5,63.2,71.7,69.43,67.9
76.5,62.52,50.9,68.0,61.8,62.2,62.57,63.5
68.0,60.0,59.6,65.2,57.3,64.2,55.71,61.43
68.75,68.43,70.8,60.2,68.4,65.5,66.52,66.94
62.38,58.33,75.0,71.3,79.6,71.0,58.52,68.02
54.75,57.95,62.0,59.5,61.3,68.3,69.62,61.92
70.88,58.19,62.0,61.7,65.4,56.3,69.81,63.47
57.25,66.14,60.4,69.0,72.4,56.6,63.33,63.59
72.38,70.05,61.8,77.3,56.3,53.9,65.81,65.36
72.62,69.19,62.7,67.2,70.2,57.5,69.43,66.98
68.38,63.67,55.7,64.7,61.5,66.6,63.9,63.49
81.0,60.52,66.1,71.4,64.4,59.3,64.38,66.73
56.5,73.57,72.9,64.8,74.5,71.2,59.1,67.51
64.5,61.43,57.0,68.0,60.4,76.9,68.86,65.3
71.5,60.81,59.9,65.3,60.6,62.4,58.9,62.77
55.12,59.9,48.4,68.5,66.4,72.5,69.62,62.92
55.75,63.38,60.5,57.0,61.8,59.2,68.38,60.86
