BGL10102,BGL10103,BGL10105,DAM10102,DAM10103,DAM10105,BTP10102,BTP10103,BAL10102,BAL10103,BAL10104,BCB10102,BCB10103,BLC10102,BLC10103
72,71,69,92,96,90,90,76,82,72,84,87,84,71,85
86,68,83,72,88,84,98,96,96,71,84,77,87,93,96
70,79,79,95,89,73,68,75,70,69,83,93,95,76,84
92,79,75,71,72,80,71,84,70,65,74,88,95,84,89
74,90,86,86,77,76,65,72,88,90,88,98,83,74,74
84,75,72,82,82,72,94,75,97,67,82,77,68,95,75
95,92,86,97,68,83,89,76,97,78,90,94,67,91,94
85,71,97,71,75,91,90,65,89,65,84,97,83,92,84
76,73,71,79,82,77,96,97,66,75,81,74,73,89,95
84,65,97,86,73,80,77,65,91,79,85,92,67,86,75
88,75,67,82,98,81,76,72,67,86,74,71,70,84,78
67,79,89,76,75,73,67,94,91,90,83,65,95,81,92
71,92,69,96,96,75,73,75,94,88,85,87,89,96,89
83,76,68,97,86,79,68,86,66,81,84,71,70,93,75
87,82,84,70,73,80,89,70,83,88,67,89,82,97,76
90,94,69,74,92,82,84,78,68,71,70,89,68,96,77
67,77,95,65,67,94,86,81,75,86,71,70,85,91,71
84,87,76,82,80,71,72,89,82,71,66,82,85,77,77
66,86,67,90,73,89,77,83,93,79,72,88,87,95,68
93,72,97,80,92,80,81,79,91,76,78,72,71,69,73
68,73,80,86,80,79,68,67,80,76,95,68,85,69,94
70,98,84,65,98,95,89,72,69,73,79,91,74,77,68
85,85,78,65,71,71,82,79,91,85,82,98,93,69,68
83,84,67,78,71,95,98,75,69,80,85,89,69,82,65
75,70,69,83,95,82,66,86,67,97,70,81,81,71,68
91,91,79,81,81,92,69,67,93,65,94,75,69,75,77
98,94,84,78,71,92,88,66,68,74,89,81,90,71,83
98,67,95,85,89,74,68,94,66,90,74,98,89,88,67
86,74,96,76,89,70,76,67,75,94,78,90,73,92,66
96,84,75,74,67,71,68,90,88,79,67,97,73,79,82
78,79,96,74,98,81,89,86,72,79,92,66,75,65,70
93,95,96,77,75,84,70,92,68,83,66,71,91,92,65
65,87,66,85,68,94,97,66,82,76,80,78,95,78,74
74,84,89,69,70,66,65,77,80,95,96,84,70,78,94
98,65,69,73,84,67,83,74,80,78,85,65,87,72,90
68,76,87,88,96,94,89,77,80,82,75,71,98,95,95
80,71,82,96,69,87,95,83,81,92,68,85,69,74,87
74,83,81,79,73,94,98,78,90,92,98,83,94,95,69
71,89,88,74,86,66,78,70,74,94,74,84,85,75,67
67,96,97,80,81,79,93,65,66,75,85,92,82,96,71
90,84,89,67,83,88,94,73,85,71,65,81,84,77,71
74,72,65,66,98,95,73,88,68,73,67,83,97,95,79
69,74,75,66,86,90,96,88,96,85,90,98,97,95,91
83,72,81,86,96,90,71,93,94,75,66,82,69,69,87
67,79,85,70,81,72,93,94,89,88,90,86,71,90,83
73,65,86,86,80,65,93,74,69,88,82,95,65,83,88
72,66,88,93,85,92,78,98,82,76,67,84,87,77,80
69,86,73,87,72,94,87,94,72,98,81,89,80,96,73
75,89,69,78,78,76,83,84,73,76,81,96,81,92,85
77,95,65,72,74,83,87,67,86,67,66,89,69,86,95
84,91,93,98,86,91,89,78,66,72,75,73,80,79,85
69,70,95,76,98,95,80,77,65,84,69,76,72,90,90
82,84,95,78,74,98,90,78,67,98,75,76,93,94,68
69,88,72,76,94,81,65,97,67,95,94,65,69,94,98
75,88,70,85,70,72,88,72,67,72,98,86,86,85,89
95,93,70,89,68,90,97,82,87,85,71,97,91,65,71
97,65,88,81,96,92,75,90,65,65,83,97,90,80,76
89,82,93,80,84,98,79,98,83,98,95,85,84,88,71
77,69,98,81,75,94,85,93,77,80,71,97,84,75,85
91,70,76,95,93,96,97,83,79,92,76,68,98,68,87
80,71,79,71,75,85,68,86,75,87,89,76,89,83,68
73,78,94,74,80,72,96,90,87,96,94,88,70,72,82
86,76,92,73,89,90,66,90,91,98,72,79,92,75,81
94,92,84,89,87,91,88,97,88,85,84,86,81,84,83
83,96,87,96,81,69,71,87,75,85,94,91,96,89,82
76,77,83,65,85,75,71,90,97,81,85,86,73,93,92
88,92,81,90,82,66,94,71,82,98,69,85,94,78,71
65,98,75,65,79,74,81,74,89,78,80,78,85,78,83
82,67,92,79,95,80,92,86,80,89,86,96,87,97,74
90,98,67,80,88,87,68,67,78,68,86,89,80,97,77
92,91,84,97,94,93,93,71,88,91,71,75,76,73,67
66,77,68,68,82,93,68,69,78,97,69,90,83,68,73
74,89,67,94,76,77,97,65,89,98,93,69,67,71,73
98,84,75,68,68,71,85,74,80,76,75,70,72,80,88
86,78,82,95,87,98,96,66,66,86,81,98,94,82,75
71,73,97,73,66,72,85,69,87,72,77,76,74,95,89
76,80,72,73,85,69,76,70,79,74,90,88,83,69,80
68,87,71,91,78,66,75,87,77,68,69,87,72,69,69
76,89,65,89,74,65,74,97,69,74,92,84,92,69,67
80,95,68,68,88,82,95,73,74,76,92,95,89,75,95
72,91,86,89,81,92,89,74,77,68,80,69,98,87,65
93,65,84,70,88,70,97,75,92,92,97,98,75,83,97
89,87,74,74,80,79,67,87,79,90,87,71,92,90,87
78,84,96,90,82,81,78,72,82,78,96,79,65,79,77
77,91,78,91,65,82,83,68,81,72,96,91,77,87,97
94,95,85,84,98,88,95,92,70,73,73,91,68,70,74
95,76,72,66,69,95,92,98,73,97,91,82,67,65,90
88,75,86,86,83,92,96,69,94,73,92,74,76,70,84
82,75,70,71,83,79,85,87,75,82,90,70,94,67,87
90,91,75,74,79,72,77,75,81,81,81,87,95,70,85
86,89,82,79,89,88,92,81,80,93,85,71,84,77,97
92,90,76,92,73,82,74,82,82,86,86,80,89,74,71
88,81,93,68,80,82,76,91,83,74,68,75,97,91,82
92,82,88,71,73,91,72,98,80,84,81,82,67,74,82
80,88,79,76,83,83,76,88,76,74,87,81,94,78,95
79,83,82,76,92,78,82,80,90,85,86,78,97,87,81
90,73,87,75,94,94,79,80,73,71,66,91,68,97,97
74,83,80,81,77,83,67,94,66,76,81,87,79,65,73
87,94,67,80,94,90,78,96,97,78,74,97,83,97,75
94,77,88,93,95,94,83,69,98,69,70,87,97,69,89
89,92,79,77,86,94,79,90,75,87,96,98,87,96,82
98,96,77,68,71,73,93,76,66,83,74,93,86,93,96
68,70,79,75,69,94,65,91,87,96,80,72,71,65,65
72,67,93,91,93,82,92,88,76,71,92,89,75,68,96
65,71,89,78,93,81,87,92,79,67,73,80,79,71,82
81,85,96,80,82,67,77,96,81,76,73,66,94,97,67
95,73,89,72,81,95,80,97,72,69,65,93,73,68,88
74,65,82,66,84,87,90,92,84,88,95,75,74,72,83
92,85,72,67,79,71,66,86,66,78,85,72,85,65,80
83,94,98,88,83,67,83,96,69,90,73,92,67,81,78
84,70,98,86,89,70,94,92,92,87,79,77,86,95,83
85,85,72,77,69,80,78,72,87,90,96,83,89,78,97
75,93,82,66,71,72,91,77,91,87,79,80,90,89,97
84,67,98,98,78,88,73,71,70,83,89,74,68,88,76
86,97,72,73,74,90,74,97,73,65,73,79,71,76,91
78,82,98,88,88,81,90,67,83,75,65,81,72,71,68
79,87,93,85,73,94,66,87,65,82,96,86,73,79,85
89,74,67,87,89,70,83,68,93,91,87,76,94,65,69
87,96,70,72,79,97,84,85,77,82,70,84,81,77,76
73,67,87,77,90,68,97,65,70,77,79,71,80,70,69
91,83,95,81,89,83,77,93,96,69,89,82,79,71,85
70,68,97,86,85,84,90,88,65,67,86,90,65,70,92
73,82,74,97,84,65,91,86,92,98,91,85,66,68,77
78,82,79,90,74,90,93,91,88,97,79,65,69,75,96
75,93,65,82,74,96,94,72,75,77,81,94,85,71,96
97,91,96,91,66,97,90,85,73,66,77,79,65,85,95
82,73,83,78,83,83,78,89,92,97,87,67,89,81,85
73,65,92,96,80,96,98,89,74,83,77,87,69,88,67
77,82,92,84,82,73,68,92,96,83,76,90,88,86,90
75,69,69,90,94,81,92,89,98,71,68,81,89,94,69
97,94,94,73,86,66,88,71,81,88,71,92,67,92,96
84,90,69,89,96,66,72,93,76,78,68,67,93,88,96
74,92,90,79,89,76,92,91,66,83,68,96,79,83,83
89,79,94,79,73,78,87,66,95,81,85,97,85,79,75
80,70,94,86,71,81,65,90,75,78,91,89,72,67,68
71,68,81,78,88,68,77,67,83,86,89,72,85,93,85
97,89,76,75,83,98,85,72,72,76,98,88,86,93,76
90,92,80,98,84,69,95,93,75,88,83,91,66,84,78
80,91,65,67,98,66,94,66,92,91,85,74,77,84,92
96,83,90,97,69,87,93,80,80,78,98,67,82,70,68
73,68,79,69,70,76,97,98,96,76,69,75,85,84,69
75,72,81,83,98,77,65,90,95,65,97,67,90,71,97
83,75,74,75,83,96,93,85,86,71,66,90,71,90,81
69,71,80,98,84,84,85,69,85,92,96,92,87,71,71
78,84,83,95,91,96,73,66,65,74,78,87,83,81,91
69,80,85,92,66,95,66,93,70,81,66,68,85,86,95
71,97,85,89,77,87,96,71,81,78,71,67,81,97,94
66,74,93,79,94,79,75,84,78,98,75,67,98,89,69
83,77,80,71,87,96,70,69,69,88,66,86,93,75,93
77,98,76,88,77,69,90,65,94,66,96,67,67,67,83
72,67,83,79,66,66,94,74,84,86,79,93,74,78,79
87,89,87,77,79,87,86,95,89,84,93,77,88,73,73
76,66,86,67,90,86,68,93,72,94,89,68,96,65,98
93,91,92,82,77,80,83,81,83,80,85,78,89,81,70
69,67,68,89,85,79,78,75,88,84,74,77,96,98,67
92,96,70,98,80,83,71,83,68,93,77,75,79,91,79
79,77,81,77,66,95,67,76,80,91,78,95,71,97,83
78,70,76,78,83,68,78,89,68,98,94,66,68,80,66
95,85,84,67,84,71,86,82,68,87,83,73,67,95,69
66,75,73,73,65,87,65,78,74,81,95,96,76,93,65
66,67,96,93,71,80,77,90,98,67,90,69,67,71,73
80,70,97,77,79,76,86,85,77,87,82,87,98,68,69
98,67,84,85,92,77,95,82,89,80,69,84,83,81,83
87,65,66,74,91,67,69,67,85,93,66,79,65,77,97
75,93,72,66,96,72,82,74,88,75,87,70,82,65,97
77,77,96,93,88,71,75,65,89,75,95,68,95,70,79
79,98,98,93,84,66,88,74,95,72,80,80,74,72,93
70,70,86,69,73,97,66,89,71,86,83,92,92,76,65
89,66,98,81,84,92,67,96,80,65,73,82,85,87,77
93,90,92,94,84,93,98,79,78,88,98,76,83,80,68
79,98,83,95,72,80,72,81,75,97,77,68,90,83,95
75,90,95,87,75,89,69,67,68,98,78,83,79,77,98
98,70,69,76,68,77,94,88,97,96,87,77,80,79,77
85,78,71,74,92,74,87,88,69,67,70,93,76,74,70
88,68,79,72,71,92,81,95,91,80,95,94,67,66,85
89,69,97,83,86,84,73,97,79,67,72,98,81,67,75
75,86,90,83,90,76,85,66,98,68,98,83,92,71,74
65,97,94,97,71,79,80,77,67,69,66,85,73,77,98
74,85,89,74,92,84,65,90,93,79,93,73,82,95,83
71,75,71,88,97,79,65,74,86,65,74,71,88,91,84
86,69,72,91,68,83,76,65,96,88,82,75,87,90,67
92,67,70,87,98,98,70,80,96,70,90,85,97,67,85
94,75,69,89,85,74,85,88,66,91,97,83,80,91,73
87,95,85,81,78,82,97,77,85,81,78,84,81,83,85
93,92,67,86,72,88,70,73,74,96,90,81,78,73,74
97,83,86,67,73,94,90,97,67,66,66,85,90,78,68
80,79,90,91,70,83,70,91,78,90,70,94,94,75,83
69,86,77,70,82,86,95,66,93,95,67,65,73,98,94
78,75,79,94,78,73,95,88,78,65,70,76,69,91,84
87,76,73,83,70,88,92,70,72,82,75,96,90,72,84
96,74,76,74,96,73,96,90,70,74,92,71,97,92,84
97,77,78,88,87,76,90,87,78,74,77,87,65,69,73
92,65,75,88,72,84,67,76,83,93,72,90,67,96,65
69,97,86,75,81,86,72,74,83,70,86,95,68,87,79
96,65,91,92,74,65,65,77,67,81,87,98,79,89,77
98,68,92,66,91,65,81,88,89,90,87,88,93,75,77
85,92,92,65,91,83,73,70,79,67,67,95,92,76,91
98,78,83,80,96,74,87,79,67,67,80,74,86,65,72
73,79,88,97,86,92,85,93,81,88,69,84,80,84,73
79,95,66,76,69,97,94,82,76,96,83,84,94,87,96
88,74,86,94,97,78,81,81,66,96,87,90,72,85,72
72,84,95,65,96,97,89,95,98,93,89,65,89,79,98
73,95,92,65,79,87,67,90,73,89,77,78,76,87,83
97,73,72,67,92,66,98,94,73,65,89,91,69,67,84
65,95,72,97,86,88,90,91,75,92,88,81,89,76,97
91,65,89,98,80,75,89,85,77,68,65,83,76,65,85
89,93,72,75,75,67,98,74,85,72,94,76,68,70,77
84,84,90,94,66,87,89,80,93,86,70,73,85,92,70
77,74,66,69,86,88,89,77,75,85,75,94,87,72,82
82,90,91,76,80,80,75,85,93,86,92,87,85,98,96
79,91,67,84,83,90,97,94,93,78,90,82,91,98,93
73,77,66,67,82,98,91,66,82,94,86,94,90,72,91
67,76,67,91,70,98,85,79,83,85,70,88,67,82,80
87,86,82,83,67,93,68,85,72,70,90,82,77,91,81
75,83,69,82,92,82,85,67,82,69,96,66,72,80,68
78,77,98,74,72,65,75,90,67,71,65,91,81,96,88
83,86,68,66,86,67,77,92,67,79,97,92,68,79,93
74,90,86,86,84,80,98,83,91,82,90,70,72,69,85
92,69,91,87,71,83,66,79,68,82,79,80,95,94,89
81,93,97,98,89,87,75,89,75,76,84,91,91,76,75
69,98,80,68,92,69,71,74,83,96,90,76,72,70,96
69,95,97,82,76,93,82,91,78,80,85,95,78,67,88
82,95,92,89,88,72,68,98,85,94,96,98,96,68,80
88,72,74,79,71,93,82,70,88,89,89,65,69,69,89
89,70,92,67,97,97,85,97,91,67,88,71,91,93,81
66,72,94,85,74,65,95,84,98,78,67,88,82,73,81
80,65,78,74,91,72,87,98,67,69,65,70,78,66,69
69,97,67,86,66,82,75,71,96,81,96,67,92,72,97
97,74,69,72,85,68,73,67,79,98,81,73,73,73,79
72,85,84,70,94,98,66,94,91,78,94,84,86,65,84
71,95,79,84,67,76,66,76,80,68,78,89,67,79,66
74,74,81,83,72,97,88,86,91,98,94,98,93,87,92
74,86,98,89,83,67,87,97,93,73,66,65,68,82,90
69,77,96,74,91,82,89,93,91,88,89,77,72,98,96
91,84,74,98,83,92,77,92,78,66,70,84,93,74,87
83,85,91,70,81,91,83,98,83,86,87,85,73,90,84
84,65,69,93,80,90,93,87,65,87,88,74,92,84,67
88,77,85,78,65,69,79,83,70,78,75,76,98,70,65
79,92,97,98,65,84,84,82,95,88,68,79,98,69,98
95,82,96,70,66,83,91,76,74,95,67,82,81,72,68
98,81,87,85,69,98,90,65,75,86,66,90,83,73,74
73,86,90,86,68,82,79,84,73,90,86,83,91,96,65
69,98,87,86,85,66,78,90,65,93,74,92,84,76,80
88,67,98,79,86,93,98,91,91,73,97,79,71,86,88
98,98,76,75,75,94,90,77,71,91,70,85,81,79,92
81,87,95,80,87,77,95,74,66,65,85,72,74,87,76
93,98,65,94,70,77,65,84,97,91,87,80,74,81,97
72,93,79,87,65,92,79,73,68,91,95,66,92,78,73
76,65,91,68,71,89,81,91,94,92,73,95,73,75,72
65,79,74,76,83,80,67,68,84,80,74,95,79,80,78
75,67,75,76,86,98,91,81,89,72,92,93,69,70,89
87,80,73,87,79,93,77,65,78,84,67,72,67,95,80
83,87,90,65,83,95,74,72,82,79,91,73,98,91,94
86,79,96,76,69,68,96,84,67,87,83,66,67,86,68
96,72,77,69,67,90,71,80,86,69,66,74,90,86,81
80,89,72,81,73,81,98,91,73,79,67,83,96,94,85
79,97,90,77,83,95,94,67,67,81,88,89,89,87,84
71,78,78,75,70,81,68,84,98,85,82,89,77,80,98
73,80,94,77,93,78,81,77,98,89,69,83,85,98,88
84,72,77,70,75,93,78,66,74,93,65,74,98,83,88
90,81,80,91,72,70,95,73,74,67,96,67,79,92,74
65,68,78,78,79,91,71,87,83,75,78,72,84,73,68
69,73,89,89,76,79,66,77,65,81,69,70,91,88,80
97,88,86,68,91,90,95,66,89,83,74,84,86,66,72
88,77,69,89,77,92,91,69,84,86,80,69,70,94,97
73,74,96,96,96,89,66,93,78,92,81,65,87,91,94
77,76,65,85,83,92,77,97,91,70,89,98,94,77,89
66,81,88,81,74,89,82,76,97,94,94,85,76,86,85
76,88,81,75,83,71,70,98,79,76,67,72,95,77,81
69,71,67,87,84,80,71,95,84,89,71,95,69,75,95
90,78,66,73,78,98,97,74,88,65,84,91,86,93,93
80,96,84,80,78,93,97,73,79,80,77,70,75,82,97
83,69,66,67,93,67,94,69,90,67,98,95,78,74,66
89,70,70,71,89,71,76,83,71,90,69,85,70,76,88
83,81,92,88,67,67,88,92,84,74,87,72,73,69,91
83,98,95,66,82,82,80,93,79,71,94,93,71,65,79
82,97,95,91,89,82,69,84,77,69,83,79,75,75,81
92,77,83,93,81,75,98,92,83,92,96,84,97,80,94
68,75,97,71,65,71,68,76,85,94,77,75,83,81,73
66,89,79,70,77,71,98,69,91,80,74,80,93,87,67
98,78,67,82,91,75,88,85,67,68,82,90,82,87,81
85,72,77,87,87,78,70,97,96,84,73,85,74,82,92
71,87,77,79,88,97,88,79,80,67,66,78,82,75,96
79,89,97,94,90,68,76,70,92,84,88,80,97,74,87
83,77,74,98,86,95,84,75,73,82,68,84,80,93,77
94,66,98,74,94,72,74,71,73,81,75,95,97,93,94
80,76,75,93,86,68,80,80,70,90,86,69,91,65,89
67,93,84,90,97,78,84,84,89,73,70,81,98,67,70
95,72,69,66,84,73,68,91,92,98,90,72,76,69,92
78,88,69,77,86,82,93,65,74,94,98,68,85,66,82
90,84,79,90,86,71,73,83,91,92,71,88,88,71,78
67,95,89,79,72,76,91,68,85,92,84,91,94,95,76
91,80,72,92,87,98,97,79,96,88,67,80,96,95,98
92,74,92,87,97,69,73,65,98,85,69,86,96,88,74
81,65,82,77,84,97,89,74,74,93,80,94,87,90,81
82,75,69,65,67,94,87,78,94,98,96,70,71,83,85
98,76,96,73,85,77,76,68,91,72,65,76,90,66,84
82,88,78,90,70,79,72,75,65,71,90,91,83,67,95
70,83,69,77,88,70,84,65,75,82,83,80,86,88,71
80,88,69,78,76,86,80,67,72,66,97,67,98,98,82
87,84,80,70,86,65,95,77,76,84,80,96,92,65,67
76,76,78,74,96,98,79,95,95,95,90,91,83,91,97
88,80,95,91,76,88,84,94,85,72,86,71,65,65,95
66,91,77,71,81,90,67,97,88,87,83,89,76,94,73
69,92,73,69,80,76,87,77,87,93,97,70,85,71,93
86,65,80,73,82,80,96,81,66,95,94,98,65,77,95
94,89,71,95,96,69,84,94,69,77,66,97,97,79,92
75,74,82,89,94,73,81,96,77,96,95,83,65,69,83
97,85,89,65,94,76,87,89,69,74,74,97,67,87,98
80,87,91,71,73,76,81,94,96,84,82,81,90,69,94
71,75,91,85,94,74,97,76,66,90,77,88,88,81,76
75,82,84,97,83,70,72,68,83,69,93,65,85,97,97
92,76,93,83,65,92,83,65,79,73,96,83,65,80,70
78,73,82,82,77,93,71,77,66,92,89,66,65,88,89
81,97,71,76,72,66,67,90,89,80,94,79,73,96,77
74,84,80,67,85,78,69,67,84,83,79,73,80,72,88
79,68,94,71,66,81,74,85,68,73,96,84,92,75,96
93,79,75,78,69,75,81,80,76,68,98,79,92,77,93
74,69,82,90,81,80,66,96,75,98,70,96,93,78,94
86,85,86,93,77,67,92,85,87,96,83,69,95,68,79
88,73,80,71,83,88,98,92,73,94,79,74,74,94,80
86,66,89,89,87,77,65,71,72,67,78,75,94,90,74
90,97,86,88,91,96,97,68,87,89,70,97,75,86,68
65,81,65,94,73,92,75,66,87,89,98,83,98,97,92
98,77,75,67,86,80,92,87,75,83,92,67,83,93,85
83,87,79,74,69,92,65,98,83,65,78,90,83,67,93
94,90,79,84,72,96,81,95,66,81,79,93,92,88,73
85,92,72,79,91,84,92,67,84,96,91,72,97,77,94
75,77,88,83,81,76,83,79,82,91,96,85,69,83,79
77,88,80,66,68,84,95,89,96,94,84,89,93,98,95
79,65,93,88,71,78,81,86,85,68,66,82,90,91,75
74,92,76,86,82,80,80,86,72,72,91,68,94,71,67
66,95,80,87,67,68,90,93,66,73,65,81,74,83,78
93,75,80,92,71,79,93,75,95,76,67,84,83,84,76
71,93,89,73,75,89,89,85,76,76,80,92,85,73,77
98,74,89,90,95,78,70,69,97,79,89,86,93,75,76
77,89,77,80,67,87,83,94,71,82,88,90,92,93,92
89,66,81,72,95,85,87,91,72,73,88,94,96,70,98
71,81,81,96,92,72,80,88,69,86,82,97,77,73,84
83,76,71,89,91,87,68,78,81,87,91,70,75,89,91
72,85,72,85,95,92,74,73,91,92,74,73,84,76,87
65,77,93,72,95,88,69,82,70,69,67,79,88,70,68
91,83,69,97,97,66,98,68,89,67,75,80,96,89,95
69,75,96,93,89,73,78,68,85,87,65,77,82,79,80
84,73,81,68,92,87,65,79,98,96,89,65,94,80,96
81,93,67,80,98,78,76,97,69,90,93,68,74,78,97
77,65,85,72,84,86,89,83,86,79,84,68,91,84,78
76,90,90,73,72,87,66,75,83,80,70,65,88,72,86
96,70,86,72,78,73,93,82,70,74,95,73,90,74,78
77,68,72,85,67,70,71,69,95,71,79,84,89,91,69
86,69,92,84,66,98,90,65,97,84,97,88,80,96,90
95,72,81,75,88,91,73,84,78,76,79,68,75,88,66
93,97,80,77,85,76,91,75,77,77,65,94,84,87,93
87,94,79,80,98,90,94,90,70,89,72,71,71,86,93
95,70,95,84,86,71,82,87,69,90,66,87,97,82,75
90,77,97,88,69,83,77,85,87,89,79,77,84,95,67
90,78,86,97,85,90,74,79,68,93,82,75,67,72,72
91,92,85,83,72,68,93,66,76,78,68,84,72,66,90
95,89,70,79,98,84,68,66,76,85,97,69,70,74,67
84,68,83,84,82,83,88,69,78,93,77,66,97,83,81
79,94,93,95,70,78,82,67,83,78,81,70,78,78,89
71,65,66,94,73,79,97,76,83,68,98,96,77,89,90
84,85,88,77,80,69,80,92,66,79,81,98,74,71,69
81,76,66,68,77,79,78,96,76,78,75,88,83,82,69
82,94,74,86,65,71,65,84,66,65,98,72,89,89,77
77,89,82,91,87,78,77,92,73,83,65,95,72,90,68
73,98,93,95,65,77,97,97,82,89,72,93,83,96,91
93,90,71,89,78,98,75,94,92,89,66,73,86,87,74
82,89,73,91,65,95,97,71,69,79,94,73,72,96,72
96,69,65,74,80,87,77,86,80,78,96,89,96,86,65
71,97,98,80,73,88,93,65,86,80,80,66,78,86,74
65,86,97,87,83,66,72,83,86,80,90,85,94,85,92
88,69,70,90,84,67,76,96,97,66,97,71,76,93,87
82,80,77,82,83,71,93,71,72,74,91,98,78,76,86
68,67,97,77,96,66,86,90,86,98,79,69,90,68,85
84,81,94,94,75,78,78,77,89,65,71,86,86,85,81
93,65,82,67,92,85,75,83,87,88,78,69,85,72,69
66,89,90,90,67,79,73,83,96,94,84,68,87,72,87
67,71,74,86,85,81,96,91,65,66,89,98,90,77,91
90,68,90,71,75,90,75,82,98,98,95,87,86,76,92
79,85,68,71,71,65,79,91,65,89,76,84,78,97,92
68,97,85,88,75,68,82,77,72,94,86,85,76,92,83
86,79,95,87,95,80,93,95,94,88,74,75,83,75,74
65,89,98,82,82,94,77,95,96,95,65,93,92,89,94
85,84,72,81,73,66,73,95,81,97,84,91,79,98,82
84,75,94,73,84,73,82,73,91,92,76,74,84,94,66
78,91,69,75,81,79,89,96,65,97,88,89,94,97,91
79,79,70,93,66,75,72,72,75,71,79,72,77,65,90
65,75,72,69,69,70,72,68,98,85,92,80,95,86,98
71,81,96,80,68,89,73,91,86,87,80,93,67,85,71
84,95,78,94,87,74,85,94,69,87,85,76,72,67,76
70,78,95,66,74,72,97,77,88,93,97,79,92,78,91
74,91,86,65,69,94,86,71,78,80,78,72,72,98,93
85,90,88,70,69,67,80,68,84,83,74,68,80,96,87
77,86,69,79,96,93,65,98,71,72,86,89,80,69,78
91,86,90,91,68,93,69,90,79,73,80,65,69,79,85
78,87,93,87,97,66,89,82,85,88,79,70,65,85,80
66,98,76,96,76,93,93,93,84,83,68,66,82,86,95
73,90,72,85,96,72,72,93,90,98,70,77,66,98,89
92,96,69,94,84,72,85,85,79,73,90,98,83,86,87
75,80,82,80,70,83,68,98,93,75,74,82,83,82,65
98,90,75,78,92,68,72,74,97,67,95,87,82,97,89
87,94,93,96,75,75,97,93,98,93,74,92,95,83,87
65,90,98,79,94,83,87,93,90,91,94,69,73,72,91
92,92,76,96,91,81,97,88,96,94,82,90,66,97,73
93,98,92,73,98,81,80,67,66,84,79,86,92,97,82
79,65,69,82,89,68,84,92,74,86,72,89,78,87,74
87,68,73,83,79,68,78,78,71,85,71,83,65,86,80
80,96,69,81,73,73,81,79,85,76,74,82,79,74,92
95,96,89,93,93,66,91,80,74,74,97,85,79,82,75
84,96,70,70,66,68,91,84,89,77,74,98,77,96,91
71,80,77,82,74,73,87,79,66,67,82,65,83,94,69
82,78,96,90,67,68,91,68,81,66,72,70,70,81,78
84,94,81,86,95,72,81,89,87,71,72,77,90,94,92
68,89,67,90,97,66,86,69,72,92,98,76,90,84,86
66,83,81,83,68,80,75,82,93,79,69,84,80,88,68
65,87,80,76,90,90,96,71,95,94,75,77,91,73,67
68,98,88,69,83,86,69,90,84,72,66,90,79,67,78
88,77,70,70,88,86,81,79,81,83,75,78,65,95,89
89,93,80,91,85,86,88,98,87,86,68,85,77,65,79
65,82,90,82,82,72,78,90,96,67,82,78,91,93,83
77,69,79,88,69,76,96,90,65,88,76,97,89,94,82
65,92,89,85,82,75,98,75,65,97,76,80,85,93,68
91,73,66,77,90,97,87,80,94,77,82,86,91,69,96
96,77,71,70,84,95,70,80,75,93,67,84,82,92,73
84,76,82,97,97,76,98,80,89,66,89,88,87,69,88
92,71,66,76,94,88,84,92,69,94,73,68,77,68,72
79,79,96,87,78,94,90,76,87,72,73,91,94,80,86
66,91,66,67,79,79,89,90,81,65,98,94,87,91,90
74,94,96,94,69,91,97,97,70,69,81,71,76,81,78
97,84,81,90,80,66,94,72,70,68,92,90,66,92,86
73,82,80,89,73,96,83,65,80,93,82,65,91,82,84
87,77,72,97,81,88,87,76,94,92,94,78,87,67,74
77,93,66,76,85,92,76,90,79,71,87,72,85,82,95
90,87,96,90,73,76,67,87,74,76,91,95,77,66,94
82,71,87,90,83,87,68,85,87,69,76,91,74,89,88
92,73,70,76,70,88,74,88,69,84,78,87,68,85,88
94,79,73,67,76,94,78,94,68,97,69,71,65,76,77
87,97,75,88,91,84,89,83,83,95,65,77,82,71,69
67,98,93,89,65,95,68,72,98,87,78,92,98,65,68
91,85,94,91,94,83,77,66,73,65,81,83,91,74,92
66,73,76,65,81,76,69,93,91,70,70,73,65,76,74
70,68,76,67,67,73,72,80,87,87,82,75,66,71,86
92,91,91,74,87,84,94,83,77,67,72,69,92,84,98
78,97,91,82,97,88,78,79,88,76,68,66,88,65,93
82,80,91,84,90,94,75,85,83,72,68,93,69,87,69
74,68,84,81,67,87,76,89,94,91,89,80,91,84,89
74,83,69,72,89,73,83,95,94,96,79,85,88,82,73
66,73,93,79,77,81,79,75,65,70,88,78,75,75,69
78,95,76,67,66,75,73,68,69,94,90,79,87,82,71
80,83,86,81,74,86,87,94,80,83,88,89,90,66,84
80,84,82,85,96,91,77,77,68,90,74,87,98,86,81
69,91,90,65,94,68,66,71,77,82,87,89,78,91,70
66,73,66,80,83,98,77,73,76,78,65,91,90,88,95
94,70,72,70,95,79,70,96,96,68,71,74,78,97,71
96,84,92,73,83,81,89,77,71,92,94,80,74,97,92
98,80,73,68,90,85,80,83,93,65,85,69,97,95,71
91,90,95,82,68,98,82,91,90,88,92,69,97,77,74
97,73,79,80,76,79,82,80,78,90,85,69,87,92,95
76,68,74,66,67,87,88,76,80,91,78,91,81,97,80
71,74,87,66,86,78,95,85,79,76,96,75,95,85,85
90,96,97,93,92,91,90,86,77,80,82,71,90,68,73
71,92,67,80,69,67,78,89,97,73,96,74,72,95,75
