RST10101,RST10102,RST10103,RST10104,RST10105,RST10106,RST10107,RST10108,RST10109,RST10110,RST10111,RST10112,RST10113,RST10114,RST10115,RST10116,RST10117,RST10118,RST10119,RCD10101,RCD10102,RCD10103,RCD10104,RCD10105,RCD10106,RCD10107,RCD10108,RCD10109,RCD10110,RCD10111,RCD10112,RCD10113,RCD10114,RCD10115,RCD10116,RCD10117,RCD10118,RCD10119,RSL10101,RSL10102,RSL10103,RSL10104,RSL10105,RSL10106,RSL10107,RSL10108,RSL10109,RSL10110,RSL10111,RSL10112,RSL10113,RSL10114,RSL10115,RSL10116,RSL10117,RSL10118,RSL10119,RSU10101,RSU10102,RSU10103,RSU10104,RSU10105,RSU10106,RSU10107,RSU10108,RSU10109,RSU10110,RSU10111,RSU10112,RSU10113,RSU10114,RSU10115,RSU10116,RSU10117,RSU10118,RSU10119,ROR10101,ROR10102,ROR10103,ROR10104,ROR10105,ROR10106,ROR10107,ROR10108,ROR10109,ROR10110,ROR10111,ROR10112,ROR10113,ROR10114,ROR10115,ROR10116,ROR10117,ROR10118,ROR10119,RDA10101,RDA10102,RDA10103,RDA10104,RDA10105,RDA10106,RDA10107,RDA10108,RDA10109,RDA10110,RDA10111,RDA10112,RDA10113,RDA10114,RDA10115,RDA10116,RDA10117,RDA10118,RDA10119,RTR10101,RTR10102,RTR10103,RTR10104,RTR10105,RTR10106,RTR10107,RTR10108,RTR10109,RTR10110,RTR10111,RTR10112,RTR10113,RTR10114,RTR10115,RTR10116,RTR10117,RTR10118,RTR10119,RPR10101,RPR10102,RPR10103,RPR10104,RPR10105,RPR10106,RPR10107,RPR10108,RPR10109,RPR10110,RPR10111,RPR10112,RPR10113,RPR10114,RPR10115,RPR10116,RPR10117,RPR10118,RPR10119,RMR10101,RMR10102,RMR10103,RMR10104,RMR10105,RMR10106,RMR10107,RMR10108,RMR10109,RMR10110,RMR10111,RMR10112,RMR10113,RMR10114,RMR10115,RMR10116,RMR10117,RMR10118,RMR10119,RCM10101,RCM10102,RCM10103,RCM10104,RCM10105,RCM10106,RCM10107,RCM10108,RCM10109,RCM10110,RCM10111,RCM10112,RCM10113,RCM10114,RCM10115,RCM10116,RCM10117,RCM10118,RCM10119
77,36,89,85,60,49,36,59,40,30,69,51,56,70,48,66,36,50,42,83,90,38,73,82,88,30,68,57,60,73,37,34,81,70,57,71,35,44,40,58,60,35,80,38,79,65,58,48,81,84,74,42,30,62,48,46,36,59,45,87,43,81,78,35,81,57,66,86,84,58,42,78,69,85,47,35,47,80,68,72,81,53,61,31,44,55,45,47,35,42,69,52,58,85,72,83,90,67,46,43,82,59,65,41,89,31,78,40,62,90,35,65,41,89,69,52,61,44,58,53,39,36,53,51,33,32,34,77,59,73,44,50,75,51,73,60,79,84,88,30,32,63,58,48,90,42,82,86,64,52,86,49,38,78,90,64,86,88,86,75,71,42,79,40,37,65,81,86,31,72,85,90,78,66,70,63,72,55,80,89,65,64,32,82,74,41,73,84,67,53
79,65,83,45,62,58,37,48,32,82,33,51,71,41,77,73,75,37,84,55,52,69,90,31,32,66,62,77,82,73,43,41,35,61,57,48,36,82,76,51,44,75,52,72,58,51,88,52,33,49,40,87,44,52,55,56,62,36,54,59,55,47,36,86,56,41,49,34,37,85,57,55,31,84,62,75,84,68,59,72,42,66,47,78,36,33,69,38,82,42,53,64,73,88,78,74,47,63,30,86,52,71,58,55,58,44,89,85,35,90,62,77,55,69,33,81,53,31,78,59,54,88,89,44,74,39,38,41,90,80,43,55,86,56,72,51,39,71,65,40,43,79,72,81,79,35,75,72,89,37,33,34,76,61,34,59,39,64,60,75,49,76,39,32,64,77,90,53,43,61,78,89,74,60,55,35,66,82,47,31,84,39,33,45,50,40,75,57,77,77
62,61,65,77,55,86,35,69,69,66,37,78,32,84,33,38,84,42,40,52,74,50,68,55,32,64,62,53,84,34,53,50,60,79,61,35,31,62,45,77,44,52,89,54,32,86,85,47,61,47,49,40,37,76,80,37,57,49,44,76,77,55,77,70,33,47,58,40,80,59,33,73,88,39,86,49,78,43,40,63,88,43,43,66,72,35,48,82,40,50,30,58,52,65,47,86,85,89,31,53,83,39,73,39,67,71,33,30,63,85,32,68,53,68,72,67,35,64,81,74,47,46,47,77,56,81,85,67,49,62,70,63,77,44,89,36,32,78,43,50,75,46,38,76,47,74,70,86,57,46,35,49,41,31,37,58,76,63,69,54,31,85,56,39,89,39,74,66,65,71,70,31,68,86,46,69,55,80,30,61,43,79,90,44,42,68,71,33,48,38
55,75,76,45,33,32,68,41,39,59,86,64,35,50,74,84,70,36,38,57,51,76,43,45,47,59,42,69,44,60,66,43,62,52,80,85,70,57,53,32,60,53,43,65,69,82,46,59,31,62,46,50,60,43,68,63,36,55,39,73,32,79,64,81,60,65,84,59,31,43,71,69,50,42,41,50,51,60,75,60,86,35,80,74,50,40,82,81,59,80,51,58,50,43,68,77,55,54,57,38,41,69,45,71,35,74,48,58,69,69,68,65,59,86,36,80,52,33,34,78,81,85,67,57,31,84,67,47,60,87,34,33,63,90,78,32,62,40,54,37,78,90,51,59,72,40,39,58,81,76,59,42,52,70,39,69,66,54,41,76,68,85,37,45,31,79,62,78,88,70,65,57,40,49,56,39,78,79,31,68,53,36,71,80,53,54,85,71,71,79
52,72,31,33,82,59,66,69,33,64,52,34,34,66,59,49,31,82,77,44,30,43,61,55,69,34,45,42,60,53,39,37,44,61,51,33,85,54,86,78,65,89,33,56,46,64,69,69,34,52,49,63,58,52,79,65,54,47,79,85,73,43,45,33,41,63,53,40,43,71,77,70,73,82,46,82,50,35,68,46,66,35,41,39,49,30,71,40,60,86,65,87,47,73,56,84,48,68,80,43,44,50,79,90,50,33,68,74,72,77,77,65,42,69,77,47,54,75,43,72,35,47,51,30,55,87,66,79,55,55,30,40,47,59,82,61,80,49,69,32,37,85,81,40,56,32,61,76,60,62,77,36,59,61,55,87,88,68,70,69,51,77,78,85,51,78,57,38,47,88,84,68,56,54,55,45,60,40,52,72,51,71,65,75,74,71,36,87,80,79
43,62,55,75,66,63,82,66,77,40,46,34,87,32,34,49,50,52,77,59,50,40,89,33,54,62,66,34,62,32,58,61,32,33,59,31,67,74,87,46,70,37,49,43,75,78,50,49,88,53,50,48,48,35,83,70,57,69,78,69,69,74,74,37,44,49,82,45,37,62,49,90,65,35,80,63,60,50,78,89,62,64,90,78,66,52,51,44,90,64,79,64,76,33,31,45,57,78,44,73,61,33,84,79,72,84,65,36,88,62,32,47,57,74,59,76,47,49,30,61,83,66,48,71,37,60,60,36,56,58,66,60,86,73,59,86,63,36,57,56,38,83,58,50,59,34,86,53,65,43,74,47,81,61,84,45,70,48,88,62,60,71,44,89,59,32,68,73,31,90,66,87,30,62,69,87,78,68,31,36,82,55,75,63,37,79,59,90,78,87
51,71,83,73,62,70,84,65,87,52,79,63,46,74,55,61,90,77,35,32,58,79,89,30,73,47,79,32,51,74,45,59,34,34,35,67,43,31,63,37,75,43,32,63,46,71,36,69,53,54,51,90,83,77,40,37,89,67,66,86,64,56,52,58,59,84,90,80,58,81,90,79,32,56,81,63,70,72,64,54,88,45,54,69,68,45,67,66,70,88,50,83,79,74,39,53,72,31,86,70,54,63,39,67,59,71,78,45,72,80,43,30,52,54,40,83,48,69,76,41,73,89,72,42,41,86,35,61,71,50,71,78,46,69,61,41,82,76,65,43,60,57,43,34,40,70,45,41,57,33,76,64,52,46,70,78,70,42,88,40,67,58,59,40,78,31,62,62,58,39,89,53,49,71,41,72,47,81,60,76,67,69,32,75,82,43,90,75,55,56
88,79,42,68,68,53,39,40,50,48,78,89,89,56,32,65,59,79,58,58,57,80,62,75,57,68,58,48,59,33,61,70,66,79,52,81,78,54,43,39,36,83,83,77,64,62,84,44,54,85,49,76,71,43,62,41,86,37,43,90,83,54,82,56,90,71,78,72,40,68,70,48,35,33,69,55,43,60,82,44,45,63,48,78,61,81,32,70,69,59,67,87,83,73,46,68,72,32,57,36,80,37,56,32,89,45,66,82,55,40,51,48,53,36,87,36,71,40,63,55,71,62,40,75,35,32,61,77,58,85,65,67,38,49,56,43,67,44,62,77,61,73,88,59,36,56,43,56,51,79,32,54,51,52,39,57,46,36,40,76,39,88,40,45,72,33,57,33,40,43,46,76,80,49,86,61,35,68,49,55,84,64,75,86,39,35,69,36,80,51
56,80,85,47,83,32,34,57,63,59,59,79,58,35,68,54,90,45,82,79,32,46,75,34,47,68,77,67,63,63,34,46,86,36,59,58,45,83,71,34,83,73,80,43,38,66,84,65,62,59,87,76,52,42,77,53,36,53,67,33,69,57,50,82,55,86,84,79,54,60,72,75,55,56,81,39,85,78,83,50,70,50,63,73,41,33,75,68,71,66,40,88,44,65,89,55,77,65,38,45,36,68,82,43,71,52,66,77,68,31,58,71,88,34,76,63,30,53,89,74,65,89,87,33,34,35,62,64,47,78,54,67,48,46,45,76,88,69,33,73,64,31,80,45,67,81,74,52,45,31,54,78,45,85,46,33,69,86,58,61,81,65,82,90,71,32,65,40,53,82,34,87,48,37,31,57,71,39,43,64,38,47,88,51,87,58,34,87,41,76
60,35,58,39,63,36,67,57,86,72,70,61,37,38,43,67,65,43,82,67,82,83,78,50,77,45,67,43,52,84,42,58,58,69,52,49,30,31,80,63,86,80,48,72,44,86,58,31,40,83,81,76,74,50,40,89,60,72,45,37,51,70,32,60,54,35,58,86,89,39,50,85,45,53,73,88,56,33,72,48,54,67,88,38,65,41,37,67,85,69,70,69,74,55,55,64,43,68,72,58,57,76,34,75,86,72,51,71,87,30,68,40,49,74,85,36,69,58,72,90,37,79,37,43,53,90,53,78,49,48,66,39,38,40,70,71,30,84,56,61,60,48,66,52,57,32,40,80,61,41,63,47,55,45,52,90,53,64,75,65,62,49,73,54,75,60,37,62,55,75,56,90,88,84,77,72,33,66,41,36,59,80,70,63,83,74,38,87,39,61
88,55,68,67,62,56,63,59,90,80,63,54,49,89,47,49,40,52,90,53,34,52,32,60,54,59,63,42,54,53,48,63,81,75,51,40,58,58,79,35,72,45,89,39,52,90,84,89,39,50,46,40,56,85,56,74,46,64,65,58,79,49,72,51,84,41,34,36,41,49,30,30,62,51,76,68,35,49,34,65,35,40,36,78,46,66,38,31,79,88,45,79,76,36,64,30,87,32,32,68,88,78,65,53,54,47,75,38,71,49,37,49,61,72,46,52,36,74,32,67,35,34,55,39,71,74,38,31,42,85,84,87,64,75,73,61,59,65,69,87,79,61,51,59,68,83,78,52,85,60,58,51,57,81,39,52,48,47,89,68,56,67,30,68,37,50,83,36,83,67,37,38,58,66,68,79,78,72,83,73,76,70,80,32,54,74,42,65,70,49
66,33,55,85,73,55,32,87,89,49,38,52,74,88,56,89,51,75,39,42,39,87,34,32,66,52,90,57,65,56,73,31,33,48,34,45,63,66,38,43,31,72,61,39,52,90,37,43,42,35,58,78,36,84,36,59,79,59,53,89,90,32,78,60,83,89,43,72,55,61,64,37,84,41,41,53,40,35,71,76,78,37,50,36,30,69,40,51,45,40,39,79,77,35,75,85,36,35,51,55,55,58,35,68,32,38,75,47,85,33,76,53,88,66,60,30,76,53,42,50,42,57,32,86,70,46,49,90,74,62,58,85,87,80,76,71,30,72,43,79,30,31,51,34,53,41,74,84,85,45,44,81,68,75,60,90,86,33,52,78,87,68,60,61,76,36,34,39,74,55,60,38,86,48,49,48,41,66,84,52,88,80,62,76,49,54,57,57,63,82
61,85,56,30,31,79,61,52,70,64,72,34,81,86,82,88,54,64,48,84,76,84,31,57,40,64,41,60,86,37,30,84,31,71,51,77,69,62,70,67,75,78,54,58,47,33,52,31,76,33,47,38,53,41,65,72,35,66,87,53,68,82,84,36,67,41,65,69,67,52,37,35,88,52,38,69,36,62,50,66,43,90,87,56,30,57,59,44,62,60,63,81,77,64,30,67,80,56,87,68,35,89,90,80,45,73,58,85,63,68,48,78,48,74,48,54,84,46,69,68,82,32,75,72,83,52,72,34,58,88,38,68,44,76,66,55,62,34,59,86,62,41,74,30,86,80,71,62,88,72,84,68,44,51,50,34,68,47,80,33,79,57,43,69,86,58,83,71,59,61,67,33,58,37,36,89,88,67,38,68,46,37,55,39,61,34,82,31,76,49
90,42,56,83,53,61,47,31,76,75,81,31,89,45,78,31,60,36,56,46,33,31,40,33,38,51,31,89,86,31,37,60,33,59,42,65,83,52,50,73,38,88,83,76,69,81,90,47,61,70,87,38,46,30,78,88,89,36,59,54,86,85,32,50,82,36,60,46,33,82,46,62,47,80,69,57,40,69,83,46,79,56,87,63,38,69,43,53,58,62,36,73,42,42,59,63,45,42,33,65,38,35,41,49,72,30,45,89,40,69,55,63,42,54,53,36,66,56,79,35,82,66,38,48,68,49,55,71,51,42,43,58,69,72,76,57,46,38,55,45,84,32,66,79,59,79,31,54,64,71,35,55,86,86,66,61,64,41,40,39,55,87,71,47,56,84,31,34,40,50,46,47,66,33,63,77,47,80,60,42,41,44,45,49,32,43,55,83,72,68
71,73,71,45,70,45,68,61,63,72,79,75,83,45,41,55,62,65,71,71,78,80,75,65,50,87,71,30,48,85,65,78,81,88,53,58,52,86,54,43,90,65,83,37,67,84,39,40,39,41,39,40,64,42,84,52,64,71,76,55,36,87,62,65,36,89,78,45,37,62,60,53,30,61,50,68,77,60,45,50,55,43,61,34,55,56,53,90,79,39,37,35,40,45,44,44,45,84,70,82,49,43,64,81,64,76,43,53,34,81,39,89,49,73,72,65,78,54,30,46,84,42,45,64,51,37,70,48,46,51,30,47,68,72,87,71,54,41,44,54,51,56,75,89,44,73,63,50,62,32,42,65,31,43,48,38,45,32,68,55,44,79,77,35,89,65,53,46,47,43,71,56,33,31,76,61,34,36,41,35,34,41,40,45,76,33,83,81,71,46
39,61,55,49,85,43,44,76,77,59,76,52,39,78,81,38,87,54,47,45,41,45,34,74,69,89,70,46,48,38,44,73,46,49,49,84,64,81,84,75,78,38,36,87,85,54,51,39,30,78,82,89,90,57,62,52,45,69,45,33,82,40,67,69,51,89,42,88,30,70,57,46,41,48,35,31,52,84,65,70,34,77,31,62,43,62,55,36,73,70,76,68,85,59,35,54,51,82,31,77,53,33,59,37,62,56,61,35,79,49,31,75,88,60,30,66,32,34,87,62,59,68,33,69,80,81,70,58,34,50,52,64,82,76,59,34,33,51,32,78,42,84,48,87,59,64,48,71,57,51,41,88,74,89,30,76,47,66,48,37,32,85,56,53,69,42,57,86,59,68,58,71,59,53,87,61,37,47,85,45,62,62,41,48,50,81,31,71,58,49
83,79,82,41,40,52,61,63,39,50,80,66,52,70,72,58,42,82,87,78,38,78,90,36,38,82,37,43,87,41,32,86,80,54,43,84,70,73,81,83,35,52,47,46,87,38,43,89,51,73,62,74,59,37,79,49,84,42,74,71,33,32,38,55,66,76,65,45,31,86,67,49,79,66,70,68,31,37,60,47,42,74,57,65,39,51,67,43,73,32,80,68,34,66,62,75,45,70,58,50,54,62,65,41,38,54,33,38,79,57,33,50,58,84,63,90,64,54,81,30,53,55,37,50,64,77,40,65,59,54,52,55,83,53,40,79,62,51,79,41,42,88,73,39,85,76,48,42,47,77,64,36,64,42,48,89,57,41,63,86,47,50,80,41,46,31,62,67,33,42,41,59,58,62,51,82,67,67,71,64,62,39,85,54,76,53,35,55,59,69
59,58,48,33,53,61,83,30,65,66,40,65,66,51,39,48,85,73,64,31,34,82,53,57,54,53,63,49,61,82,67,82,30,58,61,56,41,72,41,89,61,42,79,85,72,89,48,55,90,82,30,74,81,90,69,40,57,39,81,33,39,81,80,61,89,83,90,60,61,78,52,62,46,34,68,88,32,75,41,73,41,60,35,64,56,70,74,76,66,38,72,56,69,73,46,53,78,33,59,31,31,45,87,38,70,56,61,46,79,60,42,41,62,47,47,42,55,64,66,77,81,49,82,74,81,75,55,60,63,40,53,68,48,39,38,63,71,66,81,53,77,59,59,76,50,65,46,47,31,55,85,55,89,63,66,50,32,59,34,30,48,41,39,46,77,66,46,42,53,67,50,54,40,39,82,83,39,65,87,36,78,75,87,38,41,66,47,74,88,41
72,74,30,56,68,67,33,39,45,64,47,78,69,45,43,46,79,35,67,40,45,35,51,90,32,32,86,85,37,62,79,74,84,52,55,83,77,88,85,39,55,58,69,64,47,35,50,60,31,72,41,37,78,79,66,73,85,40,41,31,47,57,75,44,52,44,36,71,84,64,41,73,68,88,62,56,47,89,72,50,40,35,69,32,76,50,87,56,35,87,66,44,42,65,59,86,59,60,62,59,72,51,87,50,70,90,71,73,62,79,81,74,70,87,56,58,52,38,76,52,51,86,68,35,37,45,46,39,39,45,88,57,57,89,48,80,73,51,54,32,55,83,37,72,40,86,49,47,57,57,39,31,31,53,83,33,82,57,81,88,77,56,31,62,73,42,90,75,38,76,44,67,65,39,42,63,56,58,58,41,63,52,49,74,56,34,50,47,46,77
56,43,38,80,85,75,63,69,71,40,76,32,67,56,72,32,81,69,57,60,54,50,75,70,66,51,63,50,36,70,36,44,47,62,54,73,52,65,64,71,69,73,45,68,46,39,58,66,33,49,81,64,49,65,52,90,88,45,56,38,65,57,60,62,61,77,41,72,35,80,34,35,79,76,85,87,82,78,85,81,64,47,33,81,52,39,64,50,51,78,46,80,61,82,69,48,81,30,60,84,32,89,79,47,73,87,80,63,36,57,59,88,62,85,58,44,69,83,33,47,37,53,52,36,49,42,45,72,34,60,30,34,46,74,57,57,88,39,81,51,60,55,61,82,48,73,39,73,63,30,55,43,49,89,85,88,54,57,77,52,41,45,90,40,74,31,35,50,31,61,60,52,78,57,59,85,58,89,88,73,89,82,35,65,81,76,31,31,33,86
40,71,47,40,32,63,76,34,58,38,43,67,41,48,43,81,89,45,69,79,86,30,89,51,45,85,36,73,88,48,42,64,40,53,80,89,52,62,84,84,30,84,62,38,59,46,38,51,69,78,43,50,64,84,71,74,87,88,40,41,72,42,76,51,41,35,37,59,70,68,69,61,39,67,74,50,41,47,74,69,88,51,74,37,78,62,45,63,74,72,35,90,69,34,52,70,52,45,39,32,49,38,54,89,83,81,86,88,30,46,41,86,77,75,88,82,71,70,50,39,70,37,52,55,49,54,35,37,42,39,46,88,74,85,87,82,31,84,78,43,50,61,66,85,32,81,80,71,63,51,53,60,62,60,72,84,79,75,52,37,62,73,90,52,58,36,73,62,41,63,85,59,71,85,33,84,54,48,38,53,34,68,44,71,71,71,55,40,56,54
46,34,31,53,57,76,31,74,43,40,84,82,56,34,56,33,52,87,77,49,47,46,38,60,56,39,42,63,36,79,64,71,46,68,54,59,69,45,88,60,67,88,53,49,85,77,48,68,64,56,84,44,45,67,50,89,77,35,58,51,44,48,59,67,90,63,39,80,56,44,59,75,42,40,52,68,69,81,32,70,66,64,33,40,77,90,58,67,71,86,40,49,46,77,84,52,85,30,47,37,78,71,67,49,70,66,55,56,40,79,56,73,51,78,88,88,53,31,30,90,78,71,77,31,37,68,44,34,35,84,67,88,78,33,89,82,47,36,68,48,82,49,42,69,38,88,73,46,44,35,55,61,88,75,67,68,83,90,61,45,87,65,90,39,71,64,58,72,51,87,65,69,44,88,71,35,38,38,77,31,33,55,79,74,83,45,47,59,35,63
50,79,69,34,38,49,37,74,44,36,71,55,48,75,46,67,86,87,61,31,63,66,58,55,52,87,66,74,32,59,73,34,63,67,48,39,30,60,89,63,74,70,58,53,71,75,82,63,41,45,59,45,82,64,35,63,79,67,83,61,56,76,33,66,52,76,42,52,72,65,58,90,55,68,34,73,61,78,32,59,30,74,79,66,73,72,85,68,56,71,52,63,66,80,68,78,82,68,39,60,59,35,65,57,46,83,83,80,49,34,63,72,32,80,52,55,66,89,82,77,66,77,51,59,33,90,76,31,39,54,90,39,69,67,73,41,62,36,83,42,49,59,90,46,31,38,66,70,55,50,70,80,42,43,37,30,49,78,47,70,90,38,84,46,55,84,67,38,57,81,50,38,51,88,76,50,45,56,62,33,64,79,89,87,64,69,81,83,86,38
44,66,44,83,35,88,49,57,59,77,68,60,81,36,90,33,56,54,49,68,54,49,67,50,75,88,66,37,45,70,47,58,52,76,46,76,55,65,39,47,81,75,61,63,52,44,52,82,39,66,80,41,71,87,74,44,64,72,76,60,41,64,90,65,55,35,56,78,83,30,50,66,85,86,42,47,42,50,46,49,75,73,73,57,52,57,30,48,45,65,51,70,77,65,39,31,37,56,51,43,42,34,41,52,39,68,71,67,66,46,65,36,61,76,31,84,66,43,53,72,46,37,40,59,66,67,81,30,38,73,84,80,67,51,83,84,58,60,42,40,59,86,78,58,41,52,42,40,78,86,34,57,54,72,61,75,56,78,34,85,53,50,64,68,54,41,33,75,43,51,63,30,43,55,75,78,38,53,59,47,38,49,75,39,39,48,74,40,31,86
69,39,71,60,72,55,41,49,51,75,68,52,68,30,49,37,67,70,64,56,31,51,86,58,77,40,36,79,73,63,37,46,68,74,55,56,65,34,67,60,40,61,48,88,41,58,34,40,41,37,80,70,67,35,83,40,37,69,84,71,83,31,51,60,37,84,49,68,37,66,74,65,60,55,45,47,63,51,48,58,71,46,78,84,41,74,58,75,59,39,62,55,40,77,84,68,90,71,47,32,49,37,78,41,36,88,43,89,56,51,82,61,42,80,53,48,78,79,53,67,73,72,75,63,78,52,44,57,59,44,58,74,80,31,37,44,40,77,32,87,56,77,63,64,46,74,52,82,75,75,58,58,84,46,54,75,87,74,42,66,41,87,72,42,74,55,51,58,73,45,80,49,38,88,43,87,88,32,45,57,86,46,41,33,76,44,87,69,32,63
45,74,44,52,88,81,79,53,47,60,77,64,86,52,66,88,82,79,72,32,33,74,61,45,33,38,89,88,44,52,70,90,57,57,62,73,87,56,53,45,73,65,63,30,33,38,62,46,63,43,30,83,60,77,76,45,30,84,53,63,41,85,89,60,44,43,37,42,75,88,38,64,65,51,87,48,65,49,83,47,88,84,85,43,72,44,68,54,39,51,62,44,68,30,48,83,90,70,47,55,38,33,81,89,35,42,57,46,62,67,81,81,70,68,61,87,79,68,40,78,89,69,43,56,69,77,50,76,83,84,68,67,65,33,58,65,86,68,54,49,88,83,68,42,56,54,76,51,86,79,70,57,87,55,80,37,89,78,50,30,41,69,89,36,59,50,64,38,82,30,82,64,35,46,61,53,73,31,63,78,64,75,71,46,90,77,64,74,71,87
84,78,46,30,37,46,50,37,37,81,56,36,53,76,84,42,69,31,35,42,35,81,89,33,31,65,38,64,65,40,36,46,47,63,55,90,51,59,84,85,58,32,59,74,88,70,55,41,48,44,64,56,74,72,81,44,63,76,45,68,76,33,36,76,72,71,72,52,45,47,69,41,70,58,53,70,36,55,79,72,37,88,55,39,46,47,59,40,78,64,62,73,52,58,49,75,72,42,74,57,51,71,72,35,81,74,71,36,72,39,78,50,89,43,81,57,42,69,41,72,50,55,47,46,40,58,73,77,36,45,70,46,80,80,64,38,75,86,86,35,90,43,78,35,31,33,33,40,34,77,52,58,34,37,81,39,74,73,78,76,77,51,51,67,43,56,31,53,62,71,30,55,72,45,32,50,67,39,46,82,39,65,59,49,32,72,54,86,79,75
80,31,88,85,49,43,47,47,76,86,30,72,87,88,65,43,48,64,86,47,86,30,62,54,51,65,46,62,34,47,30,45,66,60,84,36,43,39,82,62,53,31,56,79,79,49,41,50,80,33,37,85,82,38,76,34,41,69,63,40,46,80,42,43,43,37,43,54,54,35,45,76,44,68,65,36,38,66,54,34,72,48,64,34,44,75,67,39,84,56,86,33,81,35,45,71,50,58,73,42,41,73,46,38,44,72,41,82,72,85,30,52,67,38,58,76,38,76,65,55,34,65,89,35,38,84,71,75,72,31,73,52,62,50,78,74,84,76,80,40,87,39,51,64,46,63,31,84,66,77,67,31,72,42,33,62,73,61,73,70,52,45,38,65,84,58,63,59,84,90,77,51,38,74,60,41,40,65,36,45,83,45,56,57,75,82,65,44,37,53
38,55,73,54,45,39,61,89,69,43,37,77,41,64,85,33,42,68,52,30,88,51,68,30,48,41,74,60,55,51,55,38,89,62,42,65,83,85,34,42,39,82,49,77,71,48,70,87,40,90,66,44,64,46,67,30,56,71,89,41,30,87,85,57,78,69,31,72,85,51,78,49,67,37,54,36,43,32,30,42,34,67,32,37,80,87,76,56,35,87,38,55,36,46,88,50,84,68,70,82,44,53,41,60,73,42,54,88,45,86,86,78,81,59,33,62,80,32,32,37,49,46,70,62,41,85,72,39,32,37,69,30,49,54,38,62,46,74,63,39,35,57,65,55,40,85,34,48,35,55,86,54,70,61,66,63,63,77,77,76,49,54,44,79,33,65,85,82,65,63,61,73,51,86,41,83,90,63,59,62,49,30,38,73,67,68,87,61,60,72
58,84,72,88,44,48,59,83,82,79,74,88,53,80,71,82,41,49,30,59,35,74,58,51,45,85,62,90,83,51,32,83,46,50,49,50,50,62,89,71,87,59,45,36,31,86,37,46,73,33,90,85,77,89,78,64,59,31,62,42,61,71,62,67,44,62,56,78,86,57,30,57,76,38,81,81,63,32,72,70,80,46,66,89,56,79,48,63,62,52,64,49,54,89,72,73,74,84,43,61,74,33,50,83,88,46,42,82,36,88,79,86,56,90,42,78,33,86,63,70,60,30,66,78,55,88,83,87,88,38,33,57,87,77,73,49,76,45,44,68,30,35,89,86,71,60,72,60,80,53,65,73,84,37,40,85,86,43,30,80,41,47,71,37,60,87,44,40,51,36,79,75,87,90,85,30,35,64,88,56,68,66,55,51,65,39,63,46,46,73
64,86,45,46,35,45,51,71,46,44,59,39,49,62,38,34,89,50,36,45,49,58,74,52,82,35,30,88,58,63,81,73,56,30,79,35,53,31,38,33,55,79,48,76,55,90,84,80,78,43,35,53,44,85,83,31,38,85,67,79,89,90,46,52,56,57,53,41,68,69,69,31,40,36,74,78,43,49,45,58,82,43,32,76,45,49,61,49,72,43,31,59,60,75,63,55,80,82,75,30,45,44,63,35,75,66,33,57,31,45,62,64,66,56,45,49,42,72,76,81,63,60,60,84,61,79,47,50,67,35,72,55,55,76,55,79,87,75,81,41,63,68,58,33,45,51,89,80,76,71,68,74,66,43,80,89,66,85,47,48,57,89,86,87,66,83,33,48,87,42,57,56,33,60,89,46,51,73,51,61,55,32,72,58,61,35,63,76,83,36
44,87,31,89,53,81,48,43,42,79,51,33,32,89,34,42,40,30,66,57,54,64,75,33,62,82,31,58,36,71,82,52,72,44,61,54,69,35,56,58,34,47,68,83,84,65,60,79,81,74,80,53,89,66,88,73,57,33,39,63,89,62,85,64,51,61,80,67,63,41,50,86,62,53,34,70,30,76,47,56,56,85,71,89,51,45,60,59,57,88,65,58,68,69,50,60,84,71,54,32,36,32,33,34,42,57,57,86,37,37,53,56,73,40,48,33,66,78,60,83,42,67,74,64,83,83,32,60,80,84,47,87,84,36,72,79,68,40,35,39,37,54,50,37,35,73,40,60,72,37,70,48,59,75,31,50,78,59,65,64,56,66,71,44,86,46,31,61,64,89,83,77,56,38,51,39,34,87,83,50,66,85,55,65,42,55,84,63,83,38
55,50,55,85,59,89,36,61,51,66,51,86,42,78,45,77,65,47,80,42,71,90,84,57,37,79,38,52,76,80,77,57,67,52,80,81,82,64,46,36,50,53,86,72,64,38,44,70,52,66,45,53,68,36,55,30,51,39,62,65,44,72,67,65,55,67,69,74,33,36,84,70,37,86,54,87,90,79,88,51,43,72,30,64,45,45,66,35,80,84,69,72,49,58,36,86,30,76,48,75,74,75,89,30,52,48,68,53,55,84,42,74,46,84,46,35,50,70,48,35,35,79,49,70,49,52,89,53,72,50,45,68,75,65,31,69,36,58,39,74,35,41,72,47,69,84,67,73,75,79,51,65,62,65,42,37,61,70,83,64,58,68,86,70,78,79,54,45,55,71,39,85,41,35,38,87,56,38,61,44,38,75,44,51,69,57,41,68,85,62
